dataset,action_a,action_b,gain_correlation
hmc,no_tta,no_tta,
hmc,no_tta,official_t3a,
hmc,no_tta,robust_residual_adapter,
hmc,official_t3a,no_tta,
hmc,official_t3a,official_t3a,1.0
hmc,official_t3a,robust_residual_adapter,-0.28765928961647796
hmc,robust_residual_adapter,no_tta,
hmc,robust_residual_adapter,official_t3a,-0.28765928961647796
hmc,robust_residual_adapter,robust_residual_adapter,1.0
eegmmidb,no_tta,no_tta,
eegmmidb,no_tta,official_t3a,
eegmmidb,no_tta,robust_residual_adapter,
eegmmidb,official_t3a,no_tta,
eegmmidb,official_t3a,official_t3a,1.0
eegmmidb,official_t3a,robust_residual_adapter,0.1786466981256806
eegmmidb,robust_residual_adapter,no_tta,
eegmmidb,robust_residual_adapter,official_t3a,0.1786466981256806
eegmmidb,robust_residual_adapter,robust_residual_adapter,1.0
