dataset,fold,EEGNet_BA,LiteBN_BA,REF50_BA,AMSE_Stable_BA,AMSE_Expressive_BA,AMSE_Final_BA,AMSE_Final_minus_best_ref_pp,AMSE_Final_minus_REF50_pp,Final_minus_strongest_internal_pp,Stable_minus_EEGNet_pp,Expressive_minus_LiteBN_pp
OpenBMI,0,0.8,0.8262499999999999,0.8262499999999999,0.755,0.7887500000000001,0.8049999999999999,-2.124999999999999,-2.124999999999996,-0.249999999999999,-4.499999999999998,-3.7499999999999982
OpenBMI,1,0.8125,0.8325,0.8425,0.8125,0.8375,0.84875,1.6249999999999987,0.6250000000000004,0.12499999999999867,2.7755575615628914e-15,0.5000000000000018
OpenBMI,2,0.6875,0.7275,0.7475,0.6912499999999999,0.70625,0.69625,-3.125,-5.125000000000004,-2.3750000000000018,0.3750000000000017,-2.1250000000000018
OpenBMI,3,0.76,0.7875000000000001,0.8025,0.7487499999999999,0.7825,0.78625,-0.12500000000000844,-1.6250000000000027,-0.5000000000000004,-1.1250000000000009,-0.5000000000000004
OpenBMI,4,0.72875,0.78375,0.78125,0.72,0.72875,0.7474999999999999,-3.6250000000000004,-3.3750000000000004,0.499999999999999,-0.8749999999999993,-5.499999999999999
WBCIC,0,0.7714285714285715,0.7792857142857141,0.7985714285714286,0.7828571428571429,0.7942857142857144,0.7949999999999999,1.5714285714285792,-0.3571428571428574,-0.21428571428571605,1.1428571428571455,1.5
WBCIC,1,0.8125,0.7733333333333333,0.7933333333333333,0.8258333333333333,0.8158333333333333,0.8233333333333333,4.999999999999993,3.000000000000002,-0.9166666666666693,1.3333333333333326,4.25
WBCIC,2,0.7491666666666666,0.7558333333333334,0.7566666666666665,0.7516666666666666,0.7541666666666665,0.7608333333333333,0.49999999999998934,0.41666666666666335,-0.7500000000000006,0.24999999999999653,-0.16666666666667052
WBCIC,3,0.8146811868686868,0.8405408249158249,0.8405839646464646,0.8113036616161615,0.8264351851851851,0.8272590488215488,-1.3281776094276165,-1.3324915824915815,-0.5009469696969674,-0.33775252525252336,-1.4105639730639794
WBCIC,4,0.7675,0.7875000000000001,0.7800000000000001,0.755,0.7766666666666667,0.7641666666666667,-2.333333333333343,-1.583333333333333,-1.5833333333333348,-1.2499999999999991,-1.0833333333333306
