comparison,task,seed,fold,status,trial_rows,normalizer_path,normalizer_sha256,cuda_tf32_allowed
X,OpenBMI_ERP,0,0,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold0.npz,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,False
X,OpenBMI_ERP,0,1,PROTOCOL_FAIL_FOR_CELL,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold1.npz,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
X,OpenBMI_ERP,0,2,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold2.npz,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
X,OpenBMI_ERP,0,3,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold3.npz,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
X,OpenBMI_ERP,0,4,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold4.npz,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,False
X,OpenBMI_MI,0,0,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
X,OpenBMI_MI,0,1,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
X,OpenBMI_MI,0,2,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold2.npz,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,False
X,OpenBMI_MI,0,3,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold3.npz,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,False
X,OpenBMI_MI,0,4,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold4.npz,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,False
X,OpenBMI_SSVEP,0,0,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold0.npz,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,False
X,OpenBMI_SSVEP,0,1,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold1.npz,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,False
X,OpenBMI_SSVEP,0,2,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold2.npz,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,False
X,OpenBMI_SSVEP,0,3,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold3.npz,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,False
X,OpenBMI_SSVEP,0,4,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold4.npz,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,False
X,WBCIC_MI,0,0,PASS,2800,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold0.npz,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,False
X,WBCIC_MI,0,1,PASS,2400,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold1.npz,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,False
X,WBCIC_MI,0,2,PASS,2400,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold2.npz,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,False
X,WBCIC_MI,0,3,PASS,2390,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold3.npz,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,False
X,WBCIC_MI,0,4,PASS,2400,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold4.npz,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,False
XS,OpenBMI_ERP,0,0,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold0.npz,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,False
XS,OpenBMI_ERP,0,1,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold1.npz,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
XS,OpenBMI_ERP,0,2,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold2.npz,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
XS,OpenBMI_ERP,0,3,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold3.npz,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
XS,OpenBMI_ERP,0,4,PASS,31680,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold4.npz,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,False
XS,OpenBMI_ERP,1,0,PROTOCOL_FAIL_FOR_CELL,0,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed1/normalizers/openbmi_erp_fold0.npz,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,False
XS,OpenBMI_ERP,1,1,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed1/normalizers/openbmi_erp_fold1.npz,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
XS,OpenBMI_ERP,1,2,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed1/normalizers/openbmi_erp_fold2.npz,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
XS,OpenBMI_ERP,1,3,PROTOCOL_FAIL_FOR_CELL,0,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed1/normalizers/openbmi_erp_fold3.npz,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
XS,OpenBMI_ERP,1,4,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed1/normalizers/openbmi_erp_fold4.npz,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,False
XS,OpenBMI_ERP,2,0,PROTOCOL_FAIL_FOR_CELL,0,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed2/normalizers/openbmi_erp_fold0.npz,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,False
XS,OpenBMI_ERP,2,1,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed2/normalizers/openbmi_erp_fold1.npz,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
XS,OpenBMI_ERP,2,2,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed2/normalizers/openbmi_erp_fold2.npz,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
XS,OpenBMI_ERP,2,3,PROTOCOL_FAIL_FOR_CELL,0,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed2/normalizers/openbmi_erp_fold3.npz,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,False
XS,OpenBMI_ERP,2,4,PASS,31680,/root/rivermind-data/xs_erp_seed12_stability_runtime_correct_xs/seed2/normalizers/openbmi_erp_fold4.npz,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,False
XS,OpenBMI_MI,0,0,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
XS,OpenBMI_MI,0,1,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
XS,OpenBMI_MI,0,2,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold2.npz,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,False
XS,OpenBMI_MI,0,3,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold3.npz,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,False
XS,OpenBMI_MI,0,4,PASS,1600,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold4.npz,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,False
XS,OpenBMI_MI,1,0,PASS,1600,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed1/normalizers/openbmi_mi_fold0.npz,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,False
XS,OpenBMI_MI,1,1,PASS,1600,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed1/normalizers/openbmi_mi_fold1.npz,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,False
XS,OpenBMI_MI,1,2,PASS,1600,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed1/normalizers/openbmi_mi_fold2.npz,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,False
XS,OpenBMI_MI,1,3,PASS,1600,/root/rivermind-data/xs_full_multiseed_finaltest_runtime/seed1/normalizers/openbmi_mi_fold3.npz,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,False
