dataset,backbone,partner,both_correct,both_wrong,base_only_correct,partner_only_correct,exclusive_correct_fraction,prediction_disagreement,fusion_correct,trials
OpenBMI,EEGConformer,LiteBN,598,69,70,63,0.16625,0.16625,676,800
OpenBMI,EEGConformer,EEGNet,580,72,88,60,0.185,0.185,680,800
OpenBMI,CBraMod,LiteBN,343,73,66,318,0.48,0.48,661,800
OpenBMI,CBraMod,EEGNet,335,86,74,305,0.47375,0.47375,641,800
OpenBMI,CodeBrain,LiteBN,472,58,81,189,0.3375,0.3375,662,800
OpenBMI,CodeBrain,EEGNet,462,69,91,178,0.33625,0.33625,641,800
OpenBMI,EEGNet,LiteBN,587,86,53,74,0.15875,0.15875,661,800
OpenBMI,EEGConformer,LiteBN,565,91,43,101,0.18,0.18,642,800
OpenBMI,EEGConformer,EEGNet,530,72,78,120,0.2475,0.2475,662,800
OpenBMI,CBraMod,LiteBN,358,79,55,308,0.45375,0.45375,666,800
OpenBMI,CBraMod,EEGNet,350,87,63,300,0.45375,0.45375,652,800
OpenBMI,CodeBrain,LiteBN,479,61,73,187,0.325,0.325,662,800
OpenBMI,CodeBrain,EEGNet,490,88,62,160,0.2775,0.2775,642,800
OpenBMI,EEGNet,LiteBN,589,73,61,77,0.1725,0.1725,674,800
OpenBMI,EEGConformer,LiteBN,461,122,96,121,0.27125,0.27125,573,800
OpenBMI,EEGConformer,EEGNet,422,115,135,128,0.32875,0.32875,571,800
OpenBMI,CBraMod,LiteBN,311,129,89,271,0.45,0.45,581,800
OpenBMI,CBraMod,EEGNet,277,127,123,273,0.495,0.495,550,800
OpenBMI,CodeBrain,LiteBN,429,121,97,153,0.3125,0.3125,580,800
OpenBMI,CodeBrain,EEGNet,404,128,122,146,0.335,0.335,579,800
OpenBMI,EEGNet,LiteBN,449,117,101,133,0.2925,0.2925,598,800
OpenBMI,EEGConformer,LiteBN,540,111,59,90,0.18625,0.18625,639,800
OpenBMI,EEGConformer,EEGNet,515,108,84,93,0.22125,0.22125,616,800
OpenBMI,CBraMod,LiteBN,308,82,88,322,0.5125,0.5125,630,800
OpenBMI,CBraMod,EEGNet,298,94,98,310,0.51,0.51,608,800
OpenBMI,CodeBrain,LiteBN,458,103,67,172,0.29875,0.29875,614,800
OpenBMI,CodeBrain,EEGNet,454,121,71,154,0.28125,0.28125,587,800
OpenBMI,EEGNet,LiteBN,534,96,74,96,0.2125,0.2125,642,800
OpenBMI,EEGConformer,LiteBN,538,112,61,89,0.1875,0.1875,629,800
OpenBMI,EEGConformer,EEGNet,484,102,115,99,0.2675,0.2675,626,800
OpenBMI,CBraMod,LiteBN,347,99,74,280,0.4425,0.4425,627,800
OpenBMI,CBraMod,EEGNet,312,108,109,271,0.475,0.475,584,800
OpenBMI,CodeBrain,LiteBN,460,119,54,167,0.27625,0.27625,575,800
OpenBMI,CodeBrain,EEGNet,427,130,87,156,0.30375,0.30375,558,800
OpenBMI,EEGNet,LiteBN,524,114,59,103,0.2025,0.2025,625,800
WBCIC,EEGConformer,LiteBN,795,180,129,296,0.30357142857142855,0.30357142857142855,1085,1400
WBCIC,EEGConformer,EEGNet,857,253,67,223,0.20714285714285716,0.20714285714285716,1077,1400
WBCIC,CBraMod,LiteBN,841,163,146,250,0.28285714285714286,0.28285714285714286,1092,1400
WBCIC,CBraMod,EEGNet,894,227,93,186,0.1992857142857143,0.1992857142857143,1047,1400
WBCIC,CodeBrain,LiteBN,920,176,133,171,0.21714285714285714,0.21714285714285714,1095,1400
WBCIC,CodeBrain,EEGNet,954,221,99,126,0.16071428571428573,0.16071428571428573,1076,1400
WBCIC,EEGNet,LiteBN,952,181,128,139,0.19071428571428573,0.19071428571428573,1118,1400
WBCIC,EEGConformer,LiteBN,808,158,114,120,0.195,0.195,942,1200
WBCIC,EEGConformer,EEGNet,821,124,101,154,0.2125,0.2125,957,1200
WBCIC,CBraMod,LiteBN,814,153,119,114,0.19416666666666665,0.19416666666666665,941,1200
WBCIC,CBraMod,EEGNet,843,135,90,132,0.185,0.185,977,1200
WBCIC,CodeBrain,LiteBN,800,146,126,128,0.21166666666666667,0.21166666666666667,946,1200
WBCIC,CodeBrain,EEGNet,831,130,95,144,0.19916666666666666,0.19916666666666666,977,1200
WBCIC,EEGNet,LiteBN,836,133,139,92,0.1925,0.1925,952,1200
WBCIC,EEGConformer,LiteBN,761,181,112,146,0.215,0.215,892,1200
WBCIC,EEGConformer,EEGNet,766,194,107,133,0.2,0.2,890,1200
WBCIC,CBraMod,LiteBN,720,160,133,187,0.26666666666666666,0.26666666666666666,890,1200
WBCIC,CBraMod,EEGNet,731,179,122,168,0.24166666666666667,0.24166666666666667,882,1200
WBCIC,CodeBrain,LiteBN,734,178,115,173,0.24,0.24,899,1200
WBCIC,CodeBrain,EEGNet,747,199,102,152,0.21166666666666667,0.21166666666666667,888,1200
WBCIC,EEGNet,LiteBN,797,191,102,110,0.17666666666666667,0.17666666666666667,908,1200
WBCIC,EEGConformer,LiteBN,788,106,85,216,0.2518828451882845,0.2518828451882845,997,1195
WBCIC,EEGConformer,EEGNet,773,122,100,200,0.2510460251046025,0.2510460251046025,982,1195
WBCIC,CBraMod,LiteBN,782,86,105,222,0.27364016736401675,0.27364016736401675,1008,1195
WBCIC,CBraMod,EEGNet,775,110,112,198,0.2594142259414226,0.2594142259414226,984,1195
WBCIC,CodeBrain,LiteBN,844,87,104,160,0.22092050209205022,0.22092050209205022,1010,1195
WBCIC,CodeBrain,EEGNet,833,107,115,140,0.21338912133891214,0.21338912133891214,1007,1195
WBCIC,EEGNet,LiteBN,910,128,63,94,0.13138075313807532,0.13138075313807532,1004,1195
WBCIC,EEGConformer,LiteBN,796,150,105,149,0.21166666666666667,0.21166666666666667,938,1200
WBCIC,EEGConformer,EEGNet,790,168,111,131,0.20166666666666666,0.20166666666666666,913,1200
WBCIC,CBraMod,LiteBN,783,146,109,162,0.22583333333333333,0.22583333333333333,942,1200
WBCIC,CBraMod,EEGNet,782,169,110,139,0.2075,0.2075,917,1200
WBCIC,CodeBrain,LiteBN,768,152,103,177,0.23333333333333334,0.23333333333333334,935,1200
WBCIC,CodeBrain,EEGNet,765,173,106,156,0.21833333333333332,0.21833333333333332,913,1200
WBCIC,EEGNet,LiteBN,837,171,84,108,0.16,0.16,936,1200
