dataset,backbone,fold,seed,status,best_epoch,best_inner_val_BA,runtime_seconds,peak_vram_GB,parameter_count,checkpoint_path,checkpoint_sha256,normalizer_sha256
OpenBMI,EEGConformer,0,0,RESUMED_COMPLETE,34,0.7516666666666666,0.0,,858386,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\eegconformer\fold-0\seed-0\selected_best.pt,0e0aaad1bc771c0652bbba13b61c4393bc8bf6dc95ec11ada98b95cb2a0999bb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI,CBraMod,0,0,RESUMED_COMPLETE,5,0.5316666666666667,0.0,,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\cbramod\fold-0\seed-0\selected_best.pt,0167df7b1594cf33071e5eb4514a050fc1253cf36f3ce3d105c5c91d8cf1dc63,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI,CodeBrain,0,0,RESUMED_COMPLETE,6,0.6133333333333334,0.0,,15291602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\codebrain\fold-0\seed-0\selected_best.pt,124d938ca396cc427356b66ac0e747198bcdcfe3e7490356fb3b95e034db8c88,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI,EEGConformer,1,0,RESUMED_COMPLETE,57,0.7766666666666667,0.0,,858386,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\eegconformer\fold-1\seed-0\selected_best.pt,ee1c461ead52f2e8a1b15d1362f845e627ad0d4f78fd35bf622b83d6a9fc4896,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
OpenBMI,CBraMod,1,0,RESUMED_COMPLETE,10,0.5183333333333334,0.0,,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\cbramod\fold-1\seed-0\selected_best.pt,6505aa3969196f638fbb50d6bc5ad213949d20226f38463e00ce14c0b3a738d0,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
OpenBMI,CodeBrain,1,0,RESUMED_COMPLETE,9,0.6333333333333332,0.0,,15291602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\codebrain\fold-1\seed-0\selected_best.pt,59e80c9c3e860ba416430e5459f37ecdcf8264c85d0a7f55d02683e6864b391b,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
OpenBMI,EEGConformer,2,0,RESUMED_COMPLETE,51,0.7866666666666666,0.0,,858386,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\eegconformer\fold-2\seed-0\selected_best.pt,294969b61627063793474faf8541f90c6e962036e8a00de784aca9d1f8a05e67,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
OpenBMI,CBraMod,2,0,RESUMED_COMPLETE,1,0.5,0.0,,4924402,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\cbramod\fold-2\seed-0\selected_best.pt,2f8bfc2eddfe0958c2025cde8a493d8bff25b54fe0611f3b4c37883124ed8ea8,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
OpenBMI,CodeBrain,2,0,RESUMED_COMPLETE,10,0.7349999999999999,0.0,,15291602,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\codebrain\fold-2\seed-0\selected_best.pt,d9d884364917ed4d85d2e2c6d559056a19ca5d311940d66b0c5521475531bd07,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
OpenBMI,EEGConformer,3,0,RESUMED_COMPLETE,45,0.785,0.0,,858386,D:\nips-temp\TotalP\P1\backbone_generality_seed0_runtime\openbmi\eegconformer\fold-3\seed-0\selected_best.pt,b9b5e21a822f60f3085b98843f9572e1b92696f1e392c52768846f9ea154a755,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
