model,task,n_folds,n_seeds,n_frozen_checkpoints,future_BA_available,future_macro_F1_available,all_session_metrics_available,WS_BA_available,CSGD_available,PSWA_available,parameters_available,MACs_available,status,source_branch,source_experiment,notes
EEGNet,OpenBMI_MI,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
EEGNet,OpenBMI_ERP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
EEGNet,OpenBMI_SSVEP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
EEGNet,WBCIC_MI,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
CBraMod,OpenBMI_MI,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
CBraMod,OpenBMI_ERP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
CBraMod,OpenBMI_SSVEP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
CBraMod,WBCIC_MI,5,3,15,True,True,True,True,True,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
TeCh,OpenBMI_MI,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
TeCh,OpenBMI_ERP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
TeCh,OpenBMI_SSVEP,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
TeCh,WBCIC_MI,5,3,15,True,True,True,True,True,PUBLISHED_COMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
ModernTCN,OpenBMI_MI,5,3,15,True,True,True,True,True,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-moderntcn-4task-3seed-final-v1,persist_eeg_moderntcn_4task_3seed_final_v1,checkpoint and session matrices present
ModernTCN,OpenBMI_ERP,5,3,15,True,True,True,True,True,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-moderntcn-4task-3seed-final-v1,persist_eeg_moderntcn_4task_3seed_final_v1,checkpoint and session matrices present
ModernTCN,OpenBMI_SSVEP,5,3,15,True,True,False,False,False,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-moderntcn-4task-3seed-final-v1,persist_eeg_moderntcn_4task_3seed_final_v1,full 15-checkpoint true-outer session matrix missing
ModernTCN,WBCIC_MI,5,3,15,False,False,False,False,False,PUBLISHED_INCOMPLETE,True,False,COMPLETE_CHECKPOINTS_BUT_FINAL_COHORT_METRIC_MISSING,codex/persist-eeg-moderntcn-4task-3seed-final-v1,persist_eeg_moderntcn_4task_3seed_final_v1,"existing HELDOUT_SUBJECT_RESULTS uses V8 internal subjects, not WBCIC true outer; expected prompt BA/F1 refer to internal cohort; full 15-checkpoint true-outer session matrix missing"
Medformer,OpenBMI_MI,5,3,15,True,True,True,True,True,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-medformer-4task-3seed-final-v1,persist_eeg_medformer_4task_3seed_final_v1,checkpoint and session matrices present
Medformer,OpenBMI_ERP,5,3,15,True,True,False,False,False,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-medformer-4task-3seed-final-v1,persist_eeg_medformer_4task_3seed_final_v1,full 15-checkpoint true-outer session matrix missing
Medformer,OpenBMI_SSVEP,5,3,15,True,True,False,False,False,PUBLISHED_INCOMPLETE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-medformer-4task-3seed-final-v1,persist_eeg_medformer_4task_3seed_final_v1,full 15-checkpoint true-outer session matrix missing
Medformer,WBCIC_MI,5,3,15,False,False,False,False,False,PUBLISHED_INCOMPLETE,True,False,COMPLETE_CHECKPOINTS_BUT_FINAL_COHORT_METRIC_MISSING,codex/persist-eeg-medformer-4task-3seed-final-v1,persist_eeg_medformer_4task_3seed_final_v1,"existing HELDOUT_SUBJECT_RESULTS uses V8 internal subjects, not WBCIC true outer; expected prompt BA/F1 refer to internal cohort; full 15-checkpoint true-outer session matrix missing"
LiteBN,OpenBMI_MI,5,3,15,True,True,True,True,True,NO_COMMITTED_ESTIMATE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
LiteBN,OpenBMI_ERP,5,3,15,True,True,True,True,True,NO_COMMITTED_ESTIMATE,True,False,COMPLETE_PRIMARY_FUTURE,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,checkpoint and session matrices present
LiteBN,OpenBMI_SSVEP,5,3,13,False,False,False,False,False,NO_COMMITTED_ESTIMATE,True,False,INCOMPLETE_FROZEN_CHECKPOINT_MATRIX,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,fold4_seed1: missing selected.pt or record.json; fold4_seed2: missing selected.pt or record.json; full 15-checkpoint true-outer session matrix missing
LiteBN,WBCIC_MI,5,1,5,False,False,False,False,False,NO_COMMITTED_ESTIMATE,True,False,INCOMPLETE_FROZEN_CHECKPOINT_MATRIX,codex/persist-eeg-seven-backbone-fourtask-3seed-v1,persist_eeg_seven_backbone_fourtask_3seed_v1,fold0_seed1: missing selected.pt or record.json; fold0_seed2: missing selected.pt or record.json; fold1_seed1: missing selected.pt or record.json; fold1_seed2: missing selected.pt or record.json; fold2_seed1: missing selected.pt or record.json; fold2_seed2: missing selected.pt or record.json; fold3_seed1: missing selected.pt or record.json; fold3_seed2: missing selected.pt or record.json; fold4_seed1: missing selected.pt or record.json; fold4_seed2: missing selected.pt or record.json; full 15-checkpoint true-outer session matrix missing
