model,task,checkpoints,expected_checkpoints,session_rows,expected_session_rows,n_subjects,complete_3seed,status,notes
EEGNet,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
EEGNet,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
EEGNet,OpenBMI_SSVEP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
EEGNet,WBCIC_MI,15,15,450,450,10,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
CBraMod,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
CBraMod,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
CBraMod,OpenBMI_SSVEP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
CBraMod,WBCIC_MI,15,15,450,450,10,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
TeCh,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
TeCh,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
TeCh,OpenBMI_SSVEP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
TeCh,WBCIC_MI,15,15,450,450,10,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
ModernTCN,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
ModernTCN,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
ModernTCN,OpenBMI_SSVEP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
ModernTCN,WBCIC_MI,15,15,450,450,10,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
Medformer,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
Medformer,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
Medformer,OpenBMI_SSVEP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
Medformer,WBCIC_MI,15,15,450,450,10,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
LiteBN,OpenBMI_MI,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
LiteBN,OpenBMI_ERP,15,15,420,420,14,True,COMPLETE,missing_checkpoint=0;missing_session_files=0
LiteBN,OpenBMI_SSVEP,13,15,0,420,14,False,INCOMPLETE,missing_checkpoint=2;missing_session_files=26
LiteBN,WBCIC_MI,5,15,0,450,10,False,INCOMPLETE,missing_checkpoint=10;missing_session_files=15
