model,task,subject_id,session1_mean_BA,session2_mean_BA,session3_mean_BA_if_applicable,worst_session,WS_BA_subject
EEGNet,OpenBMI_MI,4,0.6993333333333333,0.7553333333333334,,S1,0.6993333333333333
EEGNet,OpenBMI_MI,12,0.7606666666666669,0.6839999999999999,,S2,0.6839999999999999
EEGNet,OpenBMI_MI,13,0.7460000000000001,0.6859999999999999,,S2,0.6859999999999999
EEGNet,OpenBMI_MI,17,0.74,0.5646666666666668,,S2,0.5646666666666668
EEGNet,OpenBMI_MI,18,0.6553333333333333,0.6466666666666666,,S2,0.6466666666666666
EEGNet,OpenBMI_MI,24,0.6280000000000001,0.6213333333333334,,S2,0.6213333333333334
EEGNet,OpenBMI_MI,25,0.8013333333333335,0.9846666666666668,,S1,0.8013333333333335
EEGNet,OpenBMI_MI,29,0.6213333333333334,0.6606666666666666,,S1,0.6213333333333334
EEGNet,OpenBMI_MI,36,0.8026666666666668,0.7973333333333333,,S2,0.7973333333333333
EEGNet,OpenBMI_MI,37,0.62,0.6466666666666667,,S1,0.62
EEGNet,OpenBMI_MI,39,0.78,0.6486666666666666,,S2,0.6486666666666666
EEGNet,OpenBMI_MI,42,0.7200000000000001,0.6946666666666665,,S2,0.6946666666666665
EEGNet,OpenBMI_MI,51,0.7,0.676,,S2,0.676
EEGNet,OpenBMI_MI,54,0.6413333333333333,0.7113333333333334,,S1,0.6413333333333333
EEGNet,OpenBMI_ERP,4,0.7652525252525252,0.8933333333333334,,S1,0.7652525252525252
EEGNet,OpenBMI_ERP,12,0.9365454545454546,0.9621818181818181,,S1,0.9365454545454546
EEGNet,OpenBMI_ERP,13,0.8903434343434343,0.9078181818181819,,S1,0.8903434343434343
EEGNet,OpenBMI_ERP,17,0.8099191919191919,0.8235555555555556,,S1,0.8099191919191919
EEGNet,OpenBMI_ERP,18,0.7551243790237121,0.9169898989898989,,S1,0.7551243790237121
EEGNet,OpenBMI_ERP,24,0.9461414141414142,0.8017373737373737,,S2,0.8017373737373737
EEGNet,OpenBMI_ERP,25,0.7826464646464646,0.7648282828282829,,S2,0.7648282828282829
EEGNet,OpenBMI_ERP,29,0.7866666666666667,0.8296161616161616,,S1,0.7866666666666667
EEGNet,OpenBMI_ERP,36,0.9465252525252524,0.9534343434343434,,S1,0.9465252525252524
EEGNet,OpenBMI_ERP,37,0.8518181818181818,0.9481212121212121,,S1,0.8518181818181818
EEGNet,OpenBMI_ERP,39,0.8496161616161617,0.731131313131313,,S2,0.731131313131313
EEGNet,OpenBMI_ERP,42,0.9290101010101012,0.8564040404040405,,S2,0.8564040404040405
EEGNet,OpenBMI_ERP,51,0.876828282828283,0.7531919191919193,,S2,0.7531919191919193
EEGNet,OpenBMI_ERP,54,0.7101010101010101,0.712969696969697,,S1,0.7101010101010101
EEGNet,OpenBMI_SSVEP,4,1.0,1.0,,S1,1.0
EEGNet,OpenBMI_SSVEP,12,0.9900000000000001,0.9466666666666664,,S2,0.9466666666666664
EEGNet,OpenBMI_SSVEP,13,0.9626666666666667,0.7639999999999998,,S2,0.7639999999999998
EEGNet,OpenBMI_SSVEP,17,0.9106666666666666,0.9513333333333335,,S1,0.9106666666666666
EEGNet,OpenBMI_SSVEP,18,0.9873333333333335,1.0,,S1,0.9873333333333335
EEGNet,OpenBMI_SSVEP,24,0.9533333333333335,0.9373333333333331,,S2,0.9373333333333331
EEGNet,OpenBMI_SSVEP,25,0.9906666666666667,0.9379999999999998,,S2,0.9379999999999998
EEGNet,OpenBMI_SSVEP,29,0.9426666666666667,0.8886666666666667,,S2,0.8886666666666667
EEGNet,OpenBMI_SSVEP,36,0.9946666666666668,1.0,,S1,0.9946666666666668
EEGNet,OpenBMI_SSVEP,37,0.9786666666666669,0.9993333333333333,,S1,0.9786666666666669
EEGNet,OpenBMI_SSVEP,39,0.9973333333333334,0.9840000000000001,,S2,0.9840000000000001
EEGNet,OpenBMI_SSVEP,42,0.9886666666666668,0.5493333333333333,,S2,0.5493333333333333
EEGNet,OpenBMI_SSVEP,51,0.6353333333333334,0.7586666666666667,,S1,0.6353333333333334
EEGNet,OpenBMI_SSVEP,54,0.7059999999999998,0.7453333333333333,,S1,0.7059999999999998
EEGNet,WBCIC_MI,sub-4,0.5293333333333333,0.5640000000000001,0.6783333333333332,S1,0.5293333333333333
EEGNet,WBCIC_MI,sub-8,0.8526666666666667,0.9143333333333334,0.9006666666666666,S1,0.8526666666666667
EEGNet,WBCIC_MI,sub-10,0.641,0.6900000000000001,0.8153333333333331,S1,0.641
EEGNet,WBCIC_MI,sub-15,0.7819999999999999,0.7116666666666667,0.7436666666666666,S2,0.7116666666666667
EEGNet,WBCIC_MI,sub-20,0.9299999999999999,0.8403333333333334,0.4936666666666667,S3,0.4936666666666667
EEGNet,WBCIC_MI,sub-39,0.5126666666666667,0.7446666666666667,0.8069999999999999,S1,0.5126666666666667
EEGNet,WBCIC_MI,sub-40,0.7833333333333331,0.69,0.8003333333333332,S2,0.69
EEGNet,WBCIC_MI,sub-43,0.9843333333333333,0.9793333333333332,0.9623333333333333,S3,0.9623333333333333
EEGNet,WBCIC_MI,sub-46,0.9793333333333333,0.9536666666666666,0.932,S3,0.932
EEGNet,WBCIC_MI,sub-51,0.7396666666666667,0.7900000000000001,0.7843333333333332,S1,0.7396666666666667
CBraMod,OpenBMI_MI,4,0.49800000000000005,0.4886666666666667,,S2,0.4886666666666667
CBraMod,OpenBMI_MI,12,0.504,0.5266666666666667,,S1,0.504
CBraMod,OpenBMI_MI,13,0.5153333333333333,0.524,,S1,0.5153333333333333
CBraMod,OpenBMI_MI,17,0.4933333333333333,0.526,,S1,0.4933333333333333
CBraMod,OpenBMI_MI,18,0.48466666666666663,0.4880000000000001,,S1,0.48466666666666663
CBraMod,OpenBMI_MI,24,0.4986666666666667,0.5180000000000001,,S1,0.4986666666666667
CBraMod,OpenBMI_MI,25,0.4826666666666667,0.5046666666666666,,S1,0.4826666666666667
CBraMod,OpenBMI_MI,29,0.5206666666666666,0.4906666666666667,,S2,0.4906666666666667
CBraMod,OpenBMI_MI,36,0.5133333333333334,0.5220000000000001,,S1,0.5133333333333334
CBraMod,OpenBMI_MI,37,0.47333333333333333,0.4640000000000001,,S2,0.4640000000000001
CBraMod,OpenBMI_MI,39,0.5099999999999999,0.5153333333333333,,S1,0.5099999999999999
CBraMod,OpenBMI_MI,42,0.486,0.5006666666666667,,S1,0.486
CBraMod,OpenBMI_MI,51,0.5293333333333333,0.5153333333333333,,S2,0.5153333333333333
CBraMod,OpenBMI_MI,54,0.516,0.5106666666666667,,S2,0.5106666666666667
CBraMod,OpenBMI_ERP,4,0.7011313131313132,0.7524848484848483,,S1,0.7011313131313132
CBraMod,OpenBMI_ERP,12,0.8677171717171718,0.873232323232323,,S1,0.8677171717171718
CBraMod,OpenBMI_ERP,13,0.8340808080808081,0.8314747474747475,,S2,0.8314747474747475
CBraMod,OpenBMI_ERP,17,0.709959595959596,0.705858585858586,,S2,0.705858585858586
CBraMod,OpenBMI_ERP,18,0.7005944833416027,0.7653535353535353,,S1,0.7005944833416027
CBraMod,OpenBMI_ERP,24,0.9028888888888889,0.8500808080808082,,S2,0.8500808080808082
CBraMod,OpenBMI_ERP,25,0.6819797979797979,0.6745050505050505,,S2,0.6745050505050505
CBraMod,OpenBMI_ERP,29,0.7453131313131311,0.7699797979797981,,S1,0.7453131313131311
CBraMod,OpenBMI_ERP,36,0.8345454545454544,0.8461616161616163,,S1,0.8345454545454544
CBraMod,OpenBMI_ERP,37,0.7363838383838385,0.8374545454545455,,S1,0.7363838383838385
CBraMod,OpenBMI_ERP,39,0.782949494949495,0.6170505050505051,,S2,0.6170505050505051
CBraMod,OpenBMI_ERP,42,0.7964040404040403,0.7208282828282827,,S2,0.7208282828282827
CBraMod,OpenBMI_ERP,51,0.7351111111111112,0.5963838383838383,,S2,0.5963838383838383
CBraMod,OpenBMI_ERP,54,0.6405252525252524,0.6232525252525252,,S2,0.6232525252525252
CBraMod,OpenBMI_SSVEP,4,0.9953333333333333,1.0,,S1,0.9953333333333333
CBraMod,OpenBMI_SSVEP,12,0.998,0.9239999999999998,,S2,0.9239999999999998
CBraMod,OpenBMI_SSVEP,13,0.8340000000000001,0.7540000000000001,,S2,0.7540000000000001
CBraMod,OpenBMI_SSVEP,17,0.8493333333333334,0.8893333333333332,,S1,0.8493333333333334
CBraMod,OpenBMI_SSVEP,18,0.9613333333333334,0.9986666666666667,,S1,0.9613333333333334
CBraMod,OpenBMI_SSVEP,24,0.8400000000000001,0.8786666666666666,,S1,0.8400000000000001
