dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,1,0.39,1.28,0.3446027405530499,3.8487706469851672,0.3275,0.5198515057563782,-0.25767868757247925
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,3,0.34,1.19,0.4985111424272888,4.574374562274375,0.28125,0.5709320306777954,-0.41709598898887634
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,5,0.44,1.43,0.3752469441534565,3.4657852801125473,0.3675,0.5162186026573181,0.01913564931601286
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,6,0.42,1.23,0.25978985788563097,2.4281627680227387,0.3075,0.4709094762802124,0.11285951361060143
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,7,0.37,1.22,0.3042469095075406,3.567044569856412,0.31875,0.4893791675567627,0.0676220953464508
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,8,0.31,0.98,0.5153304083011014,4.363877017926721,0.2625,0.5805072486400604,0.11327434703707695
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,9,0.35,1.03,0.3213304047243995,3.1582303478886145,0.26375,0.5356293320655823,-0.0957552120089531
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,10,0.32,1.21,0.39768419939282407,4.044904366508341,0.30625,0.620263397693634,0.038718029856681824
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,11,0.36,1.21,0.24154611297399686,3.6145074150431213,0.26375,0.4715208113193512,-0.10936982929706573
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,14,0.38,1.3,0.30478690103304124,3.148955103471255,0.3075,0.5795234441757202,-0.01608649641275406
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,21,0.47,1.62,0.635083045169497,4.86144285380864,0.435,0.6551523804664612,0.0024661815259605646
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,22,0.33,1.01,0.2330883739184319,2.76456383008583,0.26875,0.5219992995262146,-0.14609026908874512
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,23,0.29,0.9,0.26964835472984866,3.791867362549803,0.24375,0.5429812073707581,-0.12865620851516724
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,27,0.32,0.96,0.23958268686681466,3.2673411572043913,0.25375,0.48664313554763794,-0.12332441657781601
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,28,0.42,1.36,0.3476107541583722,4.770839794550717,0.36625,0.5304699540138245,0.0025850480888038874
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,30,0.35,1.22,0.4023619397568165,3.6117901920449964,0.30125,0.6256315112113953,-0.06606133282184601
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,31,0.39,1.16,0.2768129620318009,3.263987294610757,0.295,0.4992173910140991,-0.027025080285966396
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,34,0.29,0.97,0.3113908141006262,4.205610716625158,0.25375,0.539300799369812,0.0006892278324812651
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,35,0.4,1.4,0.5415840628814045,3.8308935940226996,0.36875,0.4854801297187805,0.1719019114971161
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,40,0.31,0.99,0.2702155450448714,3.813868780925562,0.245,0.47045089304447174,-0.15019582957029343
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,43,0.38,1.03,0.2519191096376766,3.0732140052395365,0.2725,0.4879832863807678,-0.0015873649390414357
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,44,0.39,1.07,0.25660294006875073,3.4559738362795844,0.3,0.4799858629703522,-0.004512160550802946
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,48,0.25,0.8,0.36150905635381775,3.0393867268351484,0.20875,0.54908287525177,0.06864186376333237
OpenBMI,0,0,Bures-HardSCST,0.5,0.5,52,0.35,1.2,0.3057973602496937,3.293264596197611,0.30125,0.4886607229709625,0.1358851194381714
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,1,0.39,1.28,0.32493473686754537,3.6960315891273363,0.16125,0.5060412287712097,-0.21989226341247559
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,3,0.34,1.19,0.47233257535873374,4.27636093821145,0.15,0.5527628362178802,-0.43161915242671967
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,5,0.44,1.43,0.3863323996250331,3.442271021881499,0.17875,0.5302947163581848,0.023108260706067085
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,6,0.42,1.23,0.234804776877862,2.0702981690037743,0.1575,0.4559527337551117,0.09859450161457062
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,7,0.37,1.22,0.27966392367656157,3.300361490403267,0.15375,0.4893791675567627,0.07858575880527496
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,8,0.31,0.98,0.5146396796826911,4.542176902346613,0.12375,0.5591583847999573,0.08532337099313736
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,9,0.35,1.03,0.3191835892231058,3.0280124318220403,0.13625,0.5356293320655823,-0.08763477206230164
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,10,0.32,1.21,0.41436650032203953,4.170778026753235,0.15125,0.6025134921073914,0.027984391897916794
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,11,0.36,1.21,0.2424882190868132,3.57448177160291,0.15625,0.46589532494544983,-0.10879196971654892
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,14,0.38,1.3,0.28575409075668917,2.905641986343176,0.1675,0.5546419322490692,-0.008906754665076733
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,21,0.47,1.62,0.6419718790125629,4.83954415720826,0.2025,0.6311854720115662,-0.0013785093433398288
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,22,0.33,1.01,0.22514864779521765,2.6598419591904827,0.1275,0.5296434462070465,-0.11150668561458588
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,23,0.29,0.9,0.24903057875129675,3.6418949557609825,0.115,0.5246710479259491,-0.10904872044920921
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,27,0.32,0.96,0.22750027742728784,3.014922131953463,0.12125,0.4742976725101471,-0.08603890985250473
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,28,0.42,1.36,0.3385811913014522,4.462342473830837,0.17125,0.5367310643196106,0.01891169883310795
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,30,0.35,1.22,0.4072820648722813,3.4047162106359123,0.155,0.639482170343399,-0.06581617891788483
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,31,0.39,1.16,0.29851084918547977,3.481890623983144,0.1475,0.49825792014598846,-0.03134692460298538
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,34,0.29,0.97,0.3029308972395864,4.129543461990401,0.1225,0.5457846820354462,-0.008989019319415092
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,35,0.4,1.4,0.5375112926984201,3.805779700600719,0.175,0.4769936800003052,0.17317868024110794
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,40,0.31,0.99,0.24704290872201376,3.581609463989301,0.125,0.4645514339208603,-0.14185895770788193
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,43,0.38,1.03,0.26448852820881746,3.027211769140616,0.135,0.5033794045448303,-0.015262643806636333
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,44,0.39,1.07,0.2367735157972199,3.1614069361513053,0.135,0.4638054221868515,-0.006301194196566939
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,48,0.25,0.8,0.3931889897011337,3.1538778497452933,0.1,0.5449075102806091,0.06215802952647209
OpenBMI,0,0,Bures-HardRandom,0.5,0.5,52,0.35,1.2,0.320468629571133,3.278799323978576,0.15125,0.5005925893783569,0.12489870935678482
WBCIC,0,0,Bures-HardSCST,0.5,0.5,6,0.735,2.135,0.28411230650847397,3.8268479892370713,0.5675,0.636925607919693,0.11720151826739311
WBCIC,0,0,Bures-HardSCST,0.5,0.5,7,0.595,1.755,0.3488924979334473,5.802470471221257,0.47875,0.6131501793861389,0.027433590963482857
WBCIC,0,0,Bures-HardSCST,0.5,0.5,9,0.44,1.32,0.24163089861871842,5.115340371098709,0.31125,0.5517957508563995,-0.060468889772892
WBCIC,0,0,Bures-HardSCST,0.5,0.5,12,0.25,0.645,0.2617350114787228,4.405950985461553,0.16375,0.5837771892547607,-0.025700760073959827
WBCIC,0,0,Bures-HardSCST,0.5,0.5,14,0.31,0.825,0.26112963867617944,5.264672754272771,0.198125,0.562752902507782,-0.03780534118413925
WBCIC,0,0,Bures-HardSCST,0.5,0.5,17,0.465,1.395,0.32706352988550913,6.509699320247333,0.37125,0.5685524344444275,-0.011208610609173775
WBCIC,0,0,Bures-HardSCST,0.5,0.5,22,0.41,1.285,0.3182328709106166,4.9797053675088705,0.3275,0.5406435132026672,-0.0009001733269542456
WBCIC,0,0,Bures-HardSCST,0.5,0.5,23,0.7035175879396985,2.2110552763819094,0.2812178454139578,5.379587186588408,0.535175879396985,0.5332465767860413,0.0107418866828084
WBCIC,0,0,Bures-HardSCST,0.5,0.5,24,0.75,2.26,0.2812735275517848,4.01101069965793,0.58625,0.706638365983963,0.07182025909423828
WBCIC,0,0,Bures-HardSCST,0.5,0.5,25,0.73,2.045,0.2587661184201794,3.599155524586639,0.518125,0.5699689984321594,-0.03969060257077217
WBCIC,0,0,Bures-HardSCST,0.5,0.5,26,0.6633165829145728,2.14070351758794,0.4150515411959824,9.832363606873376,0.5791457286432161,0.5750930309295654,-0.004953516647219658
WBCIC,0,0,Bures-HardSCST,0.5,0.5,29,0.355,1.01,0.2922053733351863,5.702313900156271,0.265,0.5597392618656158,0.013976227026432753
