dataset,fold,seed,metric_scope,nearest_self_rate,top3_self_rate,top5_self_rate,target_subject_fraction_top5,anchor_excluded_local_5nn_radius,displacement_radius_ratio_median,target_distance_improvement,target_gaussian_affinity_improvement,transported_margin_drop_over_abs_clean_margin,margin_drop_status,prediction_disagreement_mean,final_head_parameter_distance_mean,prediction_disagreement_pairs,hard_random_matching_empty,hard_random_whitened_norm_mismatch_mean,matching_quantities_regenerable
OpenBMI,0,0,V2 source cache,1.0,1.0,1.0,0.6791666666666667,2.9307661926062236,0.015171503648161888,0.014255194949607055,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,0,1,V2 source cache,1.0,1.0,1.0,0.7001666666666665,2.954146894834447,0.013169692363590002,0.011466028404732546,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,0,2,V2 source cache,1.0,1.0,1.0,0.6995833333333332,2.932650253628686,0.012223349884152412,0.009801116610566775,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,1,0,V2 source cache,1.0,1.0,1.0,0.6844999999999999,2.9742692436579485,0.013648361433297396,0.012060800616939862,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,1,1,V2 source cache,1.0,1.0,1.0,0.697,2.963310495128563,0.013489129487425089,0.010467132739722728,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,1,2,V2 source cache,1.0,1.0,1.0,0.6914166666666666,2.97593770048457,0.013778011780232191,0.011092425882816314,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,2,0,V2 source cache,1.0,1.0,1.0,0.7139166666666666,2.8794894245361355,0.010445070918649435,0.006561619713902473,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,2,1,V2 source cache,1.0,1.0,1.0,0.7045833333333333,2.8026729845170832,0.011949349660426378,0.007888214252889157,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,2,2,V2 source cache,1.0,1.0,1.0,0.6985833333333333,2.901792790326739,0.011967324186116457,0.009172792931397757,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,3,0,V2 source cache,1.0,1.0,1.0,0.7201666666666665,2.8682348872095513,0.010049451142549515,0.005504497078557809,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,3,1,V2 source cache,1.0,1.0,1.0,0.6965833333333333,2.935655925081064,0.014126511290669441,0.011573097407817841,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,3,2,V2 source cache,1.0,1.0,1.0,0.7175833333333332,2.9128619732326912,0.010454030241817236,0.006600317917764187,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,4,0,V2 source cache,1.0,1.0,1.0,0.6990833333333332,2.879834374632054,0.012370772194117308,0.009407579724987347,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,4,1,V2 source cache,1.0,1.0,1.0,0.6804166666666667,2.935216860347934,0.013662614859640598,0.012319690659642219,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
OpenBMI,4,2,V2 source cache,1.0,1.0,1.0,0.6808333333333333,2.848917774350113,0.014089378528296947,0.01193720189233621,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,0,0,V2 source cache,1.0,1.0,1.0,0.619383076281784,2.2361526461252907,0.016525540500879288,0.018394594399468906,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,0,1,V2 source cache,1.0,1.0,1.0,0.6393914130887869,2.413954867866459,0.01630573160946369,0.01732002562373914,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,0,2,V2 source cache,1.0,1.0,1.0,0.5824093372238432,2.1308626353245304,0.027126251719892025,0.026376411415055773,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,1,0,V2 source cache,1.0,1.0,1.0,0.5719943988797759,2.028925184312508,0.03186461515724659,0.0313790974902687,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,1,1,V2 source cache,1.0,1.0,1.0,0.5829965993198639,2.052365992568712,0.03249795734882355,0.0321297742565004,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,1,2,V2 source cache,1.0,1.0,1.0,0.6194838967793558,2.30055983383513,0.021380065940320492,0.022580380346398754,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
WBCIC,2,0,V2 source cache,1.0,1.0,1.0,0.68524,2.113206724937867,0.02018587663769722,0.012490493682026864,,,NOT_REGENERABLE_FROM_V2_CACHE_NO_LOGITS,0.00016358024691358021,0.0005103138243106918,45,False,6.42638074188737e-08,True
