dataset,seed,fold,subject_id,summary_type,BA,accuracy,macro_F1,NLL,trials,seed_0_BA,seed_1_BA,seed_2_BA
OpenBMI,all,0,13,primary_three_seed_probability_mean,0.81,0.81,0.8098288459613652,0.45172131969063206,100,0.76,0.78,0.73
OpenBMI,all,0,14,primary_three_seed_probability_mean,0.78,0.78,0.779205138498595,0.4525124495095883,100,0.76,0.75,0.8300000000000001
OpenBMI,all,0,19,primary_three_seed_probability_mean,0.78,0.78,0.7726333195535345,0.5278619494192258,100,0.6699999999999999,0.77,0.77
OpenBMI,all,0,2,primary_three_seed_probability_mean,0.8,0.8,0.7992773986350863,0.3958112530659152,100,0.81,0.76,0.79
OpenBMI,all,0,32,primary_three_seed_probability_mean,0.8200000000000001,0.82,0.8199279711884754,0.47974400225109626,100,0.75,0.81,0.78
OpenBMI,all,0,33,primary_three_seed_probability_mean,0.87,0.87,0.8684077335762729,0.2641931514748407,100,0.78,0.81,0.96
OpenBMI,all,0,36,primary_three_seed_probability_mean,0.96,0.96,0.9599358974358975,0.12247139756242267,100,0.94,0.95,0.96
OpenBMI,all,0,40,primary_three_seed_probability_mean,0.8200000000000001,0.82,0.8164014687882497,0.36333326209190075,100,0.84,0.79,0.8
OpenBMI,all,0,47,primary_three_seed_probability_mean,0.97,0.97,0.96999699969997,0.20235734842194383,100,0.96,0.94,0.97
OpenBMI,all,0,50,primary_three_seed_probability_mean,0.6,0.6,0.5404411764705883,0.9205725883425332,100,0.5700000000000001,0.53,0.6
OpenBMI,all,0,53,primary_three_seed_probability_mean,0.83,0.83,0.8299829982998299,0.38662376111769103,100,0.8,0.79,0.81
OpenBMI,all,1,1,primary_three_seed_probability_mean,0.75,0.75,0.742559983523839,0.5171254062465124,100,0.77,0.65,0.72
OpenBMI,all,1,10,primary_three_seed_probability_mean,0.75,0.75,0.7469379491851402,0.5150867197013664,100,0.77,0.6799999999999999,0.67
OpenBMI,all,1,16,primary_three_seed_probability_mean,0.85,0.85,0.84998499849985,0.3143961633515744,100,0.84,0.8200000000000001,0.86
OpenBMI,all,1,25,primary_three_seed_probability_mean,1.0,1.0,1.0,0.05768397292325103,100,1.0,1.0,1.0
OpenBMI,all,1,35,primary_three_seed_probability_mean,0.81,0.81,0.8056265984654731,0.3761696838701325,100,0.8,0.8,0.85
OpenBMI,all,1,42,primary_three_seed_probability_mean,0.77,0.77,0.7681217864704104,0.49969030954215443,100,0.78,0.6799999999999999,0.76
OpenBMI,all,1,43,primary_three_seed_probability_mean,0.94,0.94,0.9399759903961584,0.26382371145502526,100,0.9099999999999999,0.81,0.94
OpenBMI,all,1,45,primary_three_seed_probability_mean,0.9199999999999999,0.92,0.9198717948717949,0.3435732235267705,100,0.92,0.75,0.8899999999999999
OpenBMI,all,1,48,primary_three_seed_probability_mean,0.61,0.61,0.6052232007288187,0.6258884735497836,100,0.61,0.69,0.55
OpenBMI,all,1,5,primary_three_seed_probability_mean,0.8,0.8,0.7960016319869441,0.4290717971709973,100,0.79,0.72,0.81
OpenBMI,all,1,6,primary_three_seed_probability_mean,0.97,0.97,0.9699729756781104,0.1248888485989271,100,0.96,0.94,0.96
OpenBMI,all,2,18,primary_three_seed_probability_mean,0.8799999999999999,0.88,0.8795664391810518,0.30682249226254005,100,0.8500000000000001,0.8200000000000001,0.8899999999999999
OpenBMI,all,2,22,primary_three_seed_probability_mean,0.74,0.74,0.7291666666666667,0.5573583089563239,100,0.75,0.63,0.79
OpenBMI,all,2,26,primary_three_seed_probability_mean,0.89,0.89,0.8899889988998899,0.2599804251228764,100,0.89,0.8200000000000001,0.88
OpenBMI,all,2,29,primary_three_seed_probability_mean,0.85,0.85,0.8481627695110842,0.3152358747693147,100,0.81,0.86,0.8
OpenBMI,all,2,34,primary_three_seed_probability_mean,0.69,0.69,0.6807743795695603,0.7029900134533008,100,0.7,0.6799999999999999,0.69
OpenBMI,all,2,4,primary_three_seed_probability_mean,0.8300000000000001,0.83,0.8298468621759583,0.37127196101312804,100,0.8200000000000001,0.8300000000000001,0.85
OpenBMI,all,2,44,primary_three_seed_probability_mean,0.89,0.89,0.8886526976414617,0.2564611325041287,100,0.87,0.9099999999999999,0.9
OpenBMI,all,2,51,primary_three_seed_probability_mean,0.81,0.81,0.8099809980998101,0.47058443534544325,100,0.8,0.77,0.79
OpenBMI,all,2,52,primary_three_seed_probability_mean,0.74,0.74,0.7211497211497211,0.6296214960950234,100,0.79,0.65,0.76
OpenBMI,all,2,54,primary_three_seed_probability_mean,0.79,0.79,0.78997899789979,0.44378564479701027,100,0.78,0.76,0.74
OpenBMI,all,2,7,primary_three_seed_probability_mean,0.8200000000000001,0.82,0.8164014687882497,0.4047423470300162,100,0.8999999999999999,0.8,0.8
OpenBMI,all,3,15,primary_three_seed_probability_mean,0.91,0.91,0.90999099909991,0.32119867530274504,100,0.9,0.84,0.8899999999999999
OpenBMI,all,3,17,primary_three_seed_probability_mean,0.71,0.71,0.7064480210547626,0.6146326934756035,100,0.6799999999999999,0.7,0.7
OpenBMI,all,3,20,primary_three_seed_probability_mean,0.9099999999999999,0.91,0.9095568284594513,0.26508502003222234,100,0.9199999999999999,0.84,0.8799999999999999
OpenBMI,all,3,21,primary_three_seed_probability_mean,0.99,0.99,0.9899989998999901,0.07360757419155461,100,0.97,0.9199999999999999,0.99
OpenBMI,all,3,24,primary_three_seed_probability_mean,0.55,0.55,0.4479205005520795,1.1320201842178188,100,0.59,0.57,0.54
OpenBMI,all,3,27,primary_three_seed_probability_mean,0.95,0.95,0.9499549594635172,0.15831000995726874,100,0.9299999999999999,0.94,0.95
