dataset,model,subject_id,candidate_BA,EEGNet_BA,delta_pp
OpenBMI,Compact,15,0.8,0.8400000000000001,-4.0000000000000036
OpenBMI,Compact,38,0.76,0.6599999999999999,10.000000000000009
OpenBMI,Compact,6,0.95,0.96,-1.0000000000000009
OpenBMI,Compact,33,0.9299999999999999,0.8400000000000001,8.999999999999986
OpenBMI,Compact,32,0.77,0.6799999999999999,9.000000000000007
OpenBMI,Compact,3,0.9299999999999999,0.86,6.999999999999995
OpenBMI,Compact,5,0.72,0.6699999999999999,5.000000000000004
OpenBMI,Compact,47,0.86,0.73,13.0
OpenBMI,Compact,26,0.85,0.8799999999999999,-2.9999999999999916
OpenBMI,Compact,2,0.75,0.83,-7.9999999999999964
OpenBMI,Compact,14,0.69,0.69,0.0
OpenBMI,Compact,31,0.8500000000000001,0.86,-0.9999999999999898
OpenBMI,Compact,28,0.85,0.85,0.0
OpenBMI,Compact,35,0.81,0.8300000000000001,-2.0000000000000018
WBCIC,Compact,sub-6,0.9,0.905,-0.5000000000000004
WBCIC,Compact,sub-22,0.685,0.76,-7.499999999999996
WBCIC,Compact,sub-44,0.8200000000000001,0.815,0.5000000000000115
WBCIC,Compact,sub-35,0.935,0.955,-1.9999999999999907
WBCIC,Compact,sub-18,0.655,0.64,1.5000000000000013
WBCIC,Compact,sub-9,0.525,0.61,-8.499999999999996
WBCIC,Compact,sub-49,0.88,0.83,5.000000000000004
WBCIC,Compact,sub-28,0.615,0.6950000000000001,-8.000000000000007
WBCIC,Compact,sub-37,0.775,0.85,-7.499999999999996
WBCIC,Compact,sub-12,0.745,0.75,-0.5000000000000004
WBCIC,Compact,sub-30,0.825,0.91,-8.500000000000007
OpenBMI,LiteBN,15,0.89,0.8400000000000001,4.999999999999993
OpenBMI,LiteBN,38,0.6799999999999999,0.6599999999999999,2.0000000000000018
OpenBMI,LiteBN,6,0.94,0.96,-2.0000000000000018
OpenBMI,LiteBN,33,0.9299999999999999,0.8400000000000001,8.999999999999986
OpenBMI,LiteBN,32,0.81,0.6799999999999999,13.00000000000001
OpenBMI,LiteBN,3,0.95,0.86,8.999999999999996
OpenBMI,LiteBN,5,0.74,0.6699999999999999,7.000000000000006
OpenBMI,LiteBN,47,0.87,0.73,14.000000000000002
OpenBMI,LiteBN,26,0.8300000000000001,0.8799999999999999,-4.999999999999982
OpenBMI,LiteBN,2,0.81,0.83,-1.9999999999999907
OpenBMI,LiteBN,14,0.6599999999999999,0.69,-3.0000000000000027
OpenBMI,LiteBN,31,0.82,0.86,-4.0000000000000036
OpenBMI,LiteBN,28,0.85,0.85,0.0
OpenBMI,LiteBN,35,0.84,0.8300000000000001,0.9999999999999898
WBCIC,LiteBN,sub-6,0.9,0.905,-0.5000000000000004
WBCIC,LiteBN,sub-22,0.7050000000000001,0.76,-5.499999999999994
WBCIC,LiteBN,sub-44,0.8300000000000001,0.815,1.5000000000000124
WBCIC,LiteBN,sub-35,0.905,0.955,-4.999999999999993
WBCIC,LiteBN,sub-18,0.63,0.64,-1.0000000000000009
WBCIC,LiteBN,sub-9,0.575,0.61,-3.500000000000003
WBCIC,LiteBN,sub-49,0.845,0.83,1.5000000000000013
WBCIC,LiteBN,sub-28,0.52,0.6950000000000001,-17.500000000000004
WBCIC,LiteBN,sub-37,0.845,0.85,-0.5000000000000004
WBCIC,LiteBN,sub-12,0.75,0.75,0.0
WBCIC,LiteBN,sub-30,0.835,0.91,-7.500000000000007
OpenBMI,LiteGN,15,0.78,0.8400000000000001,-6.000000000000005
OpenBMI,LiteGN,38,0.63,0.6599999999999999,-2.9999999999999916
OpenBMI,LiteGN,6,0.96,0.96,0.0
OpenBMI,LiteGN,33,0.8300000000000001,0.8400000000000001,-1.0000000000000009
OpenBMI,LiteGN,32,0.71,0.6799999999999999,3.0000000000000027
OpenBMI,LiteGN,3,0.94,0.86,7.9999999999999964
OpenBMI,LiteGN,5,0.74,0.6699999999999999,7.000000000000006
OpenBMI,LiteGN,47,0.9199999999999999,0.73,18.999999999999993
OpenBMI,LiteGN,26,0.8500000000000001,0.8799999999999999,-2.9999999999999805
OpenBMI,LiteGN,2,0.79,0.83,-3.9999999999999925
OpenBMI,LiteGN,14,0.6799999999999999,0.69,-1.0000000000000009
OpenBMI,LiteGN,31,0.88,0.86,2.0000000000000018
OpenBMI,LiteGN,28,0.9,0.85,5.000000000000004
OpenBMI,LiteGN,35,0.81,0.8300000000000001,-2.0000000000000018
WBCIC,LiteGN,sub-6,0.905,0.905,0.0
WBCIC,LiteGN,sub-22,0.685,0.76,-7.499999999999996
WBCIC,LiteGN,sub-44,0.7849999999999999,0.815,-3.0000000000000027
WBCIC,LiteGN,sub-35,0.9450000000000001,0.955,-0.9999999999999898
WBCIC,LiteGN,sub-18,0.61,0.64,-3.0000000000000027
WBCIC,LiteGN,sub-9,0.5700000000000001,0.61,-3.9999999999999925
WBCIC,LiteGN,sub-49,0.855,0.83,2.500000000000002
WBCIC,LiteGN,sub-28,0.6,0.6950000000000001,-9.500000000000009
WBCIC,LiteGN,sub-37,0.86,0.85,1.0000000000000009
WBCIC,LiteGN,sub-12,0.765,0.75,1.5000000000000013
WBCIC,LiteGN,sub-30,0.865,0.91,-4.5000000000000036
OpenBMI,MSResidual,15,0.79,0.8400000000000001,-5.000000000000004
OpenBMI,MSResidual,38,0.63,0.6599999999999999,-2.9999999999999916
OpenBMI,MSResidual,6,0.96,0.96,0.0
OpenBMI,MSResidual,33,0.87,0.8400000000000001,2.9999999999999916
OpenBMI,MSResidual,32,0.6799999999999999,0.6799999999999999,0.0
OpenBMI,MSResidual,3,0.88,0.86,2.0000000000000018
OpenBMI,MSResidual,5,0.65,0.6699999999999999,-1.9999999999999907
OpenBMI,MSResidual,47,0.74,0.73,1.0000000000000009
OpenBMI,MSResidual,26,0.8200000000000001,0.8799999999999999,-5.999999999999983
OpenBMI,MSResidual,2,0.85,0.83,2.0000000000000018
OpenBMI,MSResidual,14,0.71,0.69,2.0000000000000018
OpenBMI,MSResidual,31,0.88,0.86,2.0000000000000018
OpenBMI,MSResidual,28,0.87,0.85,2.0000000000000018
OpenBMI,MSResidual,35,0.88,0.8300000000000001,4.999999999999993
WBCIC,MSResidual,sub-6,0.9,0.905,-0.5000000000000004
WBCIC,MSResidual,sub-22,0.75,0.76,-1.0000000000000009
WBCIC,MSResidual,sub-44,0.7949999999999999,0.815,-2.0000000000000018
WBCIC,MSResidual,sub-35,0.955,0.955,0.0
WBCIC,MSResidual,sub-18,0.61,0.64,-3.0000000000000027
WBCIC,MSResidual,sub-9,0.565,0.61,-4.5000000000000036
WBCIC,MSResidual,sub-49,0.855,0.83,2.500000000000002
WBCIC,MSResidual,sub-28,0.66,0.6950000000000001,-3.500000000000003
WBCIC,MSResidual,sub-37,0.85,0.85,0.0
WBCIC,MSResidual,sub-12,0.755,0.75,0.5000000000000004
WBCIC,MSResidual,sub-30,0.89,0.91,-2.0000000000000018
OpenBMI,MSResidualRMS,15,0.75,0.8400000000000001,-9.000000000000007
OpenBMI,MSResidualRMS,38,0.61,0.6599999999999999,-4.999999999999993
OpenBMI,MSResidualRMS,6,0.94,0.96,-2.0000000000000018
OpenBMI,MSResidualRMS,33,0.8600000000000001,0.8400000000000001,2.0000000000000018
OpenBMI,MSResidualRMS,32,0.72,0.6799999999999999,4.0000000000000036
OpenBMI,MSResidualRMS,3,0.87,0.86,1.0000000000000009
OpenBMI,MSResidualRMS,5,0.6799999999999999,0.6699999999999999,1.0000000000000009
OpenBMI,MSResidualRMS,47,0.74,0.73,1.0000000000000009
OpenBMI,MSResidualRMS,26,0.8200000000000001,0.8799999999999999,-5.999999999999983
OpenBMI,MSResidualRMS,2,0.81,0.83,-1.9999999999999907
OpenBMI,MSResidualRMS,14,0.64,0.69,-4.999999999999993
OpenBMI,MSResidualRMS,31,0.89,0.86,3.0000000000000027
OpenBMI,MSResidualRMS,28,0.8899999999999999,0.85,3.9999999999999925
OpenBMI,MSResidualRMS,35,0.8,0.8300000000000001,-3.0000000000000027
WBCIC,MSResidualRMS,sub-6,0.895,0.905,-1.0000000000000009
WBCIC,MSResidualRMS,sub-22,0.755,0.76,-0.5000000000000004
WBCIC,MSResidualRMS,sub-44,0.8,0.815,-1.4999999999999902
WBCIC,MSResidualRMS,sub-35,0.955,0.955,0.0
WBCIC,MSResidualRMS,sub-18,0.5900000000000001,0.64,-4.999999999999993
WBCIC,MSResidualRMS,sub-9,0.575,0.61,-3.500000000000003
WBCIC,MSResidualRMS,sub-49,0.835,0.83,0.5000000000000004
WBCIC,MSResidualRMS,sub-28,0.6799999999999999,0.6950000000000001,-1.5000000000000124
WBCIC,MSResidualRMS,sub-37,0.86,0.85,1.0000000000000009
WBCIC,MSResidualRMS,sub-12,0.76,0.75,1.0000000000000009
WBCIC,MSResidualRMS,sub-30,0.89,0.91,-2.0000000000000018
