dataset,method,selection_pool_subjects,selection_BA,BA,macro_f1,OUTER_TEST_USED
OpenBMI,K0_SINGLE_KEEP,10,0.8595,0.8592307692307694,0.8570346323777932,False
OpenBMI,K1_KEEP_MAJORITY,10,0.8495000000000001,0.8496153846153847,0.8462766129580911,False
OpenBMI,K2_KEEP_MEAN_LOGIT,10,0.8585,0.8584615384615385,0.8562757401701696,False
OpenBMI,K3_KEEP_MEAN_PROBABILITY,10,0.8595,0.8592307692307694,0.8570346323777932,False
OpenBMI,K4_KEEP_MEDIAN_PROBABILITY,10,0.852,0.8534615384615384,0.8512288410810847,False
OpenBMI,K5_KEEP_CALIBRATED,10,0.8585,0.8584615384615385,0.8562757401701696,False
OpenBMI,K6_I003_PROTECTED_SAFE,10,0.8585,0.8584615384615385,0.8562757401701696,False
OpenBMI,K7_I003_FULL,10,0.8585,0.8584615384615385,0.8562757401701696,False
WBCIC,K0_SINGLE_KEEP,41,0.7651958610495195,0.7651958610495195,0.7598718327006898,False
WBCIC,K1_KEEP_MAJORITY,41,0.7644579945799459,0.7644579945799459,0.7600311862179754,False
WBCIC,K2_KEEP_MEAN_LOGIT,41,0.7662934220251293,0.7662934220251293,0.7610907435936047,False
WBCIC,K3_KEEP_MEAN_PROBABILITY,41,0.7651958610495195,0.7651958610495195,0.7598718327006898,False
WBCIC,K4_KEEP_MEDIAN_PROBABILITY,41,0.7593446661739345,0.7593446661739345,0.7515502046616952,False
WBCIC,K5_KEEP_CALIBRATED,41,0.7662934220251293,0.7662934220251293,0.7610907435936047,False
WBCIC,K6_I003_PROTECTED_SAFE,41,0.7662934220251293,0.7662934220251293,0.7610907435936047,False
WBCIC,K7_I003_FULL,41,0.7662934220251293,0.7662934220251293,0.7610907435936047,False
