dataset,subject,strongest_keep_BA,cgrfuse_BA,delta_BA
OpenBMI,8,0.8300000000000001,0.8300000000000001,0.0
OpenBMI,12,0.835,0.835,0.0
OpenBMI,15,0.9099999999999999,0.905,-0.004999999999999893
OpenBMI,20,0.8999999999999999,0.905,0.0050000000000001155
OpenBMI,21,0.9650000000000001,0.97,0.004999999999999893
OpenBMI,23,0.91,0.905,-0.0050000000000000044
OpenBMI,24,0.69,0.69,0.0
OpenBMI,27,0.895,0.895,0.0
OpenBMI,31,0.8600000000000001,0.865,0.004999999999999893
OpenBMI,37,0.995,0.99,-0.0050000000000000044
OpenBMI,39,0.9,0.9,0.0
OpenBMI,41,0.76,0.75,-0.010000000000000009
OpenBMI,46,0.71,0.71,0.0
WBCIC,1,0.875,0.87,-0.0050000000000000044
WBCIC,2,0.5650000000000001,0.5650000000000001,0.0
WBCIC,3,0.8799999999999999,0.8799999999999999,0.0
WBCIC,5,0.89,0.895,0.0050000000000000044
WBCIC,6,0.855,0.85,-0.0050000000000000044
WBCIC,7,0.74,0.735,-0.0050000000000000044
WBCIC,9,0.65,0.645,-0.0050000000000000044
WBCIC,11,0.7849999999999999,0.7849999999999999,0.0
WBCIC,12,0.5449999999999999,0.565,0.020000000000000018
WBCIC,13,0.595,0.595,0.0
WBCIC,14,0.495,0.48,-0.015000000000000013
WBCIC,16,0.49,0.465,-0.024999999999999967
WBCIC,17,0.78,0.79,0.010000000000000009
WBCIC,18,0.6699999999999999,0.6699999999999999,0.0
WBCIC,19,0.935,0.935,0.0
WBCIC,21,0.865,0.865,0.0
WBCIC,22,0.745,0.74,-0.0050000000000000044
WBCIC,23,0.9450000000000001,0.9450000000000001,0.0
WBCIC,24,0.9047979797979797,0.9097979797979798,0.0050000000000001155
WBCIC,25,0.885,0.89,0.0050000000000000044
WBCIC,26,0.8300000000000001,0.8300000000000001,0.0
WBCIC,27,0.5249999999999999,0.5249999999999999,0.0
WBCIC,28,0.765,0.77,0.0050000000000000044
WBCIC,29,0.8049999999999999,0.8049999999999999,0.0
WBCIC,30,0.895,0.905,0.010000000000000009
WBCIC,31,0.6,0.605,0.0050000000000000044
WBCIC,32,0.5532323232323233,0.5532323232323233,0.0
WBCIC,33,0.865,0.8400000000000001,-0.02499999999999991
WBCIC,34,0.435,0.435,0.0
WBCIC,35,0.96,0.96,0.0
WBCIC,36,0.9,0.9,0.0
WBCIC,37,0.855,0.845,-0.010000000000000009
WBCIC,38,0.765,0.765,0.0
WBCIC,41,0.7949999999999999,0.8,0.0050000000000001155
WBCIC,42,0.725,0.725,0.0
WBCIC,44,0.755,0.745,-0.010000000000000009
WBCIC,45,0.825,0.8300000000000001,0.0050000000000001155
WBCIC,47,0.795,0.8,0.0050000000000000044
WBCIC,48,0.86,0.8500000000000001,-0.009999999999999898
WBCIC,49,0.8899999999999999,0.895,0.0050000000000001155
WBCIC,50,0.925,0.925,0.0
