task,dataset,fold,seed,space,gradient_mode,probe_subject,probe_block,loss,checkpoint_sha256,normalizer_sha256,parameter_tensors_total,parameter_tensors_nonzero_gradient,scalar_parameters_total,scalar_elements_abs_grad_gt_1e12,fraction_scalar_active,parameter_names
OpenBMI_MI,OpenBMI,0,0,C,eval_dropout_disabled,1,B1,0.3548806309700012,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
OpenBMI_MI,OpenBMI,0,0,M,eval_dropout_disabled,1,B1,0.3548806309700012,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,0,0,CM,eval_dropout_disabled,1,B1,0.3548806309700012,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,1,0,C,eval_dropout_disabled,3,B1,0.15537691116333008,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
OpenBMI_MI,OpenBMI,1,0,M,eval_dropout_disabled,3,B1,0.15537691116333008,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,1,0,CM,eval_dropout_disabled,3,B1,0.15537691116333008,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,2,0,C,eval_dropout_disabled,2,B1,0.15828438103199005,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
OpenBMI_MI,OpenBMI,2,0,M,eval_dropout_disabled,2,B1,0.15828438103199005,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,2,0,CM,eval_dropout_disabled,2,B1,0.15828438103199005,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
OpenBMI_MI,OpenBMI,3,0,C,eval_dropout_disabled,1,B1,0.33220425248146057,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
