subject,session,basis_type,basis_draw,direction,epsilon,A_P_mean,n_trials,task,fold,stage
1,1,PCA,0,0,0.25,0.0854794904589653,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,1,0.25,0.040359459817409515,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,2,0.25,0.2017926573753357,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,3,0.25,0.01554609090089798,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,4,0.25,-0.01783977635204792,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,5,0.25,-0.028516530990600586,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,6,0.25,0.1864955723285675,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,7,0.25,-0.1260681003332138,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,8,0.25,0.03583414480090141,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,9,0.25,-0.027824966236948967,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,10,0.25,0.11447999626398087,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,11,0.25,-0.0007815554854460061,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,12,0.25,-0.0638369768857956,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,13,0.25,0.16778066754341125,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,14,0.25,-0.0021872399374842644,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,15,0.25,0.013445040211081505,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,0,0.5,0.08578941226005554,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,1,0.5,0.04066109657287598,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,2,0.5,0.2018091082572937,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,3,0.5,0.01592061296105385,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,4,0.5,-0.01786096766591072,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,5,0.5,-0.028525328263640404,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,6,0.5,0.18635883927345276,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,7,0.5,-0.12599895894527435,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,8,0.5,0.035809606313705444,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,9,0.5,-0.02788328006863594,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,10,0.5,0.11445406079292297,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,11,0.5,-0.0008070652838796377,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,12,0.5,-0.06383275240659714,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,13,0.5,0.16777142882347107,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,14,0.5,-0.002195249777287245,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,15,0.5,0.013451257720589638,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,0,1.0,0.08690715581178665,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,1,1.0,0.04159983620047569,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,2,1.0,0.2015872448682785,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,3,1.0,0.016472812741994858,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,4,1.0,-0.017810335382819176,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,5,1.0,-0.0285568255931139,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,6,1.0,0.18582937121391296,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,7,1.0,-0.12582893669605255,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,8,1.0,0.03572474792599678,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,9,1.0,-0.027938323095440865,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,10,1.0,0.11435429751873016,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,11,1.0,-0.0008428838918916881,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,12,1.0,-0.06378588825464249,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,13,1.0,0.16762775182724,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,14,1.0,-0.0022831587120890617,100,OpenBMI_MI,0,TRAIN
1,1,PCA,0,15,1.0,0.01346808671951294,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,0,0.25,0.06485096365213394,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,1,0.25,0.012250429019331932,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,2,0.25,-0.12786072492599487,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,3,0.25,0.0522884875535965,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,4,0.25,-0.009874296374619007,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,5,0.25,-0.010791085660457611,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,6,0.25,-0.10840801894664764,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,7,0.25,-0.05226065590977669,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,8,0.25,-0.03317752107977867,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,9,0.25,-0.00894148275256157,100,OpenBMI_MI,0,TRAIN
1,2,PCA,0,10,0.25,0.03843504562973976,100,OpenBMI_MI,0,TRAIN
