Model,Task,Protected rank,Protected coverage,valid_folds,Status,Protected-only WS-BA,Random-only WS-BA,PSWA mean,PSWA median,PSWA CI low,PSWA CI high,Significant,Future-session advantage pp,Future CI low,Future CI high,Recovery status
EEGNet,OpenBMI_MI,4.8,5/5,5,COMPLETE,0.5997767857142858,0.5376785714285715,6.209821428571429,6.256250000000001,4.819626116071429,7.64154575892857,YES,7.364732142857142,5.267142857142858,9.540636160714286,RECOVERY_OK
EEGNet,OpenBMI_ERP,6.4,5/5,5,COMPLETE,0.7236607142857142,0.6145781250000001,10.908258928571428,11.28125,9.74709263392857,12.057377232142859,YES,11.085714285714284,10.178124999999998,11.958716517857143,RECOVERY_OK
EEGNet,OpenBMI_SSVEP,6.4,5/5,5,COMPLETE,0.7537142857142857,0.6097257142857143,14.39885714285714,14.838999999999999,12.445135714285712,16.296003571428567,YES,14.096857142857141,12.375557142857138,15.836046428571418,RECOVERY_OK
EEGNet,WBCIC_MI,2.0,5/5,5,COMPLETE,0.6890624999999999,0.48784687499999996,20.1215625,18.3859375,12.374031250000002,28.649414062499996,YES,23.151249999999997,16.376679687499998,29.548140625,RECOVERY_OK
CBraMod,OpenBMI_MI,2.4,3/5,3,COMPLETE,0.4702380952380952,0.4635863095238095,0.665178571428572,-0.07552083333333307,-0.2786737351190473,1.753348214285715,NO,1.321056547619048,0.3608630952380955,2.223223586309523,RECOVERY_OK
CBraMod,OpenBMI_ERP,3.4,4/5,4,COMPLETE,0.6037946428571429,0.5689202008928571,3.4874441964285716,3.72265625,2.385595703124999,4.473786272321427,YES,3.5025111607142856,2.15400390625,4.876953125,RECOVERY_OK
CBraMod,OpenBMI_SSVEP,0.6,1/5,1,COMPLETE,0.8092857142857143,0.7334499999999998,7.583571428571425,8.100000000000001,5.899982142857139,9.254999999999997,YES,7.687142857142853,5.8021428571428535,9.318571428571422,RECOVERY_OK
CBraMod,WBCIC_MI,3.0,3/5,3,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
TeCh,OpenBMI_MI,5.6,5/5,5,COMPLETE,0.6410714285714285,0.5610892857142856,7.998214285714285,7.840624999999999,6.059804687499998,9.992433035714283,YES,8.901116071428572,6.502678571428571,11.447103794642857,RECOVERY_OK
TeCh,OpenBMI_ERP,7.0,5/5,5,COMPLETE,0.6953124999999999,0.6181941964285713,7.7118303571428575,7.992187500000001,5.788828125,9.54510044642857,YES,7.853348214285714,6.4508705357142855,9.231925223214283,RECOVERY_OK
TeCh,OpenBMI_SSVEP,7.2,5/5,5,COMPLETE,0.6822857142857143,0.5835957142857143,9.868999999999998,10.490999999999998,8.588253571428572,11.066164285714281,YES,8.828142857142858,7.448803571428571,10.286578571428569,RECOVERY_OK
TeCh,WBCIC_MI,4.8,5/5,5,COMPLETE,0.630625,0.5659125,6.4712499999999995,6.879687499999998,3.754984374999999,9.285953124999997,YES,7.210312499999998,4.288085937499999,9.917234374999996,RECOVERY_OK
ModernTCN,OpenBMI_MI,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
ModernTCN,OpenBMI_ERP,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
ModernTCN,OpenBMI_SSVEP,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
ModernTCN,WBCIC_MI,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
Medformer,OpenBMI_MI,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
Medformer,OpenBMI_ERP,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
Medformer,OpenBMI_SSVEP,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
Medformer,WBCIC_MI,,0/5,0,INCOMPLETE,,,,,,,NOT_ESTIMATED,,,,INCOMPLETE_OR_PENDING
