Model,Task,fold,seed,status,checkpoint_sha256,normalizer_sha256,split_sha256,peeh_cell_sha256,q_cache_path,q_cache_sha256,transform_sha256,stored_active_rank,recovered_active_rank,protected_rank,recovery_checksum,reason
EEGNet,OpenBMI_MI,0,0,RECOVERY_OK,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,759c7d66f48e0fff7d2a7daa88a0a0244060a309465748e3c29cd7c9931dde31,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_mi\fold0_seed0.npz,002ada346e2ba5a5fd659388637794b1c037813c4ecbe6eaba45d95557b739e3,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,20,20,4,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_MI,1,0,RECOVERY_OK,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,f90b10efa676b2c51a6a060ea7d23432cef5c85ac31f45a86edac9d16e9c965d,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_mi\fold1_seed0.npz,763c425c81cf359eb4ca65650cae1ceab90048fc44d7739ee6ae4d7e08a7863f,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,20,20,3,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_MI,2,0,RECOVERY_OK,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,cb027ce8b8c34ce7845db1ef64f1e665aa31f8605e3cde38c7b106a268f3103f,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_mi\fold2_seed0.npz,185316d128f5672c7f447f94cc2253b2eb90cf5a6d0400d6ed3593b33755937c,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,20,20,4,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_MI,3,0,RECOVERY_OK,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,bb80dcb4bfcfeeb96f0e9342c9b5dc40d209dd667c47c0ca87d3662a4ddbe582,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_mi\fold3_seed0.npz,e286b51d23c2d1410bb4ee6a188caa95e51f6270caa4691c4178fc5b7cae6bb6,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683,20,20,8,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_MI,4,0,RECOVERY_OK,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,142048919d21d3f15f18e849acd468fa82d987ad96b884182c94ec45aef35f57,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_mi\fold4_seed0.npz,1afbf8850cbecd5f321501b1e5c30c1c78731cafcdbf197c778e96612c9b085f,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7,20,20,5,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_ERP,0,0,RECOVERY_OK,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,d802cb9ff25cedfd914881e4b993b723650830a4e7d6ac4c4c48af8da117d286,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_erp\fold0_seed0.npz,f44c0613bf87fe6b1e951f0079ac50743a0f84825bfc5a8414ebc58f07d1829e,1e22b42fd855b82701a375241f03905bcc7dd6292fc2aef0df1d7658c014e341,20,20,6,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_ERP,1,0,RECOVERY_OK,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,08d9d83f6f29f05628c64fe1788c351261cdc79d3085ae6a26d689ef876494ff,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_erp\fold1_seed0.npz,5e43550191f97db782c151a4f987d621a9fb7f83fe8fb538b425a95fedd98a17,8ae8d6360de97367688499a58b8962499bee1ea747323a46d3034c9914bafeea,20,20,9,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_ERP,2,0,RECOVERY_OK,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,c422b7d5afb8852abcafceb1bd240be6cac231445ba7d2f15abd5dbef18b3604,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_erp\fold2_seed0.npz,8ea4dcadd839ba7897398d9f4c54482f8890d298b6d3a7b8c95ffc6b426b7a32,47c76a0cf8504fd31dfa2ddab1a5266c6281dd769201ec4e1d309a3f3e6fbcf8,20,20,8,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_ERP,3,0,RECOVERY_OK,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a1da6af0da7f52eba65c2975647edb5574607b9a7c89c4b4bfad68032c602d73,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_erp\fold3_seed0.npz,5802173346ee8033822932bee851d90942428748e3940455d414cc298f97bd46,9504c6dfecaddf203555bf0079a4f380b2070f7f6d77433960dd6cbf11b9b522,20,20,4,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_ERP,4,0,RECOVERY_OK,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,86e1255459f9e181c12139f096e355eae57bd17b3315d9a17434dd8ef89099eb,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_erp\fold4_seed0.npz,a5bf9904791987ca9ff44237bb4e9cb286d72d694ad05fb275c51adffd1f40ab,6087f02e1fc934a80d89914471535a7a529d631df283fc91254b15c7630c16a7,20,20,5,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_SSVEP,0,0,RECOVERY_OK,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,59b66e9e66b9ab08f1ada9b2a5b26e0a98b5f4f60c9612eb811008b9f77b608e,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_ssvep\fold0_seed0.npz,8f3b8c1cc511d6cfbf1d854e2265a04ee31a842297e98251cbab357729cb7f78,79537e974ab08b2a7900b7c680ba70fd015dfd971f97e028a482cb2b9fb23f01,20,20,4,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_SSVEP,1,0,RECOVERY_OK,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,c39b705cb3e7b5690561bd8e14a14f84afa953ced45eb2115efb2396caf7878f,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_ssvep\fold1_seed0.npz,82db0a0449299b1bb05ee4f62bb92d9e32daee5bf9f234582fbfc87001f78e62,a1d550e0f63f32cac957a58c605676f6877ef393d97db5390804dfe984d67148,20,20,8,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_SSVEP,2,0,RECOVERY_OK,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,92ebf9baa8fb639b21366dd158eb847afdf802b4422eb5ce7e2540428944cefb,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_ssvep\fold2_seed0.npz,83b7307c4c920ac436e02bc1ea1cfa6b989e11d12b3084573a3ab8eebf3aab66,f3760bd7c2f6a6f9e44e0d6d60d03808337d07a8d2805aec39f13ac69374f77e,20,20,4,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_SSVEP,3,0,RECOVERY_OK,f286e0fb5018864344844f980e946f9724b00dae7a5a53c55c88465841ba6c12,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,87dcb8b576eefa473d603c03eca955411138b850085712150d388549d1b550d7,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_ssvep\fold3_seed0.npz,44b56bdeaf084c16a322aa2464f5a7f9956c6efba0badb5afc06934e91f01214,5d5230dd0aabca3e04aa1cc3245d94961d04b0c18b27aff93fea9a831f7015d5,20,20,8,NOT_RUN_OPTIONAL,
EEGNet,OpenBMI_SSVEP,4,0,RECOVERY_OK,d11730326b518db0ae6fc3239bd31ff3f1a2e364ddd293c9b656c2e756a1b56e,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,20d9dbc02595afc4aa32ea8199759ecaf67943ed947cd636d71c01893c679100,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\openbmi_ssvep\fold4_seed0.npz,8d83d9f88cf6d505d412dc5552557fc7988bd351cf47880b5e7af3b04df7ced5,5432f8c25d1b3f9907afe40c33b6ab489e02a2ac8535f22ef4f42554be0ac320,20,20,8,NOT_RUN_OPTIONAL,
EEGNet,WBCIC_MI,0,0,RECOVERY_OK,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a50a472eeb8a0f5a5962dd1c4ede7ab3564113079d0c628ee470b47d8342b226,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\wbcic_mi\fold0_seed0.npz,d47b22dbac2e99ea6adee1596979cef7f77630795ac9c3045c79fa0733e108ee,4b6cf15195ccf909044c9e4d678fe68b1184d865651608c0c450d074628309ed,20,20,2,NOT_RUN_OPTIONAL,
EEGNet,WBCIC_MI,1,0,RECOVERY_OK,f3d5aa0c934a36886b9c1377ae336b7e6c636afdf344612eb61d3293db3a5d5c,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9130a554678782bf4f75ee020c6d538bf00d7854da2073581ad29876d9deddfb,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\wbcic_mi\fold1_seed0.npz,15ca683950c8b586e5a73319bafe0923f6d5694fb91431bfb834cbce2d1c8899,5de0c4d4da69868a936b9c7a15783056fd5f6228b496be86afe8929b4a0f547f,20,20,2,NOT_RUN_OPTIONAL,
EEGNet,WBCIC_MI,2,0,RECOVERY_OK,3c34712bdf77d0ec7a36989bf2f557c6ccc7d3e263576ec2c29fa9c06c03ed34,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,e72a88b5750c0980f11aca8211414c660caee5e7ace7effe2f908e2e91480184,D:\nips-temp\TotalP\P1\crossbackbone_pswa_runtime\q_cache\eegnet\wbcic_mi\fold2_seed0.npz,d886927742c7df0e7d5efbecce40eda333b5860f967f51c4a6bc7b3196ad83d4,91164c891d381bf35ee7260db4744b2a17c4992f222cafa69cb61b283c122a2d,20,20,3,NOT_RUN_OPTIONAL,
