dataset,fold,sentinel_meta_fold,seed,schedule_sha256,trajectory_sha256,steps,sentinel_subjects,observation_rows,displacement_sum_max_abs_error,bn_max_displacement,complete
OpenBMI,0,0,0,50c1e4edc5a6206655a2830c81421af78a3fe019f79560b5fd25c55581780028,62b3a649d118b6c832e4d087bade32550f27b5b488a742b3f023f2d3ccba9f60,54,"['51', '18', '26', '37', '54', '31', '7', '5', '1']",9,1.1368683772161603e-12,0.0,True
OpenBMI,0,1,0,406dd82df724d35bd699de58f5209a442cef3e36bd51a967381f09255a84d581,34e2276c1996a277edb0faa50ec42722b399dae97eee90fdf4ebca072e6c0ff4,54,"['16', '38', '4', '43', '15', '8', '11', '30', '10']",9,9.094947017729282e-13,0.0,True
OpenBMI,0,2,0,e7320903e5c9f3fc967a2be2a7b86903e5882e7c0953c829494e7fee9bd491d6,5892864c3ad6a4bc493e8b0df3931bbb185817ae221e871dedc96f1bb3ac7b4b,54,"['29', '42', '34', '44', '35', '17', '52', '25', '41']",9,1.8189894035458565e-12,0.0,True
OpenBMI,0,3,0,9c767f0782ec5ab513123695055296835780ffe58175bc7521ddfb7650559d7a,cd5b61343711bc89c2b1a26aedebb4e32e5ccecfa6f30df07457a1029ab1eaa6,55,"['22', '24', '6', '28', '12', '27', '45', '46']",8,9.094947017729282e-13,0.0,True
OpenBMI,0,4,0,8fb202bbfc49a91ca32977cea4e9ef778a1249edc574ddfdc49237b6c11a4bd4,0335d12c046e8e7a37aefff0a8a6b9432f2bb8f25848f36defddcd39090c33a9,55,"['39', '21', '9', '49', '3', '23', '20', '48']",8,1.3642420526593924e-12,0.0,True
OpenBMI,1,0,0,45fb387f183a8f83f163de98f8814fd19ebfc4b6547b4f5c1fd7864072578093,cb8d23b00e6041330aae2dd92facc23c4e2bdab1c1f590003baa416aedca4df0,54,"['49', '18', '36', '46', '7', '47', '24', '22', '30']",9,1.0800249583553523e-12,0.0,True
OpenBMI,1,1,0,6b4c06a4ea3ecf0de404468773a5f6263986e65e0f119e11a9936540d669c2f6,8f9f1accae296e089028cc2c9ee1fbcc252ef9fcedf1d3f92af42b300f61489c,54,"['52', '51', '23', '21', '44', '4', '12', '32', '29']",9,9.094947017729282e-13,0.0,True
OpenBMI,1,2,0,e9000298eeb2c78cfd1f3a84d1bb8312d5bc6e29fa3010f96de481124c20b9fc,b056c617614b669512011e1a40b91a66c8220f6f5f8e2859040f197949a6f341,54,"['26', '37', '31', '20', '3', '39', '19', '54', '2']",9,9.094947017729282e-13,0.0,True
OpenBMI,1,3,0,dbf44cb19f82c95cc9357a2bf1aad726570ac62950f65034c5aadbcb520023ca,1e245b041cbdcccd6f0e23123bd1014b31dbc8ca8ca2a9480cf6f8d54a80496e,55,"['38', '15', '8', '40', '27', '14', '50', '53']",8,1.3642420526593924e-12,0.0,True
OpenBMI,1,4,0,9cf6a726ed6292353f81dbff3aa20611fcd630252655f690798b3d9488989a70,e5db3422f1d213cae5402f83701a93c862e85e0e66a29e7e8ff2e3bcd067e4d4,55,"['17', '11', '34', '41', '33', '9', '28', '13']",8,9.094947017729282e-13,0.0,True
OpenBMI,2,0,0,5f469db6d4257cc6ddaa6c6c84322f5abb1ebeeff081437d14919484c3eb7687,6572459389344564c076cb8efee15aa31607dd3f5579fb7a1d4c2e3c28e311ed,54,"['16', '21', '35', '11', '9', '45', '6', '3', '17']",9,9.094947017729282e-13,0.0,True
OpenBMI,2,1,0,0e4ead733c26d28aba2a960b27940d72f709233a36c180b418ddb6db537e380b,217de8092766c38104d3f2524977786e535ef46e6df05f45b08ff18d1bf47bf7,54,"['28', '47', '53', '40', '25', '15', '5', '24', '23']",9,1.2505552149377763e-12,0.0,True
OpenBMI,2,2,0,3a933e7a95d5b94a4d77e4f37c77f3a6c3cc86ce3188205efd9e19fb46c3698a,0b9e6f7434bb8afbfc8655d68c4794f77e709adc8b234b5cd72bc4f5e3f2f5d0,54,"['33', '27', '20', '13', '14', '32', '12', '41', '48']",9,9.094947017729282e-13,0.0,True
OpenBMI,2,3,0,2c8f6ca375a7dcbd7d0b0684a94769d726dbc8ba46d39228ca00426a2685b4a4,3a542bd8383c6bd892d428ae75abaf6bfc60a80c73fe98ee647bef4abf67e3d4,55,"['2', '37', '49', '43', '8', '31', '30', '42']",8,1.3642420526593924e-12,0.0,True
OpenBMI,2,4,0,588c571790a3a0fc14eb3617b6ad06f79a7485f8d02cccec26f65261b6d7ce5d,4a8391435411087900b6d74f9fb58aaa4d7092ec06565e9dff60f2663b281b64,55,"['19', '46', '39', '1', '10', '36', '50', '38']",8,1.3642420526593924e-12,0.0,True
OpenBMI,3,0,0,e053060930052efacc46183d4458d1d4078533f1d809b3708911fc6b665bc507,101b8f31f6ce0f54ba35f51431494b189f8f365b749878bb5ec1ba60d7f1b1e5,54,"['13', '32', '39', '14', '12', '11', '7', '52', '48']",9,9.094947017729282e-13,0.0,True
OpenBMI,3,1,0,294a8bb92a28770e8d9e1e8cdeeeae669c426e30a9b95abfb25632f280e8876c,1a65c23d1f403622876d6ae23868c5709f0cdc33312eb91f36e5164082b3f4d1,54,"['53', '3', '4', '19', '44', '42', '23', '51', '6']",9,9.094947017729282e-13,0.0,True
OpenBMI,3,2,0,db75ecaa0d347c7e9b9d8a65f2b959e3409c3c8056d47f603b033a6e58de311d,d49f63912100e0c193dfec58f83497882e286cc3c621fd074fe3175a5ccac83d,54,"['31', '36', '2', '49', '8', '29', '43', '47', '25']",9,9.094947017729282e-13,0.0,True
OpenBMI,3,3,0,1214c40f227d053098ed95c25c2546b60b4187d07f76d82eed692406101d3e32,35b1cb9c3d51480961f2045244eb997e0957a63fb42550ab7b8cd6f5dab824ce,55,"['54', '16', '26', '50', '33', '1', '18', '5']",8,2.2737367544323206e-12,0.0,True
OpenBMI,3,4,0,c5330dcdab2a26ba9767c5e79ffc77983038eb3329baf576d08347a75a420169,0a27489a2ca77e94009b5c9f7404301475464bdf4167cf6d579be48d42d741bb,55,"['45', '34', '40', '30', '22', '10', '37', '35']",8,9.663381206337363e-13,0.0,True
