fold,seed,run,block,rank,assignment,audit_fold,n_fit_subjects,n_decision_subjects,n_outcome_subjects,persistence_strength,geometry_strength,jacobian_energy,jacobian_random_mean,jacobian_ratio,decision_logit_rms,decision_random_logit_mean,decision_logit_ratio,decision_margin_displacement,decision_flip_rate,decision_total_variation,outcome_ce_effect,outcome_ba_change,signed_u_abs,signed_u_spec,outer_test_used,matched_nonprotected_logit,protected_gt_matched_nonprotected,directionally_concordant
0,0,0_0,5,4,protected,2.0,20.4,6.8,6.8,0.048911258578300476,0.9277705377125741,6.478957739599432e-05,1.2983252552061235e-05,5.03684457400891,1.3966546568026605,0.7354822438356031,1.9042351689566839,1.6499018589930983,0.34385714285714286,0.24667814525298085,0.2646564309437678,-0.21271428571428572,0.12091179647656,0.1184497866696674,0.0,0.29257939860718735,True,True
0,1,0_1,5,4,protected,2.0,20.4,6.8,6.8,0.0507485494017601,0.8668591035743534,1.822153583906835e-05,6.06643776507379e-06,2.9685540643827446,0.9153616670844469,0.5395246234659805,1.7003828224703441,1.0622122748009772,0.19688095238095238,0.15007815626019316,0.12909779653666834,-0.08002380952380952,0.0534102817218596,0.0370664101421188,0.0,0.41816945977807085,True,True
0,1,0_1,6,3,protected,2.0,20.4,6.8,6.8,0.019971266388893127,0.9176940073867972,1.6040216428743507e-05,5.8229414125855484e-06,2.8436669354064747,0.8948461930395478,0.4661648878878428,1.9227986925886804,1.029801840889867,0.1890952380952381,0.14810415160130158,0.11858203632948297,-0.08361904761904763,0.0546913236641818,0.0426277036888903,0.0,0.10782310282487657,True,True
1,0,1_0,4,4,protected,2.0,20.4,6.8,6.8,0.10123814642429352,0.8392754288258166,1.47787589638639e-05,4.454793465883411e-06,3.3732063275251667,1.1411486460315823,0.7542985854954227,1.5208307288182028,1.340935518951214,0.20309523809523808,0.16200579847228053,0.14167671041498037,-0.09404761904761907,0.0469776456030352,0.0348200209210342,0.0,0.5511585528988501,True,True
1,0,1_0,6,3,protected,2.0,20.4,6.8,6.8,0.016438927501440048,0.8742463638208455,9.2033401114165e-06,4.443545172742708e-06,2.121246715179334,0.6710358595974997,0.3890094322080689,1.7234723591582686,0.7493053195840075,0.1316904761904762,0.10026353202107585,0.06869802638029075,-0.04200000000000002,0.028868198707177002,0.0188657019045008,0.0,,False,True
1,1,1_1,4,4,protected,2.0,20.4,6.8,6.8,0.11190290749073029,0.889518566467312,4.5436524534932006e-05,8.878158476366712e-06,4.975558805472977,1.2603864519116168,0.7988337631484216,1.5688769711416983,1.4687263173770686,0.28340476190476194,0.2041625868062263,0.19216898766489784,-0.1368095238095238,0.0794533828446037,0.0688043220958254,0.0,0.536518615321131,True,True
2,0,2_0,5,4,protected,2.0,20.4,6.8,6.8,0.057269129902124405,0.7326807628745586,9.851330551930623e-06,5.148179614719413e-06,2.148688113491659,0.7265730987258376,0.5118173646667759,1.424677024159549,0.8310882402381466,0.17485714285714288,0.12124511666335576,0.08624150997081585,-0.05964285714285714,0.0313056530178269,0.0118826039315434,0.0,0.5185548547998092,True,True
2,0,2_0,6,4,protected,2.0,20.4,6.8,6.8,0.015741679817438126,0.8728689000048849,1.605196712047834e-05,5.092218829442268e-06,2.847204767405561,0.7427466663388258,0.3742070142496612,1.9887289810627866,0.8464092565916405,0.18678571428571428,0.13020225052112563,0.08581019104910455,-0.0590952380952381,0.0386452048924787,0.023061955733712,0.0,0.5185548547998092,True,True
2,1,2_1,5,4,protected,2.0,20.4,6.8,6.8,0.11046647280454636,0.7765948738968642,4.591336507440833e-05,4.840542899088083e-05,1.148489733651574,1.0634797512707705,0.6913609866832962,1.533504267122337,1.224639134901134,0.1738095238095238,0.1412381111512518,0.12223411534370476,-0.07326190476190478,0.0387264646847661,0.0145440272434982,0.0,0.69721210739337,True,True
2,1,2_1,6,4,protected,2.0,20.4,6.8,6.8,0.06452128291130066,0.7387425782688273,0.00020017027842122315,4.953358393796133e-05,3.874261484948471,1.1699971184194282,0.8352867103154461,1.3986078976937224,1.3743633110859075,0.2094761904761905,0.16614202681669762,0.154444650976942,-0.09876190476190476,0.0542614477871976,0.0328367306512303,0.0,0.69721210739337,True,True
