dataset,subject_id,observations,mean_H_BBR,mean_H_BER,total_correct_to_wrong,total_wrong_to_correct
OpenBMI,1,6,-7.367258270581563e-05,0.0,0,0
OpenBMI,10,4,-1.3172626495361328e-05,0.00347222222222221,1,0
OpenBMI,11,10,-7.338821887969971e-06,0.0,0,0
OpenBMI,12,10,-3.613680601119995e-05,0.0,0,0
OpenBMI,13,10,-1.0399520397186279e-05,0.001388888888888895,1,0
OpenBMI,14,15,-4.6430031458536786e-05,0.0,1,1
OpenBMI,16,5,-7.576346397399902e-05,0.0,0,0
OpenBMI,17,15,-1.1547406514485676e-05,-0.0009259259259259226,0,1
OpenBMI,18,10,-2.2588670253753663e-05,0.0,0,0
OpenBMI,19,10,-3.421977162361145e-05,0.0,0,0
OpenBMI,2,14,-2.6678400380270822e-05,0.0,0,0
OpenBMI,20,14,-1.5124146427427019e-05,0.0009920634920634885,1,0
OpenBMI,21,5,5.2407383918762205e-06,0.0,0,0
OpenBMI,22,9,-5.893078115251329e-05,0.0,0,0
OpenBMI,24,9,-5.607306957244873e-05,0.0,1,1
OpenBMI,25,10,-1.569017767906189e-05,0.0,0,0
OpenBMI,26,11,-2.8035180135206744e-05,0.0,0,0
OpenBMI,27,5,-4.1437149047851565e-05,0.0,0,0
OpenBMI,28,5,-0.00017172545194625853,0.0,0,0
OpenBMI,29,14,-2.5047255413872855e-05,0.0,0,0
OpenBMI,3,10,-4.828125238418579e-05,0.0,0,0
OpenBMI,30,5,-2.9477477073669434e-05,-0.00277777777777779,0,1
OpenBMI,31,15,2.6678045590718587e-06,0.0,0,0
OpenBMI,32,10,-4.673004150390625e-06,0.0,0,0
OpenBMI,33,5,-2.2782385349273683e-05,0.0,0,0
OpenBMI,34,10,-5.913376808166504e-05,-0.001388888888888884,0,1
OpenBMI,35,10,-3.4671276807785034e-05,0.0,0,0
OpenBMI,36,11,-1.3177367773923008e-05,0.0,0,0
OpenBMI,37,10,-0.00010320842266082763,0.0,0,0
OpenBMI,38,1,-6.8247318267822266e-06,0.0,0,0
OpenBMI,39,10,-3.034248948097229e-05,0.0,0,0
OpenBMI,41,10,-3.2623112201690677e-05,0.001388888888888895,1,0
OpenBMI,42,6,-8.46634308497111e-06,-0.0023148148148148064,0,1
OpenBMI,43,5,-4.799962043762207e-05,0.0,0,0
OpenBMI,44,9,-3.5533474551306834e-05,0.0,0,0
OpenBMI,45,9,-4.38690185546875e-05,0.0,0,0
OpenBMI,46,9,-6.9836775461832685e-06,0.0,0,0
OpenBMI,47,10,-5.35525381565094e-05,0.0,0,0
OpenBMI,48,15,-1.2948115666707356e-05,-0.0009259259259259226,0,1
OpenBMI,49,10,-5.904659628868103e-05,0.0,0,0
OpenBMI,5,6,-2.115964889526367e-06,0.0,0,0
OpenBMI,50,5,-5.753636360168457e-05,0.002777777777777768,1,0
OpenBMI,51,6,2.2493302822113037e-05,0.0,0,0
OpenBMI,52,11,-6.483495235443115e-05,0.0,0,0
OpenBMI,53,1,-5.8494508266448975e-05,0.0,0,0
OpenBMI,54,10,4.069060087203979e-05,-0.001388888888888895,0,1
OpenBMI,6,10,-3.144592046737671e-05,0.0,0,0
OpenBMI,7,15,-7.904320955276489e-05,0.0,0,0
OpenBMI,8,5,-2.1201372146606445e-05,0.0,0,0
OpenBMI,9,10,-5.244016647338867e-05,0.0,0,0
WBCIC,1,8,-0.0001359628513455391,-0.00045955882352941013,0,1
WBCIC,11,8,-3.0471011996269226e-05,-0.00045955882352941013,0,1
WBCIC,12,8,-1.2736767530441284e-05,-0.00045955882352941013,1,2
WBCIC,13,7,-2.5312815393720355e-05,0.0005252100840336116,1,0
WBCIC,14,9,-1.173714796702067e-05,-1.2335811384723961e-17,4,4
WBCIC,16,8,-1.0402873158454895e-05,-0.0018382352941176683,0,4
WBCIC,17,9,-0.00012524260414971245,-0.00040849673202614234,0,1
WBCIC,18,8,-1.5096738934516907e-05,0.00045955882352941013,1,0
WBCIC,19,8,-2.3935921490192413e-05,0.0,0,0
WBCIC,2,8,-3.0525028705596924e-05,0.00045955882352941013,2,1
WBCIC,21,8,-9.228941053152084e-05,0.0,1,1
WBCIC,22,8,-0.00013597682118415833,-0.00045955882352941013,0,1
WBCIC,23,8,-0.00012698955833911896,0.00046296296296297057,1,0
WBCIC,24,8,-6.476696580648422e-05,-0.00045955882352941013,0,1
WBCIC,25,7,-4.91999089717865e-05,0.0005252100840336116,1,0
WBCIC,26,8,-8.836667984724045e-05,0.0,0,0
WBCIC,27,8,-1.5633180737495422e-05,-0.00045955882352941013,0,1
WBCIC,28,8,-4.711095243692398e-05,0.0,0,0
WBCIC,29,8,-3.896653652191162e-05,0.0,0,0
WBCIC,3,8,-0.00022578798234462738,-0.00045955882352941013,0,1
WBCIC,30,7,-6.999820470809937e-05,0.0,0,0
WBCIC,31,7,-8.555182388850621e-05,0.0015756302521008347,3,0
WBCIC,32,9,-1.1149379942152234e-05,0.00041152263374486273,2,1
WBCIC,33,8,-0.0001635928638279438,0.0,0,0
WBCIC,34,8,-1.87605619430542e-05,0.00045955882352941013,2,1
WBCIC,35,8,-6.639002822339535e-05,0.0,0,0
WBCIC,36,7,7.100403308868408e-06,0.0,0,0
WBCIC,37,8,-0.0001659933477640152,-0.00045955882352941013,0,1
WBCIC,38,8,-5.4175034165382385e-05,-0.00045955882352941013,0,1
WBCIC,41,8,-2.946704626083374e-05,0.0,0,0
WBCIC,42,8,-8.057244122028351e-05,0.0,1,1
WBCIC,44,9,-3.1948089599609375e-05,0.0004084967320261547,1,0
WBCIC,45,8,-4.25996258854866e-05,0.0,0,0
WBCIC,47,8,-5.084089934825897e-05,-0.00045955882352941013,0,1
WBCIC,48,9,-7.071511612998115e-05,0.0,0,0
WBCIC,49,7,-0.00010459923318454198,0.0,0,0
WBCIC,5,8,-0.00015758629888296127,-0.0009191176470588203,0,2
WBCIC,50,8,-0.00016546202823519707,0.0,0,0
WBCIC,6,8,-6.592553108930588e-05,0.0,0,0
WBCIC,7,9,-9.990069601270888e-05,0.00040849673202614234,1,0
WBCIC,9,8,-5.37186861038208e-05,0.0,0,0
