model,task,seed,folds,subjects,BA,macro_F1,WS_BA
EEGConformer,OpenBMI_MI,0,5,14,0.7065714285714284,0.6993654544767792,0.6655714285714286
EEGConformer,OpenBMI_MI,1,5,14,0.7344285714285714,0.7289337734130691,0.6972857142857143
EEGConformer,OpenBMI_MI,2,5,14,0.6995714285714286,0.694487505751343,0.6585714285714286
EEGConformer,OpenBMI_ERP,0,5,14,0.7945627705627706,0.7266101706497021,0.7647848991517883
EEGConformer,OpenBMI_ERP,1,5,14,0.7913506493506494,0.7334653498931464,0.7602485121508771
EEGConformer,OpenBMI_ERP,2,5,14,0.7983246753246754,0.7491984466468828,0.7651710494882114
EEGConformer,OpenBMI_SSVEP,0,5,14,0.8188571428571431,0.8118356199574449,0.8022857142857143
EEGConformer,OpenBMI_SSVEP,1,5,14,0.8611428571428572,0.8587887336458364,0.8387142857142856
EEGConformer,OpenBMI_SSVEP,2,5,14,0.7798571428571429,0.764459738058535,0.7548571428571428
EEGConformer,WBCIC_MI,0,5,10,0.7586999999999999,0.7518782695677003,0.6818000000000001
EEGConformer,WBCIC_MI,1,5,10,0.7537,0.7450373689352777,0.6836
EEGConformer,WBCIC_MI,2,5,10,0.7687999999999999,0.7634505279757609,0.6778
FBCNet,OpenBMI_MI,0,5,14,0.6765714285714287,0.653117452926338,0.6397142857142858
FBCNet,OpenBMI_MI,1,5,14,0.6717142857142857,0.643117209277386,0.6428571428571429
FBCNet,OpenBMI_MI,2,5,14,0.6795714285714285,0.662969058305972,0.6461428571428571
FBCNet,OpenBMI_ERP,0,5,14,0.7880216450216448,0.7179773030590784,0.7549664416844525
FBCNet,OpenBMI_ERP,1,5,14,0.7894718614718614,0.7156163540421637,0.7589831749007007
FBCNet,OpenBMI_ERP,2,5,14,0.7865974025974027,0.712561872914025,0.7540957185123346
FBCNet,OpenBMI_SSVEP,0,5,14,0.8028571428571428,0.7927665715785522,0.7734285714285712
FBCNet,OpenBMI_SSVEP,1,5,14,0.8105714285714286,0.8006705379560793,0.7821428571428571
FBCNet,OpenBMI_SSVEP,2,5,14,0.8031428571428572,0.7937673500989203,0.7672857142857143
FBCNet,WBCIC_MI,0,5,10,0.5905,0.5657196994131899,0.5615
FBCNet,WBCIC_MI,1,5,10,0.6000000000000001,0.5807983057326208,0.5640000000000001
FBCNet,WBCIC_MI,2,5,10,0.5974999999999999,0.5718469755930882,0.5622
