Model,Task,fold,seed,checkpoint_path,checkpoint_sha256,selected_epoch,split_sha256,normalizer_sha256,trainable_parameters,recipe_name,channels,samples,classes
EEGConformer,OpenBMI_MI,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_mi\fold0_seed0\selected.pt,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,22,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,853506,,62,1000,2
EEGConformer,OpenBMI_MI,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_mi\fold1_seed0\selected.pt,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,19,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,853506,,62,1000,2
EEGConformer,OpenBMI_MI,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_mi\fold2_seed0\selected.pt,a5a0a2eafbba9b026c6368c26c3f3f7021adc2daca0091dd43662c3447374c34,14,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,853506,,62,1000,2
EEGConformer,OpenBMI_MI,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_mi\fold3_seed0\selected.pt,ee78fd8820d87c3a5caf05e5c7f49c30de7646cb6def3fa53b2f4856bdde570a,36,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,853506,,62,1000,2
EEGConformer,OpenBMI_MI,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_mi\fold4_seed0\selected.pt,8ee4853ad1850a57ef7ba3c6091f132fe2ab4c169efa140810e39cd20076f77b,30,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,853506,,62,1000,2
EEGConformer,OpenBMI_ERP,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_erp\fold0_seed0\selected.pt,b2c4b787de81eeb9f42483e90b9bb028b4cd7b0e25f73ce34cacf5be77608cb2,36,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,341506,,62,250,2
EEGConformer,OpenBMI_ERP,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_erp\fold1_seed0\selected.pt,5a3314ca87e74651737745d1829830e3889b298cd59011992e6832ff06fdcde0,18,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,341506,,62,250,2
EEGConformer,OpenBMI_ERP,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_erp\fold2_seed0\selected.pt,79d572ac67c8109470e5ee8309f196711ad21020f9f1be6badba6062b18391ca,21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,341506,,62,250,2
EEGConformer,OpenBMI_ERP,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_erp\fold3_seed0\selected.pt,99bd6e764ef3a5b761cb6de0048de1ea12c293d1bd7f81aa3b0f975be26569a3,20,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,341506,,62,250,2
EEGConformer,OpenBMI_ERP,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_erp\fold4_seed0\selected.pt,2d3ccdacfda7ca65407f5735f5e6a7383def8def29e3aff97dc7cdde926c53a6,18,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,341506,,62,250,2
