fold,seed,run,audit_fold,block,rank,assignment,fit_subject_count,identity_full_skill,identity_erased_skill,identity_evidence,identity_full_ce,identity_erased_ce,identity_full_top1_ba,identity_erased_top1_ba,identity_null_mean,identity_null_q95,identity_null_sd,identity_measurement_competent,identity_coordinates,outer_test_used,outer_membership_enumerated
0,0,0_0,0,0,1,neutral,20,0.2062873205348168,0.17953889224988928,0.026748428284927517,2.7894449530191743,2.8161933813041014,0.4895,0.45074999999999993,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,[0],False,False
0,0,0_0,0,1,1,neutral,20,0.2062873205348168,0.18788812912748565,0.01839919140733115,2.7894449530191743,2.807844144426505,0.4895,0.4775,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,[1],False,False
0,0,0_0,0,2,2,neutral,20,0.2062873205348168,0.16046126691657436,0.045826053618242435,2.7894449530191743,2.8352710066374165,0.4895,0.40700000000000003,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,"[2, 3]",False,False
0,0,0_0,0,3,4,uncertain,20,0.2062873205348168,0.16861224172888778,0.03767507880592902,2.7894449530191743,2.8271200318251033,0.4895,0.40575,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,"[4, 5, 6, 7]",False,False
0,0,0_0,0,4,4,uncertain,20,0.2062873205348168,0.17034525465032302,0.03594206588449378,2.7894449530191743,2.825387018903668,0.4895,0.40274999999999994,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,"[8, 9, 10, 11]",False,False
0,0,0_0,0,5,4,protected,20,0.2062873205348168,0.19409112481202362,0.01219619572279318,2.7894449530191743,2.8016411487419672,0.4895,0.47774999999999995,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,"[12, 13, 14, 15]",False,False
0,0,0_0,0,6,4,neutral,20,0.2062873205348168,0.19293261898704728,0.01335470154776952,2.7894449530191743,2.8027996545669436,0.4895,0.4634999999999999,-0.008170310453897585,0.01609600043362225,0.014794866251220578,True,"[16, 17, 18, 19]",False,False
0,0,0_0,1,0,1,neutral,20,0.18305350843223778,0.15696390900009027,0.026089599432147503,2.812678765121753,2.838768364553901,0.42874999999999996,0.39899999999999997,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,[0],False,False
0,0,0_0,1,1,1,neutral,20,0.18305350843223778,0.17051583625676026,0.012537672175477521,2.812678765121753,2.8252164372972306,0.42874999999999996,0.403,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,[1],False,False
0,0,0_0,1,2,2,neutral,20,0.18305350843223778,0.15062714695238433,0.03242636147985345,2.812678765121753,2.8451051266016067,0.42874999999999996,0.36275,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,"[2, 3]",False,False
0,0,0_0,1,3,4,uncertain,20,0.18305350843223778,0.1320135606625108,0.05103994776972698,2.812678765121753,2.86371871289148,0.42874999999999996,0.32125000000000004,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,"[4, 5, 6, 7]",False,False
0,0,0_0,1,4,4,uncertain,20,0.18305350843223778,0.1705928115249331,0.01246069690730467,2.812678765121753,2.8251394620290577,0.42874999999999996,0.40624999999999994,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,"[8, 9, 10, 11]",False,False
0,0,0_0,1,5,4,protected,20,0.18305350843223778,0.17030156343487723,0.012751944997360543,2.812678765121753,2.8254307101191136,0.42874999999999996,0.40425,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,"[12, 13, 14, 15]",False,False
0,0,0_0,1,6,4,neutral,20,0.18305350843223778,0.17009259629339968,0.012960912138838099,2.812678765121753,2.8256396772605914,0.42874999999999996,0.40825,-0.006332376486741973,0.015048499917567782,0.013662551122325424,True,"[16, 17, 18, 19]",False,False
0,0,0_0,2,0,1,neutral,20,0.19624034637684806,0.1699149114949272,0.02632543488192085,2.799491927177143,2.8258173620590634,0.4595,0.4185,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,[0],False,False
0,0,0_0,2,1,1,neutral,20,0.19624034637684806,0.18501157319474437,0.01122877318210369,2.799491927177143,2.8107207003592465,0.4595,0.4415,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,[1],False,False
0,0,0_0,2,2,2,neutral,20,0.19624034637684806,0.15547533001304803,0.04076501636380003,2.799491927177143,2.840256943540943,0.4595,0.384,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,"[2, 3]",False,False
0,0,0_0,2,3,4,uncertain,20,0.19624034637684806,0.13626004863990482,0.059980297736943244,2.799491927177143,2.859472224914086,0.4595,0.37675000000000003,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,"[4, 5, 6, 7]",False,False
0,0,0_0,2,4,4,uncertain,20,0.19624034637684806,0.1737307724853474,0.022509573891500656,2.799491927177143,2.8220015010686437,0.4595,0.4215,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,"[8, 9, 10, 11]",False,False
0,0,0_0,2,5,4,protected,20,0.19624034637684806,0.18547943870210992,0.01076090767473814,2.799491927177143,2.810252834851881,0.4595,0.4395,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,"[12, 13, 14, 15]",False,False
0,0,0_0,2,6,4,neutral,20,0.19624034637684806,0.1870688032853458,0.009171543091502254,2.799491927177143,2.808663470268645,0.4595,0.45099999999999996,-0.007072211227304232,0.018128334168607724,0.014676128863312932,True,"[16, 17, 18, 19]",False,False
0,0,0_0,3,0,1,neutral,21,0.22114155619159925,0.1961073159016118,0.025034240289987464,2.8233808815318238,2.8484151218218114,0.556904761904762,0.5071428571428571,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,[0],False,False
0,0,0_0,3,1,1,neutral,21,0.22114155619159925,0.20295188323440216,0.01818967295719709,2.8233808815318238,2.841570554489021,0.556904761904762,0.5380952380952382,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,[1],False,False
0,0,0_0,3,2,2,neutral,21,0.22114155619159925,0.18340396977999007,0.03773758641160918,2.8233808815318238,2.8611184679434327,0.556904761904762,0.48714285714285716,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,"[2, 3]",False,False
0,0,0_0,3,3,4,uncertain,21,0.22114155619159925,0.16322633801913833,0.057915218172460925,2.8233808815318238,2.8812960997042847,0.556904761904762,0.469047619047619,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,"[4, 5, 6, 7]",False,False
0,0,0_0,3,4,4,uncertain,21,0.22114155619159925,0.18652424092327058,0.034617315268328674,2.8233808815318238,2.8579981968001524,0.556904761904762,0.49690476190476185,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,"[8, 9, 10, 11]",False,False
0,0,0_0,3,5,4,protected,21,0.22114155619159925,0.20081773467767694,0.020323821513922313,2.8233808815318238,2.843704703045746,0.556904761904762,0.5185714285714287,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,"[12, 13, 14, 15]",False,False
0,0,0_0,3,6,4,neutral,21,0.22114155619159925,0.20367895017089954,0.01746260602069971,2.8233808815318238,2.8408434875525232,0.556904761904762,0.5214285714285715,-0.006767296296491482,0.018156891833689164,0.014343450784521775,True,"[16, 17, 18, 19]",False,False
0,0,0_0,4,0,1,neutral,21,0.21840432912064411,0.1879692171032432,0.0304351120174009,2.826118108602779,2.85655322062018,0.5361904761904763,0.48809523809523814,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,[0],False,False
0,0,0_0,4,1,1,neutral,21,0.21840432912064411,0.19673663959955023,0.02166768952109388,2.826118108602779,2.847785798123873,0.5361904761904763,0.5185714285714285,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,[1],False,False
0,0,0_0,4,2,2,neutral,21,0.21840432912064411,0.1748832741474755,0.043521054973168605,2.826118108602779,2.8696391635759477,0.5361904761904763,0.4547619047619047,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,"[2, 3]",False,False
0,0,0_0,4,3,4,uncertain,21,0.21840432912064411,0.16392684045843198,0.05447748866221214,2.826118108602779,2.880595597264991,0.5361904761904763,0.4630952380952381,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,"[4, 5, 6, 7]",False,False
0,0,0_0,4,4,4,uncertain,21,0.21840432912064411,0.18238340674296194,0.036020922377682174,2.826118108602779,2.862139030980461,0.5361904761904763,0.4638095238095238,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,"[8, 9, 10, 11]",False,False
0,0,0_0,4,5,4,protected,21,0.21840432912064411,0.2030301728451922,0.015374156275451911,2.826118108602779,2.841492264878231,0.5361904761904763,0.5185714285714286,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,"[12, 13, 14, 15]",False,False
0,0,0_0,4,6,4,neutral,21,0.21840432912064411,0.20380793529366392,0.014596393826980192,2.826118108602779,2.8407145024297593,0.5361904761904763,0.49428571428571433,-0.007962598075134237,0.016968845236587735,0.014607983362756921,True,"[16, 17, 18, 19]",False,False
0,1,0_1,0,0,1,neutral,20,0.2052925983656131,0.17732911092076975,0.027963487444843338,2.7904396751883778,2.818403162633221,0.50025,0.44850000000000007,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,[0],False,False
0,1,0_1,0,1,1,neutral,20,0.2052925983656131,0.18913216774118702,0.01616043062442607,2.7904396751883778,2.806600105812804,0.50025,0.47924999999999995,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,[1],False,False
0,1,0_1,0,2,3,neutral,20,0.2052925983656131,0.15848008446769724,0.04681251389791585,2.7904396751883778,2.8372521890862936,0.50025,0.391,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,"[2, 3, 4]",False,False
0,1,0_1,0,3,4,uncertain,20,0.2052925983656131,0.1649422337983948,0.0403503645672183,2.7904396751883778,2.830790039755596,0.50025,0.41700000000000004,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,"[5, 6, 7, 8]",False,False
0,1,0_1,0,4,4,uncertain,20,0.2052925983656131,0.18365215142367353,0.021640446941939562,2.7904396751883778,2.8120801221303173,0.50025,0.45399999999999996,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,"[9, 10, 11, 12]",False,False
0,1,0_1,0,5,4,protected,20,0.2052925983656131,0.1961755217940706,0.009117076571542482,2.7904396751883778,2.79955675175992,0.50025,0.48050000000000004,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,"[13, 14, 15, 16]",False,False
0,1,0_1,0,6,3,protected,20,0.2052925983656131,0.19759419498418507,0.007698403381428021,2.7904396751883778,2.7981380785698056,0.50025,0.482,-0.007302231682808969,0.014708676632662518,0.013777915897957424,True,"[17, 18, 19]",False,False
0,1,0_1,1,0,1,neutral,20,0.18755917487071394,0.1600005551327215,0.02755861973799245,2.8081730986832767,2.835731718421269,0.44700000000000006,0.41300000000000003,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,[0],False,False
0,1,0_1,1,1,1,neutral,20,0.18755917487071394,0.17177297070920727,0.015786204161506667,2.8081730986832767,2.8239593028447834,0.44700000000000006,0.43374999999999997,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,[1],False,False
0,1,0_1,1,2,3,neutral,20,0.18755917487071394,0.14230764779379057,0.04525152707692337,2.8081730986832767,2.8534246257602005,0.44700000000000006,0.3675,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,"[2, 3, 4]",False,False
0,1,0_1,1,3,4,uncertain,20,0.18755917487071394,0.15551959245699187,0.03203958241372207,2.8081730986832767,2.840212681096999,0.44700000000000006,0.38575,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,"[5, 6, 7, 8]",False,False
0,1,0_1,1,4,4,uncertain,20,0.18755917487071394,0.16428804164083233,0.023271133229881613,2.8081730986832767,2.8314442319131583,0.44700000000000006,0.40974999999999995,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,"[9, 10, 11, 12]",False,False
0,1,0_1,1,5,4,protected,20,0.18755917487071394,0.17458776910837615,0.012971405762337795,2.8081730986832767,2.8211445044456145,0.44700000000000006,0.4205000000000001,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,"[13, 14, 15, 16]",False,False
0,1,0_1,1,6,3,protected,20,0.18755917487071394,0.17952084542811364,0.0080383294426003,2.8081730986832767,2.816211428125877,0.44700000000000006,0.43674999999999997,-0.006472276700133666,0.01675499097801479,0.013523497828190994,True,"[17, 18, 19]",False,False
0,1,0_1,2,0,1,neutral,20,0.18298551825652254,0.15859980536176277,0.02438571289475977,2.8127467552974683,2.837132468192228,0.42375000000000007,0.39875,-0.008020004689411078,0.014682158981658,0.013767947814450131,True,[0],False,False
