fold,seed,total_candidates,passing_P,passing_PU,passing_PU_Dfinite,passing_PU_Djac,old_rank_before_cap,old_rank_after_cap,rank_before_cap,rank_after_cap,rank_cap,source_only
0,0,32,30,24,15,11,24,8,11,11,16,True
0,1,32,30,23,8,7,23,8,7,7,16,True
0,2,32,30,26,14,10,26,8,10,10,16,True
1,0,32,30,25,13,10,25,8,10,10,16,True
1,1,32,30,21,8,5,21,8,5,5,16,True
1,2,32,30,19,8,7,18,8,7,7,16,True
2,0,32,32,27,14,10,27,8,10,10,16,True
2,1,32,32,24,11,10,24,8,10,10,16,True
2,2,32,31,20,11,9,20,8,9,9,16,True
3,0,32,30,24,10,10,24,8,10,10,16,True
3,1,32,30,23,10,8,23,8,8,8,16,True
3,2,32,30,25,13,10,25,8,10,10,16,True
4,0,32,32,24,11,8,24,8,8,8,16,True
4,1,32,32,24,11,8,24,8,8,8,16,True
4,2,32,32,24,10,8,22,8,8,8,16,True
