fold,subject,method,draw,decision_response_drift
0.0,sub-1,Frozen,0,0.0
0.0,sub-1,Generic,0,3.230257497176347
0.0,sub-1,IdentityGuard,0,2.6272868561571476
0.0,sub-1,PCAGuard,0,2.0100451655667784
0.0,sub-1,PERSISTGuard,0,2.9877145312669793
0.0,sub-1,PersistenceGuard,0,3.2154003388068535
0.0,sub-1,RandomGuard,mean,3.184966056203534
0.0,sub-16,Frozen,0,0.0
0.0,sub-16,Generic,0,3.230257497176347
0.0,sub-16,IdentityGuard,0,2.6272868561571476
0.0,sub-16,PCAGuard,0,2.0100451655667784
0.0,sub-16,PERSISTGuard,0,2.9877145312669793
0.0,sub-16,PersistenceGuard,0,3.2154003388068535
0.0,sub-16,RandomGuard,mean,3.184966056203534
0.0,sub-19,Frozen,0,0.0
0.0,sub-19,Generic,0,3.230257497176347
0.0,sub-19,IdentityGuard,0,2.6272868561571476
0.0,sub-19,PCAGuard,0,2.0100451655667784
0.0,sub-19,PERSISTGuard,0,2.9877145312669793
0.0,sub-19,PersistenceGuard,0,3.2154003388068535
0.0,sub-19,RandomGuard,mean,3.184966056203534
0.0,sub-21,Frozen,0,0.0
0.0,sub-21,Generic,0,3.230257497176347
0.0,sub-21,IdentityGuard,0,2.6272868561571476
0.0,sub-21,PCAGuard,0,2.0100451655667784
0.0,sub-21,PERSISTGuard,0,2.9877145312669793
0.0,sub-21,PersistenceGuard,0,3.2154003388068535
0.0,sub-21,RandomGuard,mean,3.184966056203534
0.0,sub-28,Frozen,0,0.0
0.0,sub-28,Generic,0,3.230257497176347
0.0,sub-28,IdentityGuard,0,2.6272868561571476
0.0,sub-28,PCAGuard,0,2.0100451655667784
0.0,sub-28,PERSISTGuard,0,2.9877145312669793
0.0,sub-28,PersistenceGuard,0,3.2154003388068535
0.0,sub-28,RandomGuard,mean,3.184966056203534
0.0,sub-3,Frozen,0,0.0
0.0,sub-3,Generic,0,3.230257497176347
0.0,sub-3,IdentityGuard,0,2.6272868561571476
0.0,sub-3,PCAGuard,0,2.0100451655667784
0.0,sub-3,PERSISTGuard,0,2.9877145312669793
