fold,seed,inner_fold,run,kind,draw,subject,n_trials,n_shifts,rescue_rate,harm_rate,net_rescue,stable_correct_rate,stable_wrong_rate,true_margin_change,correct_probability_change,prediction_flip_rate,ce_change,ba_change,confidence_change
0,0,0,0_0,matched_random,0,7,200,12,0.007916666666666667,0.0004166666666666667,0.007500000000000001,0.7995833333333333,0.19208333333333333,-0.0002928796278623243,0.00019043399686444456,0.008333333333333333,-0.000602182655195912,0.007499999999999951,-2.4436732463812145e-05
0,0,0,0_0,matched_random,0,16,200,12,0.0020833333333333333,0.0,0.0020833333333333333,0.905,0.09291666666666666,-0.0007978196837939322,-4.492155051885358e-05,0.0020833333333333333,6.358148902225422e-05,0.002083333333333335,-5.566496946282487e-05
0,0,0,0_0,matched_random,0,24,200,12,0.004166666666666667,0.00625,-0.0020833333333333337,0.70375,0.28583333333333333,-0.00018571124024068317,-0.00022357924257959322,0.010416666666666666,0.0010289176336780996,-0.002083333333333335,0.00031668920430106965
0,0,0,0_0,matched_random,0,37,200,12,0.0,0.0016666666666666668,-0.0016666666666666668,0.9733333333333334,0.025,-0.0010843537445180118,-9.423315812647035e-05,0.0016666666666666668,0.00013220224765621673,-0.001666666666666668,-0.00011506869332218187
0,0,0,0_0,matched_random,0,41,200,12,0.01,0.008333333333333333,0.001666666666666667,0.7166666666666667,0.265,-0.00021375118289142846,-4.987503200971398e-05,0.018333333333333333,6.683646747581544e-05,0.001666666666666668,1.2206869050279771e-05
0,0,0,0_0,matched_random,0,42,200,12,0.0020833333333333333,0.0020833333333333333,0.0,0.7729166666666667,0.22291666666666668,-0.00029414282102758685,-0.000156432383566425,0.004166666666666667,0.000657082133521197,0.0,0.00019585997132476996
0,0,0,0_0,matched_random,0,43,200,12,0.0,0.005833333333333334,-0.005833333333333334,0.8441666666666666,0.15,-0.0005566558280649285,4.244967277264287e-05,0.005833333333333334,-0.00039313202084354063,-0.005833333333333394,-0.00017098295883599733
0,0,0,0_0,matched_random,1,7,200,12,0.005833333333333334,0.0,0.005833333333333334,0.8,0.19416666666666665,-2.8851575528581937e-05,-0.00015008353826506934,0.005833333333333334,0.00044148997621748954,0.0058333333333333015,3.583186298139765e-05
0,0,0,0_0,matched_random,1,16,200,12,0.0008333333333333334,0.0,0.0008333333333333334,0.905,0.09416666666666666,5.3911758586764333e-05,-2.2193253164330058e-05,0.0008333333333333334,4.01289242549935e-05,0.000833333333333334,-1.1835685214405442e-05
0,0,0,0_0,matched_random,1,24,200,12,0.005,0.00375,0.0012500000000000002,0.70625,0.285,-9.445118873069684e-06,9.937038200290002e-05,0.00875,-0.0005045782380088187,0.0012500000000000011,-0.00013139854359702204
