block,draw,subject,u_random,finite_logit_rms,delta_BA_random,persistence_random
P01_04,0,S002,0.025255871132540946,0.4934202063024465,-0.06026785714285715,30.132746927480778
P01_04,0,S015,-0.015304521314648952,0.2142587804990835,0.0,25.77156723640923
P01_04,0,S018,0.0015186930271241443,0.2408704225470526,-0.016666666666666663,36.86440616263212
P01_04,0,S030,0.005519521697751765,0.25478323936939196,0.04464285714285715,47.43475452088377
P01_04,0,S043,-0.04481122997954368,0.4055711160043769,-0.016666666666666607,19.562780269415722
P01_04,0,S044,0.15337447750950103,0.8182208262029455,0.0,23.238226156285457
P01_04,0,S066,-0.027099889460978625,0.30686180498404625,-0.016666666666666663,22.90444671847241
P01_04,0,S072,-0.06205785423214195,0.3861927752718215,0.0,52.47578456956556
P01_04,0,S077,0.012397428181184637,0.6896763742505433,-0.02247023809523807,30.632292272005255
P01_04,0,S083,-0.055128573505243236,0.2742049915165756,0.004464285714285698,29.390288447276433
P01_04,0,S088,-0.09435393943878184,0.5956455128353607,0.06578947368421051,20.88138944813251
P01_04,0,S095,0.01187334029480013,0.6531774284925934,0.015625,21.743259126457666
P01_04,0,S097,0.00013312740982151516,0.38205600267544215,-0.033333333333333326,17.149729578239373
P01_04,0,S102,-0.011469329051188882,0.3693881367989657,-0.016666666666666607,40.5958939297035
P01_04,0,S106,0.0017844596738189917,0.5145135875113344,0.07589285714285715,22.543839179735667
P01_04,1,S002,0.07999279573905389,0.7502377406238845,-0.03348214285714285,23.55277531675549
P01_04,1,S015,-0.08619785529416944,0.38619564053476535,-0.015625,30.848861796647306
P01_04,1,S018,-0.07922757777409692,0.5409893010261078,-0.016666666666666663,29.758787265776604
P01_04,1,S030,0.012223619201806512,0.7558613773157322,0.03348214285714288,37.57188724539988
P01_04,1,S043,0.019641282236932792,0.593474887826051,0.050000000000000044,3.344974484094557
P01_04,1,S044,-0.07941872418799845,1.3906217917965946,0.033333333333333326,28.132943149006433
P01_04,1,S066,-0.04697992207408135,0.80740759869486,0.033333333333333326,18.128614400601272
P01_04,1,S072,0.09395410108169898,0.8115837353371214,-0.06666666666666665,48.60174149273408
P01_04,1,S077,-0.008949633221621633,0.8655365028522252,-0.01651785714285714,25.326122120142664
P01_04,1,S083,-0.00910099673251629,0.5994116230249669,-0.0401785714285714,30.722866185502543
P01_04,1,S088,-0.051512979777085376,0.7692686069801475,0.02631578947368421,17.281627023699297
P01_04,1,S095,-0.020059477368021893,0.9712220199554785,0.03348214285714285,28.533438755785312
P01_04,1,S097,0.09365795572287519,0.5976174286065257,-0.016666666666666663,22.063117846792572
P01_04,1,S102,-0.02514614009084606,0.6635578237555396,-0.08333333333333331,35.14201872853904
P01_04,1,S106,-0.03249851931147483,0.9397052141828902,0.0870535714285714,16.909499930802077
P01_04,2,S002,-0.028583630564142586,0.3301429038113397,-0.015625,28.160953608080423
P01_04,2,S015,-0.06361288527729965,0.32126536984694576,0.0,30.401194765790084
P01_04,2,S018,-0.05142225231823687,0.49259236999602096,-0.04999999999999999,25.14858331415872
P01_04,2,S030,-0.03351196639212182,0.36861446939137904,0.01339285714285715,38.53447500162914
P01_04,2,S043,-0.050570923134572655,0.39169922015455944,-0.016666666666666607,29.62209186438512
P01_04,2,S044,-0.322903819303942,0.8353944168514966,0.033333333333333326,24.2754256973239
P01_04,2,S066,-0.09911555537748248,0.4619972324078918,-0.016666666666666663,0.6616764956635777
P01_04,2,S072,-0.069868184030226,0.48953796164338165,-0.033333333333333326,43.66668925796516
P01_04,2,S077,-0.0396043357061072,0.4820419521158824,-0.02113095238095236,27.37167386094443
P01_04,2,S083,-0.09875259745086216,0.4450041203067125,0.011160714285714302,34.725445528516204
P01_04,2,S088,-0.20559358967665384,0.7292111673045171,0.09210526315789475,18.439460508465462
P01_04,2,S095,-0.04284921376181207,0.590851108024382,0.06919642857142855,23.39676007971328
P01_04,2,S097,-0.011050991289650142,0.460836494711172,0.0,17.054399058944966
P01_04,2,S102,-0.011843900846247332,0.48864001499800774,-0.016666666666666607,16.110564417689186
P01_04,2,S106,-0.10212626617463479,0.5241654127217039,-0.004464285714285754,16.27770968226436
P01_04,3,S002,0.010086793368564686,0.39902508185670854,-0.0424107142857143,30.391836492682916
P01_04,3,S015,0.01506188395607377,0.28766096353180703,-0.015625,31.227655576279876
P01_04,3,S018,0.011697094047294005,0.36776434241299544,-0.033333333333333326,32.24770441158736
P01_04,3,S030,-0.03107366381031341,0.32780728080090843,0.0513392857142857,40.09576847703211
P01_04,3,S043,-0.10694170072943858,0.3837637417631521,-0.033333333333333326,23.69068387740613
P01_04,3,S044,-0.30050699402197645,1.1133799872648944,0.016666666666666663,29.13265053848974
P01_04,3,S066,-0.11821251460914019,0.4849730957372775,-0.01666666666666669,11.78078562520718
P01_04,3,S072,-0.06827475087885472,0.4241978424470563,0.03333333333333338,48.6490265603407
P01_04,3,S077,-0.02772854535228529,0.5138763244634157,-0.02693452380952377,23.916090523686318
P01_04,3,S083,-0.12306691168116177,0.3698355621289523,-0.004464285714285698,34.03999003474528
P01_04,3,S088,-0.18449993989105606,0.7373081876566733,0.05263157894736842,21.26315797637888
P01_04,3,S095,-0.10960721831731281,0.6619647609060657,-0.015625,-0.10633769166250939
P01_04,3,S097,-0.04658922488771213,0.4265689030844873,-0.016666666666666663,18.71503449496204
P01_04,3,S102,-0.0059446394507819056,0.3911489385597345,-0.033333333333333326,26.717885723745347
P01_04,3,S106,0.01947355122180912,0.5763683197709135,-0.0379464285714286,21.602070664817994
P01_04,4,S002,0.025151339363282656,0.33222865149887465,-0.0669642857142857,29.44493826725145
P01_04,4,S015,-0.06403772970045377,0.2660816263735244,0.0,26.666728635628285
P01_04,4,S018,0.022571370058438938,0.3904556127010685,0.0,28.358443057172458
P01_04,4,S030,-0.011507036050913555,0.4161966505617241,0.035714285714285726,36.91479043114828
P01_04,4,S043,-0.06509189770428836,0.5138900918444784,-0.06666666666666665,-8.835772388891403
P01_04,4,S044,-0.25199700212561216,0.8831968539006857,0.016666666666666663,33.255557556457916
P01_04,4,S066,-0.10322117715885962,0.45950938069767666,0.016666666666666663,16.59820487626314
