fold,seed,method,selected_lambda,selected_epoch,inner_validation_BA
0,0,Full-Teacher-KD-Aux,0.1,37,0.745625
0,0,Identity-Aux,0.05,39,0.763125
0,0,Matched-TaskOnly,0.0,38,0.7475
0,0,P-only-Aux,0.25,37,0.7481249999999999
0,0,PUD-Aux,0.25,37,0.751875
0,0,Random-Aux,0.05,38,0.7424999999999999
0,1,Full-Teacher-KD-Aux,0.25,31,0.73125
0,1,Identity-Aux,0.1,39,0.719375
0,1,Matched-TaskOnly,0.0,38,0.725625
0,1,P-only-Aux,0.25,39,0.73375
0,1,PUD-Aux,0.1,38,0.731875
0,1,Random-Aux,0.05,38,0.7262500000000001
0,2,Full-Teacher-KD-Aux,0.25,40,0.75
0,2,Identity-Aux,0.1,39,0.753125
0,2,Matched-TaskOnly,0.0,39,0.7575000000000001
0,2,P-only-Aux,0.1,40,0.7537499999999999
0,2,PUD-Aux,0.25,39,0.756875
0,2,Random-Aux,0.05,39,0.755625
1,0,Full-Teacher-KD-Aux,0.05,40,0.781875
1,0,Identity-Aux,0.05,39,0.78125
1,0,Matched-TaskOnly,0.0,40,0.790625
1,0,P-only-Aux,0.05,40,0.78125
1,0,PUD-Aux,0.05,40,0.785625
1,0,Random-Aux,0.05,40,0.7887500000000001
1,1,Full-Teacher-KD-Aux,0.25,39,0.770625
1,1,Identity-Aux,0.05,40,0.7662500000000001
1,1,Matched-TaskOnly,0.0,38,0.775625
1,1,P-only-Aux,0.25,37,0.76875
1,1,PUD-Aux,0.05,37,0.7706250000000001
1,1,Random-Aux,0.05,38,0.7749999999999999
1,2,Full-Teacher-KD-Aux,0.1,39,0.8175000000000001
1,2,Identity-Aux,0.05,40,0.8075
1,2,Matched-TaskOnly,0.0,39,0.824375
1,2,P-only-Aux,0.05,39,0.818125
1,2,PUD-Aux,0.05,39,0.82
1,2,Random-Aux,0.25,40,0.8206249999999999
2,0,Full-Teacher-KD-Aux,0.25,39,0.704375
2,0,Identity-Aux,0.1,39,0.7056250000000001
2,0,Matched-TaskOnly,0.0,36,0.703125
2,0,P-only-Aux,0.25,39,0.705625
2,0,PUD-Aux,0.25,39,0.7075
2,0,Random-Aux,0.05,36,0.705
2,1,Full-Teacher-KD-Aux,0.05,34,0.733125
2,1,Identity-Aux,0.05,34,0.7175
2,1,Matched-TaskOnly,0.0,34,0.7350000000000001
2,1,P-only-Aux,0.05,34,0.73375
2,1,PUD-Aux,0.05,34,0.731875
2,1,Random-Aux,0.25,39,0.731875
2,2,Full-Teacher-KD-Aux,0.1,39,0.7224999999999999
2,2,Identity-Aux,0.05,23,0.720625
2,2,Matched-TaskOnly,0.0,35,0.725625
2,2,P-only-Aux,0.05,39,0.7281249999999999
2,2,PUD-Aux,0.25,39,0.728125
2,2,Random-Aux,0.05,35,0.7262500000000001
3,0,Full-Teacher-KD-Aux,0.05,39,0.740625
3,0,Identity-Aux,0.05,40,0.73875
3,0,Matched-TaskOnly,0.0,39,0.74375
3,0,P-only-Aux,0.1,39,0.73625
3,0,PUD-Aux,0.25,39,0.7375
3,0,Random-Aux,0.05,40,0.73875
3,1,Full-Teacher-KD-Aux,0.25,40,0.74375
3,1,Identity-Aux,0.1,39,0.745625
3,1,Matched-TaskOnly,0.0,40,0.7393749999999999
3,1,P-only-Aux,0.25,40,0.748125
3,1,PUD-Aux,0.1,39,0.7424999999999999
3,1,Random-Aux,0.05,38,0.73875
3,2,Full-Teacher-KD-Aux,0.05,31,0.738125
3,2,Identity-Aux,0.05,35,0.74125
3,2,Matched-TaskOnly,0.0,35,0.735625
3,2,P-only-Aux,0.05,35,0.73875
3,2,PUD-Aux,0.1,38,0.7368750000000001
3,2,Random-Aux,0.25,39,0.7449999999999999
4,0,Full-Teacher-KD-Aux,0.25,40,0.768125
4,0,Identity-Aux,0.05,39,0.765
4,0,Matched-TaskOnly,0.0,37,0.766875
4,0,P-only-Aux,0.25,40,0.76875
4,0,PUD-Aux,0.1,40,0.77125
4,0,Random-Aux,0.1,40,0.765
4,1,Full-Teacher-KD-Aux,0.1,39,0.775625
4,1,Identity-Aux,0.05,40,0.7718750000000001
4,1,Matched-TaskOnly,0.0,37,0.775
4,1,P-only-Aux,0.05,37,0.7718750000000001
4,1,PUD-Aux,0.05,39,0.7725
4,1,Random-Aux,0.05,37,0.775
4,2,Full-Teacher-KD-Aux,0.25,40,0.7693749999999999
4,2,Identity-Aux,0.05,38,0.74875
4,2,Matched-TaskOnly,0.0,37,0.7581249999999999
4,2,P-only-Aux,0.05,36,0.7581249999999999
4,2,PUD-Aux,0.05,36,0.756875
4,2,Random-Aux,0.05,37,0.7575000000000001
