fold,seed,batch,cos_task_vs_protected,cos_task_vs_residual,cos_task_vs_persistence,task_grad_norm,protected_grad_norm,residual_grad_norm,persistence_grad_norm,state_unchanged_before,state_unchanged_after
0,0,0,0.6217485666275024,-0.06098557263612747,-0.13181959092617035,4.518941402435303,2.5903944969177246,2.1319820880889893,1.0332159996032715,c495971e6edcdc45844d01ee8376e07a152ab1a5c634fcbf140e5c56320756e7,True
0,0,1,0.4342408776283264,-0.11567685008049011,-0.04497190937399864,3.6783103942871094,3.7972047328948975,0.9647509455680847,0.9938881397247314,c495971e6edcdc45844d01ee8376e07a152ab1a5c634fcbf140e5c56320756e7,True
0,0,2,0.05164129659533501,0.26634106040000916,0.01396629586815834,4.061343193054199,2.992399215698242,1.1298980712890625,1.4502992630004883,c495971e6edcdc45844d01ee8376e07a152ab1a5c634fcbf140e5c56320756e7,True
0,1,0,0.4780915081501007,0.14657758176326752,-0.030225329101085663,7.262959003448486,4.097014427185059,1.4571688175201416,1.2147530317306519,4c30742243f882d5abb1dd5d153bb35bc1f9e948ca59bf9811a776f114e32247,True
0,1,1,0.45586487650871277,-0.141448512673378,-0.281038761138916,4.687708854675293,1.934452772140503,1.31607186794281,2.9151060581207275,4c30742243f882d5abb1dd5d153bb35bc1f9e948ca59bf9811a776f114e32247,True
0,1,2,0.2998785376548767,-0.41242748498916626,-0.03276784345507622,5.019423961639404,2.5558433532714844,1.3538190126419067,0.9592816829681396,4c30742243f882d5abb1dd5d153bb35bc1f9e948ca59bf9811a776f114e32247,True
0,2,0,0.5647809505462646,0.14824283123016357,0.09844394028186798,4.200148105621338,2.0413713455200195,1.2754695415496826,2.7099204063415527,fe927a2e54850fa042d34c40b56e15589242d6196264e232879039baf4c16f8b,True
0,2,1,0.7532975673675537,0.523960292339325,0.48582419753074646,7.122314929962158,2.6265830993652344,1.2243958711624146,1.2797729969024658,fe927a2e54850fa042d34c40b56e15589242d6196264e232879039baf4c16f8b,True
0,2,2,0.04602906480431557,0.14739716053009033,-0.2727288603782654,4.306215763092041,2.679286241531372,1.129719614982605,1.8384310007095337,fe927a2e54850fa042d34c40b56e15589242d6196264e232879039baf4c16f8b,True
1,0,0,0.2300582230091095,0.22692638635635376,0.24402205646038055,5.753983020782471,2.759296178817749,1.4714221954345703,1.9522309303283691,c09a9fc532c35937c88a149b6b0d087f4aadb7bb96c8d94e332ad649ebdfc62f,True
1,0,1,0.3419104814529419,0.6200074553489685,0.21004348993301392,6.167530059814453,2.42999005317688,1.677371859550476,1.7467446327209473,c09a9fc532c35937c88a149b6b0d087f4aadb7bb96c8d94e332ad649ebdfc62f,True
1,0,2,0.7296969890594482,0.5442320704460144,0.17266640067100525,6.5897088050842285,4.30108642578125,2.175997734069824,2.322697877883911,c09a9fc532c35937c88a149b6b0d087f4aadb7bb96c8d94e332ad649ebdfc62f,True
1,1,0,0.529441237449646,0.3225155472755432,0.06992616504430771,3.619244337081909,3.76902174949646,1.9396055936813354,0.5351054668426514,88f2f84dec96af4e4946a2efd5dad6239b0b2ef955e9340f03cd221fbf9f889c,True
1,1,1,0.13472716510295868,-0.3388918340206146,0.14183753728866577,3.0061798095703125,1.93917715549469,1.3882936239242554,1.1357256174087524,88f2f84dec96af4e4946a2efd5dad6239b0b2ef955e9340f03cd221fbf9f889c,True
