dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,0,11,0.8309090909090909,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,1,11,0.8613636363636364,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,2,10,0.8684999999999998,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,3,10,0.7935,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,4,10,0.8779999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,0,11,0.8390909090909091,0.00818181818181819,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,1,11,0.8640909090909091,0.0027272727272727297,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,2,10,0.873,0.004500000000000004,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,3,10,0.7955000000000001,0.0020000000000000018,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A1_DYNAMIC_KEEP_FINAL,4,10,0.883,0.0049999999999999715,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,0,11,0.8363636363636364,0.00545454545454547,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,1,11,0.8568181818181817,-0.0045454545454545695,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A2_KEEP_ACTION_NO_PERSIST,4,10,0.8825,0.00449999999999996,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,0,11,0.8331818181818185,0.002272727272727275,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,1,11,0.859090909090909,-0.002272727272727305,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,2,10,0.8605,-0.007999999999999974,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A3_KEEP_ACTION_PERSIST,4,10,0.8790000000000001,0.0009999999999999898,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,0,11,0.8354545454545456,0.00454545454545456,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,1,11,0.8563636363636363,-0.005000000000000035,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A4_WITHOUT_PROTECTED,4,10,0.8815,0.003499999999999981,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,0,11,0.8363636363636363,0.005454545454545459,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,1,11,0.8522727272727273,-0.0090909090909091,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A5_WITHOUT_DECISION_DEPENDENCE,4,10,0.8815,0.003499999999999981,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,0,11,0.8327272727272728,0.0018181818181818097,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,1,11,0.8563636363636363,-0.005000000000000024,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,3,10,0.7965,0.0030000000000000027,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A6_WITHOUT_PERSISTENCE,4,10,0.8790000000000001,0.0009999999999999898,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,0,11,0.8377272727272729,0.006818181818181814,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,1,11,0.8586363636363636,-0.00272727272727275,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A7_WITHOUT_ACTION_MOVEMENT,4,10,0.8755000000000001,-0.0025000000000000243,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,0,11,0.8368181818181818,0.005909090909090934,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,1,11,0.8554545454545455,-0.005909090909090934,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,2,10,0.8605,-0.007999999999999974,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,4,10,0.8795,0.0014999999999999903,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,0,11,0.8318181818181819,0.00090909090909092,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,1,11,0.8563636363636363,-0.005000000000000035,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,2,10,0.8605,-0.007999999999999985,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,3,10,0.796,0.0025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A9_CAPACITY_MATCHED_GENERIC,4,10,0.8815000000000002,0.003499999999999981,False
