dataset,method_id,subjects,mean_subject_BA,Delta_BA_vs_B_STRONG,CI95_L,CI95_U,accuracy,macro_f1,NLL,Brier,ECE,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta,switch_rate,rescue_count,harm_count,rescue_precision,harm_rate,OUTER_TEST_USED,positive_fold_fraction
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_SHRUNK_THR,52,0.8509615384615383,0.004519230769230767,0.0020192307692307645,0.007211538461538455,0.8509615384615384,0.8494798153192711,0.35293911274985434,0.10933137524611433,0.017276226674061673,0.5,0.8269230769230769,-0.014999999999999902,0.012788461538461538,90,43,0.6766917293233082,0.3233082706766917,False,1.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_CONTEXTUAL_POSITIVE_POOL,52,0.8503846153846155,0.003942307692307685,0.0020192307692307562,0.0059615384615384626,0.8503846153846154,0.8489329107298129,0.35239319819235,0.10914314468079427,0.015464445963540602,0.5384615384615384,0.8461538461538461,-0.010000000000000009,0.014519230769230769,96,55,0.6357615894039735,0.36423841059602646,False,1.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,52,0.8499038461538462,0.0034615384615384517,0.000576923076923071,0.006249999999999972,0.8499038461538462,0.8482386034206484,0.35250122355954683,0.1091729579039233,0.016908187954161505,0.5192307692307693,0.75,-0.020000000000000018,0.0175,109,73,0.5989010989010989,0.4010989010989011,False,0.8
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_CONFIG_AVG,52,0.8498076923076923,0.00336538461538461,0.0018269230769230678,0.004999999999999996,0.8498076923076923,0.8483278714371338,0.3533307867526638,0.10947824858421766,0.015436678116168907,0.5192307692307693,0.8461538461538461,-0.010000000000000009,0.009134615384615385,65,30,0.6842105263157895,0.3157894736842105,False,1.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POSITIVE_POOL,52,0.8491346153846154,0.0026923076923076,-0.000576923076923,0.0058653846153846,0.8491346153846154,0.84755047272725,0.3554080754223719,0.110160939079725,0.0220793224913131,0.5192307692307693,0.6923076923076923,-0.025,0.0203846153846153,120,92,0.5660377358490566,0.4339622641509434,False,0.8
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,52,0.848846153846154,0.0024038461538461,-0.0005769230769231,0.0056730769230769,0.8488461538461538,0.8472300871885341,0.3504930920012434,0.1088987762040372,0.0114793675772648,0.4615384615384615,0.6153846153846154,-0.0200000000000001,0.0277884615384615,157,132,0.5432525951557093,0.4567474048442906,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,52,0.848173076923077,0.0017307692307692,-0.0016346153846154,0.0049999999999999,0.848173076923077,0.8469982471768829,0.3550075148639678,0.1097918981132336,0.0062511519837326,0.4615384615384615,0.5961538461538461,-0.025,0.0317307692307692,174,156,0.5272727272727272,0.4727272727272727,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DEEPSETS_KEEP,52,0.8473076923076922,0.000865384615384614,-0.0015384615384615398,0.003173076923076926,0.8473076923076923,0.8456474304264574,0.3557161583117158,0.1100495652147234,0.014039987346057041,0.5192307692307693,0.6730769230769231,-0.020000000000000018,0.021634615384615384,117,108,0.52,0.48,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_KEEP_RAW_LINEAR,52,0.8471153846153847,0.0006730769230769,-0.0032692307692307,0.0045192307692307,0.8471153846153846,0.8451413918418427,0.3578875933714707,0.1114145619270212,0.0281507203157461,0.4038461538461538,0.6153846153846154,-0.04,0.0316346153846153,168,161,0.5106382978723404,0.4893617021276595,False,0.4
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,52,0.8464423076923075,0.0,0.0,0.0,0.8464423076923077,0.8448742470033863,0.3653566490828355,0.1139011059629209,0.0566225026715906,0.0,1.0,0.0,0.0,0,0,0.0,0.0,False,0.0
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_KEEP_NO_SESSION_LINEAR,52,0.8462500000000001,-0.0001923076923076,-0.0029807692307692,0.0026923076923076,0.84625,0.8444210956002902,0.3505041945181258,0.1089333497381374,0.0089795783701187,0.3461538461538461,0.5769230769230769,-0.025,0.0296153846153846,153,155,0.4967532467532468,0.5032467532467533,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,52,0.8459615384615385,-0.0004807692307692,-0.0045192307692307,0.0034615384615384,0.8459615384615384,0.8444816943751496,0.3528021995623837,0.1097651202156596,0.015804055837624,0.4038461538461538,0.6153846153846154,-0.0449999999999999,0.0239423076923076,122,127,0.4899598393574297,0.5100401606425703,False,0.6
OpenBMI_SSVEP_NEMAR_nm000273_offline,M3_KEEP_ACTION_PERSIST_LINEAR,52,0.8457692307692308,-0.0006730769230769,-0.0042307692307692,0.0027884615384615,0.8457692307692307,0.8443022161684636,0.353676048776269,0.1102008901224309,0.0149417162812329,0.3846153846153846,0.6153846153846154,-0.04,0.0233653846153846,118,125,0.48559670781893,0.51440329218107,False,0.6
