stage,method_id,mean_subject_BA,Delta_BA_vs_W1,increment_vs_previous_row,note,OUTER_TEST_USED
M0,W1_RAW_LINEAR,0.8067887718649914,0.0,0.0,Frozen strongest non-adaptive current baseline,False
M1,M2_OUTPUT_SHARED_LOGISTIC,0.8082661985710766,0.0014774267060851942,0.0014774267060851942,Output + fold-compatible shared representation,False
M2,M8_THREE_TWO_ALL_EXTRATREES,0.8072765767430403,0.00048780487804889194,-0.0009896218280363023,Best zero-shot structural competence family,False
M3,M3_LOCAL_SESSION_LOGISTIC,0.8059540527223453,-0.0008347191426461009,-0.0013225240206949929,Earlier-session reliability only,False
M3b,M10_LOCAL_STACK_LOGISTIC,0.8124111542251786,0.005622382360187195,0.006457101502833296,S1/S2 subject-local frozen heads,False
M3c,M11_FIXED_SIMPLE_STACK_C1,0.8154587028824832,0.008669931017491805,0.0030475486573046107,Fixed variance-reduced local stack,False
M3d,M12_SIMPLE_ALL_REFIT4,0.8160696908105445,0.009280918945553052,0.0006109879280612462,Fixed stack refit on all non-outcome subjects,False
M3e,M13_CSP_AUGMENTED_REFIT4,0.8177820891845283,0.0109933173195369,0.0017123983739838478,M3d + S1/S2 CSP context score,False
M4,NO_PREDICTIVE_PERSIST_INCREMENT,0.8177820891845283,0.0109933173195369,0.0,PERSIST retained as action-safety veto only,False
M5,NO_ACTION_EXPERT,0.8177820891845283,0.0109933173195369,0.0,WBCIC audit authorized no harmful/actionable block,False
