dataset,expert,available_trials,standalone_BA,sensitivity,specificity,NLL,Brier,ECE,subject_BA_std,session_BA_std,unique_rescue_count,unique_harm_count,disagreement_accuracy,minority_expert_rescue_accuracy,OUTER_TEST_USED
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-0,6800,0.835,0.8426470588235294,0.8273529411764706,0.3826025007168383,0.12011328886060506,0.04172756275890827,0.08075926462969689,0.0067647058823529505,193,320,0.4107142857142857,0.4107142857142857,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-0_seed-1,6800,0.8319117647058824,0.8373529411764706,0.8264705882352941,0.38339773264918636,0.12050400936639225,0.0323656539665455,0.08188060448606532,0.009264705882352953,199,347,0.39059674502712477,0.39059674502712477,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-0,6800,0.8373529411764706,0.8347058823529412,0.84,0.36649121503872245,0.11561336708546198,0.03151012721638533,0.0899610642421752,0.002941176470588225,175,319,0.39811320754716983,0.39811320754716983,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-1_seed-1,6800,0.8183823529411764,0.8229411764705883,0.8138235294117647,0.39690490256118865,0.12680039029091505,0.03400134270137379,0.10135639354333167,0.011029411764705843,196,469,0.3034825870646766,0.3034825870646766,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-0,6800,0.8051470588235294,0.8002941176470588,0.81,0.4170635574189882,0.1340418038614383,0.0361343805438719,0.1065259240342438,0.0010294117647058343,172,514,0.25660964230171074,0.25660964230171074,False
OpenBMI_MI_NEMAR_nm000273_offline,fold-2_seed-1,6800,0.8332352941176471,0.8264705882352941,0.84,0.3761643887363008,0.11886396871948333,0.02293409689409584,0.09512284899741011,0.008529411764705896,187,338,0.378,0.378,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STABLE,8195,0.7942597649102677,0.780517578125,0.8080019516955355,0.40909737558420034,0.13518524086221295,0.03412021270746455,0.1447331635730171,0.0,359,461,0.45730337078651684,0.45730337078651684,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGNet_STD,8195,0.7747573722249329,0.8203125,0.7292022444498658,0.4535673056561886,0.1526078976639069,0.05903173510250214,0.1532621318232193,0.0,500,762,0.4015025041736227,0.4015025041736227,False
WBCIC_NEMAR_nm000348_authorized_development_S3,DeepConvNet,8195,0.7687683328822579,0.78759765625,0.7499390095145158,0.4333261507918197,0.14647783591453917,0.03316730769392297,0.1489117501306105,0.0,477,788,0.3832923832923833,0.3832923832923833,False
WBCIC_NEMAR_nm000348_authorized_development_S3,EEGConformer,8195,0.6095300968986338,0.642578125,0.5764820687972676,0.7433324795392127,0.2533875965542869,0.1223848341296757,0.10408894460021811,0.0,678,2294,0.2264280798348245,0.2264280798348245,False
WBCIC_NEMAR_nm000348_authorized_development_S3,TeCh,8195,0.7128650435414887,0.689208984375,0.7365211027079775,0.55561449809594,0.18795506489589633,0.027009645231816527,0.1478687191779149,0.0,561,1330,0.274984857662023,0.274984857662023,False
