dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,baseline,baseline_BA,delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-1,0.9450000000000001,0.945,0.9449876222149984,0.2540048469232163,0.06851726808266752,0.13790175624217768,current,0.965,-0.019999999999999907,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-11,0.715,0.715,0.7149928748218706,0.5151832106263353,0.1749608804809238,0.058357683984553176,current,0.75,-0.03500000000000003,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-12,0.74,0.74,0.7387197266606371,0.44698004424198673,0.15253734127347696,0.08963557557291503,current,0.7350000000000001,0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-13,0.845,0.845,0.844965117151359,0.35254036441690545,0.10977947644173465,0.10680940830017098,current,0.865,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-14,0.595,0.595,0.5913115870733369,0.7452779936476067,0.260730449586876,0.12097076758826127,current,0.6000000000000001,-0.0050000000000001155,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-16,0.55,0.55,0.5349317899958661,0.7551382112673873,0.26887573338120974,0.13160248544957218,current,0.5700000000000001,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-17,0.86,0.86,0.8599859985998599,0.3316662228276175,0.10526808385784404,0.06450326759060807,current,0.845,0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-18,0.635,0.635,0.634771732332708,0.645465953747576,0.2266025683616747,0.08063736916568957,current,0.6499999999999999,-0.014999999999999902,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-19,0.95,0.95,0.9499799919967987,0.13612609894137506,0.03907550396728791,0.03949025868179304,current,0.9450000000000001,0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-2,0.73,0.73,0.7298919567827131,0.49373564115209595,0.16935436752798746,0.10469606919755141,current,0.7250000000000001,0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-21,0.845,0.845,0.8443423464135975,0.3051822449144596,0.09945237407959771,0.06730265160494808,current,0.8600000000000001,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-22,0.735,0.735,0.7344622861294121,0.5464251742110213,0.18235624805630618,0.08973949464516966,current,0.75,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-23,0.98,0.98,0.9799919967987194,0.07649875239888453,0.01925745540075768,0.049732045325689846,current,0.99,-0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-24,0.9333964646464646,0.9333333333333333,0.933326319665448,0.1514896722452076,0.043295188295661584,0.04597936281943581,current,0.9433396464646464,-0.009943181818181768,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-25,0.95,0.95,0.9499799919967987,0.10415590368328147,0.0273782533042876,0.06758098043971704,current,0.98,-0.030000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-26,0.725,0.725,0.7103357472021066,0.5320452481286605,0.180463128684407,0.09854302900125816,current,0.73,-0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-27,0.615,0.615,0.6147592245153221,0.6641770576327147,0.2354574216320566,0.07865940931060944,current,0.6699999999999999,-0.05499999999999994,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-28,0.69,0.69,0.6895032051282051,0.5555267836110912,0.19951919356886463,0.17117411820576067,current,0.66,0.029999999999999916,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-29,0.905,0.905,0.9049405878674172,0.27193616496096285,0.07645419521294779,0.0971295434741728,current,0.915,-0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-3,0.88,0.88,0.8794091046126018,0.3168872716372971,0.09407355396641595,0.09219691497401346,current,0.88,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-30,0.88,0.88,0.8792270531400965,0.3346651471267383,0.09852695647217884,0.07353471917204714,current,0.875,0.0050000000000000044,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-31,0.585,0.585,0.5747841901688056,0.6870098591149969,0.24393064915245824,0.14330171306484532,current,0.585,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-32,0.635,0.635,0.6349908747718693,0.6522856770078866,0.22730631594223294,0.08059644297291739,current,0.62,0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-33,0.97,0.97,0.97,0.11049426733141823,0.028790854664134013,0.06215556897048875,current,0.97,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-34,0.5650000000000001,0.565,0.5601506610379433,0.698279173975574,0.25020361192667523,0.11887093734456045,current,0.575,-0.009999999999999898,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-35,0.915,0.915,0.9149808706959066,0.20656735627866635,0.06191017944540217,0.07455028365949012,current,0.9299999999999999,-0.014999999999999902,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_SOFT_RELIABILITY,sub-36,0.98,0.98,0.9799979997999799,0.0802841799705372,0.016325620002790447,0.05679833527818065,current,0.98,0.0,False
