dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260820,0,9,0.8455555555555556,0.011666666666666665,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260820,1,8,0.8112499999999999,0.007499999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260820,2,8,0.803125,0.007499999999999979,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260820,3,8,0.821133207070707,0.020090751262626286,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260820,4,8,0.8043750000000001,0.008125000000000007,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260821,0,9,0.8455555555555556,0.011666666666666665,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260821,1,8,0.8112499999999999,0.007499999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260821,2,8,0.803125,0.007499999999999979,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260821,3,8,0.821133207070707,0.020090751262626286,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260821,4,8,0.8043750000000001,0.008125000000000007,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260822,0,9,0.8455555555555556,0.011666666666666665,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260822,1,8,0.8112499999999999,0.007499999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260822,2,8,0.803125,0.007499999999999979,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260822,3,8,0.821133207070707,0.020090751262626286,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260822,4,8,0.8043750000000001,0.008125000000000007,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260823,0,9,0.8455555555555556,0.011666666666666665,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260823,1,8,0.8112499999999999,0.007499999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260823,2,8,0.803125,0.007499999999999979,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260823,3,8,0.821133207070707,0.020090751262626286,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260823,4,8,0.8043750000000001,0.008125000000000007,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260824,0,9,0.8455555555555556,0.011666666666666665,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260824,1,8,0.8112499999999999,0.007499999999999993,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260824,2,8,0.803125,0.007499999999999979,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260824,3,8,0.821133207070707,0.020090751262626286,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M13_CSP_AUGMENTED_REFIT4_SEED_20260824,4,8,0.8043750000000001,0.008125000000000007,False
