dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,0,9,0.8327777777777778,-0.0011111111111111122,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,1,8,0.7987500000000001,-0.0049999999999999906,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,2,8,0.7987500000000001,0.0031250000000000028,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,3,8,0.7916808712121212,-0.00936158459595958,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_LOGISTIC,4,8,0.799375,0.0031250000000000028,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,0,9,0.8294444444444444,-0.004444444444444473,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,1,8,0.7925,-0.011249999999999968,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,2,8,0.794375,-0.0012500000000000011,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,3,8,0.7935621843434344,-0.007480271464646436,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M1_OUTPUT_HISTGB,4,8,0.803125,0.006874999999999992,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,0,9,0.48277777777777775,-0.35111111111111115,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,1,8,0.515625,-0.28812499999999996,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,2,8,0.5425,-0.253125,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,3,8,0.5075000000000001,-0.2935424558080808,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_COMPACT_DIRECT_CONTROL,4,8,0.5193749999999999,-0.27687500000000004,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,0,9,0.8383333333333334,0.004444444444444399,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,1,8,0.798125,-0.005624999999999991,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,2,8,0.793125,-0.00250000000000003,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,3,8,0.7986016414141415,-0.0024408143939393667,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_LOGISTIC,4,8,0.801875,0.005625000000000005,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,0,9,0.8272222222222223,-0.006666666666666672,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,1,8,0.805625,0.0018750000000000294,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,2,8,0.7949999999999999,-0.0006250000000000283,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,3,8,0.7985755997474747,-0.0024668560606060375,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_COMPACT_HISTGB,4,8,0.8049999999999999,0.00874999999999998,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,0,9,0.37222222222222223,-0.4616666666666666,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,1,8,0.413125,-0.390625,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,2,8,0.624375,-0.17125,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,3,8,0.324313446969697,-0.47672900883838376,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_EMBEDDING_DIRECT_CONTROL,4,8,0.65875,-0.1375,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,0,9,0.8311111111111111,-0.0027777777777778173,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,1,8,0.8006249999999999,-0.003124999999999961,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,2,8,0.80375,0.00812499999999998,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,3,8,0.7916871843434343,-0.009355271464646459,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_EMBEDDING_LOGISTIC,4,8,0.8062499999999999,0.009999999999999995,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,0,9,0.8327777777777778,-0.0011111111111111243,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,1,8,0.8,-0.0037499999999999895,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,2,8,0.7931250000000001,-0.0025000000000000022,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,3,8,0.7954371843434344,-0.005605271464646441,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_LOGISTIC,4,8,0.8087500000000001,0.012500000000000011,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,0,9,0.826111111111111,-0.007777777777777822,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,1,8,0.8025,-0.0012499999999999872,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,2,8,0.8031250000000001,0.007500000000000007,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,3,8,0.7991808712121212,-0.001861584595959559,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_HISTGB,4,8,0.8025,0.006249999999999992,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,0,9,0.833888888888889,-1.2335811384723961e-17,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,1,8,0.80375,1.3877787807814457e-17,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,2,8,0.795625,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,3,8,0.7985495580808081,-0.002492897727272722,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M2_OUTPUT_ALL_CONTEXT_EXTRATREES,4,8,0.8049999999999999,0.00874999999999998,False
