dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,0,9,0.8105555555555556,-0.02333333333333338,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,1,8,0.7831250000000001,-0.02062499999999999,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,2,8,0.76125,-0.03437500000000002,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,3,8,0.7859974747474747,-0.015044981060606047,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STABLE,4,8,0.775,-0.021250000000000033,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,0,9,0.8183333333333332,-0.015555555555555581,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,1,8,0.79,-0.013749999999999984,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,2,8,0.784375,-0.011249999999999996,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,3,8,0.7753330176767677,-0.025709438131313107,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGNet_STD,4,8,0.7606249999999999,-0.03562500000000003,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,0,9,0.8011111111111111,-0.032777777777777795,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,1,8,0.753125,-0.050624999999999976,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,2,8,0.74,-0.05562499999999998,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,3,8,0.7839914772727272,-0.01705097853535352,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_DeepConvNet,4,8,0.753125,-0.04312500000000001,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,0,9,0.6394444444444445,-0.1944444444444445,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,1,8,0.5862499999999999,-0.21749999999999997,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,2,8,0.6174999999999999,-0.178125,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,3,8,0.6829829545454545,-0.11805950126262622,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_EEGConformer,4,8,0.563125,-0.233125,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,0,9,0.7516666666666666,-0.08222222222222227,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,1,8,0.7025,-0.10124999999999999,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,2,8,0.721875,-0.07375,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,3,8,0.7594886363636364,-0.041553819444444404,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_HEAD_TeCh,4,8,0.6475,-0.14875,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,0,9,0.8300000000000001,-0.0038888888888889295,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,1,8,0.785625,-0.018125000000000002,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,2,8,0.7806249999999999,-0.015000000000000027,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,3,8,0.7866414141414141,-0.014401041666666656,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_COMPETENT3_MEAN,4,8,0.77625,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M10_LOCAL_ALL5_MEAN,0,9,0.8377777777777777,0.003888888888888843,False
