expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-1,"{'family': 'logistic', 'C': 0.001}",0,0.895,0.835,0.5482009508778628,True,"S1,S2",False,False
EEGNet_STABLE,sub-1,"{'family': 'logistic', 'C': 0.01}",1,0.8825,0.815,0.35027903221023504,False,"S1,S2",False,False
EEGNet_STABLE,sub-1,"{'family': 'logistic', 'C': 0.1}",2,0.875,0.8200000000000001,0.26842446164562267,False,"S1,S2",False,False
EEGNet_STABLE,sub-1,"{'family': 'logistic', 'C': 1.0}",3,0.8675,0.81,0.2872738694949052,False,"S1,S2",False,False
EEGNet_STABLE,sub-11,"{'family': 'logistic', 'C': 0.001}",0,0.8625,0.8400000000000001,0.5553444835055739,False,"S1,S2",False,False
EEGNet_STABLE,sub-11,"{'family': 'logistic', 'C': 0.01}",1,0.86,0.825,0.3835103286335565,False,"S1,S2",False,False
EEGNet_STABLE,sub-11,"{'family': 'logistic', 'C': 0.1}",2,0.865,0.825,0.3450030121885148,True,"S1,S2",False,False
EEGNet_STABLE,sub-11,"{'family': 'logistic', 'C': 1.0}",3,0.8500000000000001,0.81,0.3990748823292736,False,"S1,S2",False,False
EEGNet_STABLE,sub-12,"{'family': 'logistic', 'C': 0.001}",0,0.58,0.575,0.6875023915969394,True,"S1,S2",False,False
EEGNet_STABLE,sub-12,"{'family': 'logistic', 'C': 0.01}",1,0.5774999999999999,0.5449999999999999,0.6814944141267331,False,"S1,S2",False,False
EEGNet_STABLE,sub-12,"{'family': 'logistic', 'C': 0.1}",2,0.5475,0.5349999999999999,0.717775780223667,False,"S1,S2",False,False
EEGNet_STABLE,sub-12,"{'family': 'logistic', 'C': 1.0}",3,0.535,0.51,0.7894621084138548,False,"S1,S2",False,False
EEGNet_STABLE,sub-13,"{'family': 'logistic', 'C': 0.001}",0,0.6875,0.53,0.6670976911290865,False,"S1,S2",False,False
EEGNet_STABLE,sub-13,"{'family': 'logistic', 'C': 0.01}",1,0.6875,0.54,0.6308267374176234,True,"S1,S2",False,False
EEGNet_STABLE,sub-13,"{'family': 'logistic', 'C': 0.1}",2,0.6675,0.5449999999999999,0.658455670475723,False,"S1,S2",False,False
EEGNet_STABLE,sub-13,"{'family': 'logistic', 'C': 1.0}",3,0.65,0.56,0.7409856601404439,False,"S1,S2",False,False
EEGNet_STABLE,sub-14,"{'family': 'logistic', 'C': 0.001}",0,0.53,0.515,0.6934111280819697,False,"S1,S2",False,False
EEGNet_STABLE,sub-14,"{'family': 'logistic', 'C': 0.01}",1,0.5225,0.505,0.7076935794483283,False,"S1,S2",False,False
EEGNet_STABLE,sub-14,"{'family': 'logistic', 'C': 0.1}",2,0.535,0.51,0.758841183050322,True,"S1,S2",False,False
EEGNet_STABLE,sub-14,"{'family': 'logistic', 'C': 1.0}",3,0.5225,0.49,0.8402574867175976,False,"S1,S2",False,False
EEGNet_STABLE,sub-16,"{'family': 'logistic', 'C': 0.001}",0,0.56,0.54,0.6881886657067795,False,"S1,S2",False,False
EEGNet_STABLE,sub-16,"{'family': 'logistic', 'C': 0.01}",1,0.5625,0.54,0.6813279206846783,False,"S1,S2",False,False
EEGNet_STABLE,sub-16,"{'family': 'logistic', 'C': 0.1}",2,0.5725,0.5549999999999999,0.7005535963527094,True,"S1,S2",False,False
EEGNet_STABLE,sub-16,"{'family': 'logistic', 'C': 1.0}",3,0.55,0.535,0.7376775461740621,False,"S1,S2",False,False
EEGNet_STABLE,sub-17,"{'family': 'logistic', 'C': 0.001}",0,0.795,0.76,0.5726315620666798,False,"S1,S2",False,False
EEGNet_STABLE,sub-17,"{'family': 'logistic', 'C': 0.01}",1,0.8075,0.77,0.4355433044824917,True,"S1,S2",False,False
EEGNet_STABLE,sub-17,"{'family': 'logistic', 'C': 0.1}",2,0.7925,0.7350000000000001,0.42647475096752174,False,"S1,S2",False,False
EEGNet_STABLE,sub-17,"{'family': 'logistic', 'C': 1.0}",3,0.7949999999999999,0.735,0.4903680977479936,False,"S1,S2",False,False
EEGNet_STABLE,sub-18,"{'family': 'logistic', 'C': 0.001}",0,0.5675,0.51,0.6857746386944913,False,"S1,S2",False,False
