benchmark,method_id,subject_id,outer_fold,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,OUTER_TEST_USED,reference_method_id,reference_BA,delta_BA
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,1,1,0.78,0.78,0.7756017951856384,0.4705458144617044,0.1474088151144849,0.15063167082777715,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.8,-0.020000000000000018
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,2,0,0.83,0.83,0.8279178054458953,0.4014263474040983,0.12172224076611854,0.10689129860381442,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.83,0.0
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,3,4,0.94,0.94,0.9399038461538461,0.16183685464494002,0.04681113836447296,0.0820823147808219,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.97,-0.030000000000000027
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,4,2,0.77,0.77,0.7681217864704104,0.520505602753617,0.161057916844321,0.1661985747830539,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.8,-0.030000000000000027
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,5,1,0.72,0.72,0.7159090909090908,0.5130892751866218,0.1738864739052181,0.17248687486401842,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.84,-0.12
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,6,1,0.97,0.97,0.9699729756781104,0.09675902106287841,0.027251408646108068,0.04398650519211918,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.97,0.0
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,7,2,0.84,0.84,0.8383838383838383,0.4712526745865315,0.12846091187905054,0.13986759938451993,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.87,-0.030000000000000027
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,8,4,0.72,0.72,0.7144022847817217,0.7127824762492315,0.2054177752455856,0.16966252618675837,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.76,-0.040000000000000036
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,9,3,0.73,0.73,0.7266929851199515,0.4831617356725586,0.16344358735828998,0.15439509734718673,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.81,-0.08000000000000007
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,10,1,0.73,0.73,0.7253585596582239,0.5092820437013881,0.16540772672486473,0.16384562131369615,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.8,-0.07000000000000006
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,11,4,0.7,0.7,0.6998799519807923,0.5463119632106966,0.18553811696169323,0.09738121820133341,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.72,-0.020000000000000018
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,12,4,0.8200000000000001,0.82,0.818840579710145,0.4503637501386972,0.1382041325063984,0.1176752656674557,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.79,0.030000000000000027
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,13,0,0.78,0.78,0.7777777777777778,0.4516706989799592,0.14712297516944756,0.09732136696036639,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.78,0.0
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,14,0,0.76,0.76,0.7596153846153846,0.5252032160887723,0.16280868934858683,0.12206253915052243,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.8,-0.040000000000000036
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,15,3,0.91,0.91,0.90999099909991,0.28899064741546415,0.08216131987761217,0.07174699180532029,False,MI_SPECIFIC_BACKBONE_ADAPTED,0.91,0.0
