benchmark,outer_fold,method_id,configuration,protection,strength,mean_outcome_parameter_change,selection_source,target_future_labels_used_for_fit,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,0,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,0,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 1e-05, ""strategy"": ""full""}",none,0.0,0.0034394756011250946,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,0,FT_UNIFORM_L2_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 1e-05, ""strategy"": ""full""}",uniform,1000.0,0.003444478821216358,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,0,FT_RANDOM_FISHER_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 1e-05, ""strategy"": ""full""}",random_fisher,10.0,0.0034657464776602057,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,0,PERSIST_SA_FISHER_PROTECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 1e-05, ""strategy"": ""full""}",fisher,0.1,0.0034688370974941384,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,1,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,1,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",none,0.0,0.024780309526249766,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,1,FT_UNIFORM_L2_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",uniform,10.0,0.024089613929390907,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,1,FT_RANDOM_FISHER_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",random_fisher,0.1,0.024578806944191456,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,1,PERSIST_SA_FISHER_PROTECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",fisher,0.1,0.024378893431276083,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,2,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,2,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,2,FT_UNIFORM_L2_CONTROL,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,2,FT_RANDOM_FISHER_CONTROL,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,2,PERSIST_SA_FISHER_PROTECTED,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,3,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,3,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",none,0.0,0.024425998330116272,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,3,FT_UNIFORM_L2_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",uniform,10.0,0.023961807368323207,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,3,FT_RANDOM_FISHER_CONTROL,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",random_fisher,1000.0,0.02377571864053607,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,3,PERSIST_SA_FISHER_PROTECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",fisher,1.0,0.024321046192198992,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,4,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,completed discovery search stdout before coverage-only summarization failure,False,False
WBCIC_S1S2_to_S3_authorized_development,4,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",none,0.0,0.025534873828291893,completed discovery search stdout before coverage-only summarization failure,False,False
