benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-1,0,0.965,0.1548966553834039
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-11,1,0.75,0.456482638515236
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-12,4,0.755,0.4548936169673592
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-13,1,0.895,0.26783282645763395
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-14,4,0.56,0.6958678893671355
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-16,0,0.575,0.7107610777085526
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-17,4,0.875,0.3098735830809894
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-18,1,0.655,0.6039835844484107
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-19,0,0.965,0.112082969427689
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-2,1,0.745,0.4542516183063778
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-21,0,0.885,0.2538948198316199
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-22,2,0.825,0.3849246608297754
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-23,3,0.985,0.04999013155580017
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FIXED_CALIBRATION,sub-24,3,0.9434974747474747,0.13083788187246143
