benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-1,0,0.905,0.26543038937975455
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-11,1,0.73,0.5065787787528263
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-12,4,0.78,0.4373403142607487
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-13,1,0.845,0.3562310353304205
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-14,4,0.585,0.7150524011573819
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-16,0,0.5449999999999999,0.7229355009226219
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-17,4,0.84,0.3297426772403577
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-18,1,0.635,0.6023003217846266
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-19,0,0.965,0.09778029821319711
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-2,1,0.765,0.41188242910881967
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-21,0,0.885,0.2892011290422591
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-22,2,0.87,0.32198194419189435
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-23,3,0.96,0.11225008750411464
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-24,3,0.9433396464646464,0.14617667067021253
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-25,2,0.96,0.1335252797829335
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-26,2,0.75,0.5330255748294729
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-27,1,0.64,0.6454972685427023
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-28,0,0.725,0.5491774873113933
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-29,2,0.9099999999999999,0.2759194931399102
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-3,0,0.885,0.2931294932012326
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-30,3,0.9099999999999999,0.24634477388322626
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-31,3,0.61,0.6871096399201123
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-32,4,0.685,0.6093756780372046
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-33,0,0.975,0.09702044767444025
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-34,2,0.595,0.6814802408779124
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-35,2,0.95,0.12438506595834273
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-36,1,0.99,0.04730212263911418
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-37,0,0.8999999999999999,0.26538141562617995
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-38,3,0.52,0.7628102154278946
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-41,3,0.87,0.24767072458796108
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-42,3,0.735,0.5120226981999464
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-44,1,0.87,0.345521405936884
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-45,1,0.955,0.12742163790147046
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-47,4,0.965,0.12000270638335434
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-48,4,0.855,0.2973584086900112
