benchmark,family_id,method_id,subject_id,source_fold,BA,NLL,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,14,0,0.82,0.4337352003397467,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,19,0,0.83,0.41295751830824623,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,2,0,0.8400000000000001,0.38909323068085383,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,32,0,0.8500000000000001,0.2860938746433446,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,33,0,0.98,0.08749401511220162,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,40,0,0.87,0.2905387774300301,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,47,0,0.97,0.11880590729844412,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,50,0,0.55,0.9236284958477471,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,53,0,0.86,0.3297427617981778,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,1,1,0.83,0.406631713117694,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,B_STRONG_MATCHED_V7,10,1,0.85,0.3899444497000647,False
