benchmark,family_id,method_id,subject_id,source_fold,BA,NLL,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-1,0,0.97,0.1544126180454437,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-5,0,0.825,0.35659482458460334,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-16,0,0.595,0.6933387070038838,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-28,0,0.72,0.5001153110039028,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-37,0,0.865,0.34223225874545826,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-11,1,0.75,0.459063843908295,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-13,1,0.905,0.2673013300046078,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-18,1,0.66,0.6107008449228789,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-27,1,0.655,0.6210369784613875,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-36,1,0.98,0.050531113168512005,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-44,1,0.885,0.3128380241354206,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,B_STRONG_MATCHED_V7,sub-45,1,0.955,0.13425875168403492,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-1,0,0.925,0.2100524139877228,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-1,0,0.97,0.15091404115841928,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-1,0,0.95,0.1792378644473093,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-1,0,0.975,0.14979373623842163,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-1,0,0.945,0.173927371247459,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-1,0,0.975,0.14803531072011006,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-1,0,0.955,0.14016499022034742,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-1,0,0.975,0.13467917506160235,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-5,0,0.755,0.41068135460310984,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-5,0,0.825,0.36067269111708766,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-5,0,0.775,0.44555468226461686,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-5,0,0.83,0.37537989144372963,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-5,0,0.775,0.44090591008801866,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-5,0,0.825,0.37431535716745273,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-5,0,0.785,0.4272437133340088,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-5,0,0.825,0.36820562272825474,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-16,0,0.535,0.7809239385939845,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-16,0,0.595,0.6974856181711317,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-16,0,0.54,0.7294179804768268,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-16,0,0.595,0.696351749130676,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-16,0,0.55,0.7524949941102396,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-16,0,0.565,0.69927713962055,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-16,0,0.575,0.738194923536326,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-16,0,0.5700000000000001,0.6932927720241708,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-28,0,0.685,0.5228246640035645,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-28,0,0.7,0.5053100966276702,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-28,0,0.72,0.5206991064262867,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-28,0,0.72,0.5068935808107675,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-28,0,0.705,0.5304186821707496,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-28,0,0.7150000000000001,0.5081081391296131,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-28,0,0.71,0.5247765866165802,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-28,0,0.7250000000000001,0.500655088304239,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-37,0,0.79,0.5015364364753992,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-37,0,0.875,0.37540427656845227,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-37,0,0.8,0.5364892798222769,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-37,0,0.855,0.38925082698818997,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-37,0,0.7949999999999999,0.5856573443841434,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-37,0,0.86,0.4031437461173667,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-37,0,0.7949999999999999,0.5096810618134622,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-37,0,0.88,0.38013366118584896,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-11,1,0.505,0.6992441203402308,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-11,1,0.755,0.46234431309573715,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_STANDALONE,sub-11,1,0.715,0.5610887932907204,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__HEAD_RESIDUAL50,sub-11,1,0.745,0.5261155323128816,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_STANDALONE,sub-11,1,0.71,0.5177152498938595,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__TAIL_RESIDUAL50,sub-11,1,0.75,0.5111340775402753,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_STANDALONE,sub-11,1,0.73,0.49131749408614733,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__FULL_RESIDUAL50,sub-11,1,0.75,0.4999674670990835,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_STANDALONE,sub-13,1,0.495,0.6747016730614306,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_ENCODER_FINETUNE_BANK,RAW_ENCODER_FINETUNE_BANK__ADABN_RESIDUAL50,sub-13,1,0.9099999999999999,0.2666528655681954,False
