benchmark,family_id,method_id,subjects,mean_subject_BA,mean_subject_NLL,Delta_BA,positive_subject_fraction,nonnegative_subject_fraction,harmful_subject_fraction,worst_subject_delta,p10_subject_delta,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E2_GENERIC_BLEND50,12,0.81625,0.3938183249534965,0.002499999999999993,0.5,0.6666666666666666,0.3333333333333333,-0.06499999999999995,-0.015000000000000013,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__POPULATION_BLEND50,12,0.8129166666666667,0.38836996465566304,-0.0008333333333333434,0.3333333333333333,0.5,0.5,-0.06000000000000005,-0.034000000000000016,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__FEATURE_HEAD_BLEND50,12,0.8108333333333334,0.37778445364701163,-0.0029166666666666876,0.5833333333333334,0.5833333333333334,0.4166666666666667,-0.06000000000000005,-0.039000000000000035,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E1_GENERIC_BLEND50,12,0.8108333333333334,0.40942080728994196,-0.0029166666666666694,0.3333333333333333,0.5,0.5,-0.06499999999999995,-0.034000000000000016,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E3_GENERIC_BLEND50,12,0.8108333333333334,0.4102245943699146,-0.0029166666666666694,0.3333333333333333,0.5,0.5,-0.06499999999999995,-0.034000000000000016,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E0_GENERIC_BLEND50,12,0.8104166666666668,0.38987911242598283,-0.003333333333333327,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.06499999999999995,-0.034000000000000016,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E0_HISTORY_RESIDUAL50,12,0.7920833333333334,0.3946925565030685,-0.021666666666666678,0.4166666666666667,0.5833333333333334,0.4166666666666667,-0.14,-0.11149999999999999,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E2_HISTORY_RESIDUAL50,12,0.7787499999999999,0.40339993892529313,-0.034999999999999996,0.25,0.3333333333333333,0.6666666666666666,-0.21999999999999997,-0.09000000000000007,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E1_HISTORY_RESIDUAL50,12,0.7720833333333332,0.4177077507487335,-0.041666666666666685,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.21000000000000002,-0.14150000000000001,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E3_HISTORY_RESIDUAL50,12,0.7720833333333332,0.4184401380259604,-0.041666666666666685,0.25,0.3333333333333333,0.6666666666666666,-0.21000000000000002,-0.1365,False
