benchmark,family_id,method_id,subjects,mean_subject_BA,mean_subject_NLL,Delta_BA,positive_subject_fraction,nonnegative_subject_fraction,harmful_subject_fraction,worst_subject_delta,p10_subject_delta,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E0_GENERIC_BLEND50,12,0.8229166666666665,0.3819654096690757,0.009166666666666684,0.5833333333333334,0.75,0.25,-0.03499999999999992,-0.009499999999999996,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E2_GENERIC_BLEND50,12,0.8220833333333332,0.3816983901184496,0.008333333333333331,0.5833333333333334,0.75,0.25,-0.03499999999999992,-0.014500000000000013,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E1_GENERIC_BLEND50,12,0.8216666666666667,0.38442060744010803,0.007916666666666683,0.5,0.6666666666666666,0.3333333333333333,-0.03499999999999992,-0.019000000000000017,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__POPULATION_BLEND50,12,0.8204166666666666,0.3780832012974493,0.006666666666666672,0.5833333333333334,0.75,0.25,-0.03499999999999992,-0.028000000000000025,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E3_GENERIC_BLEND50,12,0.8195833333333334,0.3768813688256609,0.00583333333333332,0.5,0.6666666666666666,0.3333333333333333,-0.03499999999999992,-0.019000000000000017,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__FEATURE_HEAD_BLEND50,12,0.8125,0.3766575544419251,-0.0012500000000000011,0.4166666666666667,0.5,0.5,-0.040000000000000036,-0.024500000000000022,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E3_HISTORY_RESIDUAL50,12,0.7916666666666666,0.3913313629486976,-0.022083333333333344,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.14500000000000002,-0.10149999999999999,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E2_HISTORY_RESIDUAL50,12,0.785,0.3998712332559608,-0.028749999999999998,0.25,0.5,0.5,-0.19000000000000006,-0.09499999999999997,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E0_HISTORY_RESIDUAL50,12,0.7845833333333333,0.40034975548680646,-0.02916666666666666,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.19,-0.08599999999999998,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,MULTISCALE_TCN_STAGED_BANK_K4__E1_HISTORY_RESIDUAL50,12,0.7824999999999999,0.4031342649272502,-0.031249999999999997,0.25,0.3333333333333333,0.6666666666666666,-0.195,-0.09499999999999997,False
