benchmark,family_id,subject_id,source_fold,baseline_BA,oracle_method,oracle_BA,oracle_NLL,oracle_delta_BA,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-1,0,0.97,B_STRONG_MATCHED_V7,0.97,0.1544126180454437,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-5,0,0.825,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.855,0.35163723214215237,0.030000000000000027,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-16,0,0.595,B_STRONG_MATCHED_V7,0.595,0.6933387070038838,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-28,0,0.72,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,0.785,0.48471485668642517,0.06500000000000006,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-37,0,0.865,B_STRONG_MATCHED_V7,0.865,0.34223225874545826,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-11,1,0.75,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.775,0.4597332289423588,0.025000000000000022,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-13,1,0.905,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,0.91,0.30410103346121387,0.0050000000000000044,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-18,1,0.66,B_STRONG_MATCHED_V7,0.66,0.6107008449228789,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-27,1,0.655,B_STRONG_MATCHED_V7,0.655,0.6210369784613875,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-36,1,0.98,B_STRONG_MATCHED_V7,0.98,0.050531113168512005,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-44,1,0.885,B_STRONG_MATCHED_V7,0.885,0.3128380241354206,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,sub-45,1,0.955,B_STRONG_MATCHED_V7,0.955,0.13425875168403492,0.0,False
