dataset,fold,seed,checkpoint_variant,method,mean_subject_BA,mean_subject_macro_F1,mean_subject_accuracy,delta_vs_EEGNet_pp,n_subjects
OpenBMI,0,0,selected_best,EEGNet,0.8,0.7980293041049831,0.8,0.0,8
OpenBMI,0,0,selected_best,LOGIT50,0.8262499999999999,0.8238838403785962,0.8262499999999999,2.6249999999999885,8
OpenBMI,0,0,selected_best,LiteBN,0.8262499999999999,0.8239583329302678,0.8262499999999999,2.6249999999999885,8
OpenBMI,0,0,selected_best,PROB50,0.8262499999999999,0.8238838403785962,0.8262499999999999,2.6249999999999885,8
OpenBMI,0,1,selected_best,EEGNet,0.80875,0.806677976171448,0.80875,0.0,8
OpenBMI,0,1,selected_best,LOGIT50,0.8587499999999999,0.8569172000051681,0.85875,4.999999999999993,8
OpenBMI,0,1,selected_best,LiteBN,0.8474999999999999,0.8449032613884042,0.8474999999999999,3.874999999999995,8
OpenBMI,0,1,selected_best,PROB50,0.8587499999999999,0.8569172000051681,0.85875,4.999999999999993,8
OpenBMI,0,2,selected_best,EEGNet,0.7875000000000001,0.780918245946379,0.7875000000000001,0.0,8
OpenBMI,0,2,selected_best,LOGIT50,0.84375,0.8417203066889352,0.84375,5.624999999999991,8
OpenBMI,0,2,selected_best,LiteBN,0.8474999999999999,0.846630385617235,0.8474999999999999,5.999999999999983,8
OpenBMI,0,2,selected_best,PROB50,0.84375,0.8417203066889352,0.84375,5.624999999999991,8
OpenBMI,1,0,selected_best,EEGNet,0.8125,0.8098641814985617,0.8125,0.0,8
OpenBMI,1,0,selected_best,LOGIT50,0.8425,0.8410904903707968,0.8425,3.0000000000000027,8
OpenBMI,1,0,selected_best,LiteBN,0.8325,0.8303223777063318,0.8325,2.0000000000000018,8
OpenBMI,1,0,selected_best,PROB50,0.8425,0.8410904903707968,0.8425,3.0000000000000027,8
OpenBMI,1,1,selected_best,EEGNet,0.8,0.7957906109970995,0.7999999999999999,0.0,8
OpenBMI,1,1,selected_best,LOGIT50,0.8425,0.8409039216769065,0.8425,4.249999999999998,8
OpenBMI,1,1,selected_best,LiteBN,0.8275,0.8261809793876833,0.8274999999999999,2.749999999999997,8
OpenBMI,1,1,selected_best,PROB50,0.8425,0.8409039216769065,0.8425,4.249999999999998,8
OpenBMI,1,2,selected_best,EEGNet,0.8175,0.8161797614802044,0.8174999999999999,0.0,8
OpenBMI,1,2,selected_best,LOGIT50,0.83375,0.8320847234133804,0.83375,1.6249999999999987,8
