dataset,fold,seed,checkpoint_variant,subject_id,method,trials,BA,macro_F1,accuracy,non_deployable
OpenBMI,0,0,selected_best,15,EEGNet,100,0.8300000000000001,0.8298468621759583,0.83,False
OpenBMI,0,0,selected_best,15,LiteBN,100,0.87,0.8698828946051447,0.87,False
OpenBMI,0,0,selected_best,15,LOGIT50,100,0.8999999999999999,0.8998397435897436,0.9,False
OpenBMI,0,0,selected_best,15,PROB50,100,0.8999999999999999,0.8998397435897436,0.9,False
OpenBMI,0,0,selected_best,38,EEGNet,100,0.76,0.7519636213311285,0.76,False
OpenBMI,0,0,selected_best,38,LiteBN,100,0.77,0.757153415690001,0.77,False
OpenBMI,0,0,selected_best,38,LOGIT50,100,0.75,0.736036321402175,0.75,False
OpenBMI,0,0,selected_best,38,PROB50,100,0.75,0.736036321402175,0.75,False
OpenBMI,0,0,selected_best,6,EEGNet,100,0.9299999999999999,0.9298245614035088,0.93,False
OpenBMI,0,0,selected_best,6,LiteBN,100,0.9099999999999999,0.9099189270343309,0.91,False
OpenBMI,0,0,selected_best,6,LOGIT50,100,0.95,0.9499949994999499,0.95,False
OpenBMI,0,0,selected_best,6,PROB50,100,0.95,0.9499949994999499,0.95,False
OpenBMI,0,0,selected_best,33,EEGNet,100,0.76,0.7552019583843329,0.76,False
OpenBMI,0,0,selected_best,33,LiteBN,100,0.88,0.8799519807923168,0.88,False
OpenBMI,0,0,selected_best,33,LOGIT50,100,0.85,0.8487750781328763,0.85,False
OpenBMI,0,0,selected_best,33,PROB50,100,0.85,0.8487750781328763,0.85,False
OpenBMI,0,0,selected_best,32,EEGNet,100,0.65,0.6496847162446202,0.65,False
OpenBMI,0,0,selected_best,32,LiteBN,100,0.7,0.6998799519807923,0.7,False
OpenBMI,0,0,selected_best,32,LOGIT50,100,0.63,0.6290726817042607,0.63,False
OpenBMI,0,0,selected_best,32,PROB50,100,0.63,0.6290726817042607,0.63,False
OpenBMI,0,0,selected_best,3,EEGNet,100,0.84,0.8383838383838383,0.84,False
OpenBMI,0,0,selected_best,3,LiteBN,100,0.87,0.8699869986998701,0.87,False
OpenBMI,0,0,selected_best,3,LOGIT50,100,0.86,0.8590982286634461,0.86,False
OpenBMI,0,0,selected_best,3,PROB50,100,0.86,0.8590982286634461,0.86,False
OpenBMI,0,0,selected_best,5,EEGNet,100,0.73,0.72997299729973,0.73,False
OpenBMI,0,0,selected_best,5,LiteBN,100,0.75,0.7469379491851402,0.75,False
OpenBMI,0,0,selected_best,5,LOGIT50,100,0.75,0.7487689679429204,0.75,False
OpenBMI,0,0,selected_best,5,PROB50,100,0.75,0.7487689679429204,0.75,False
OpenBMI,0,0,selected_best,47,EEGNet,100,0.8999999999999999,0.8993558776167472,0.9,False
OpenBMI,0,0,selected_best,47,LiteBN,100,0.86,0.8579545454545454,0.86,False
OpenBMI,0,0,selected_best,47,LOGIT50,100,0.9199999999999999,0.9194847020933977,0.92,False
OpenBMI,0,0,selected_best,47,PROB50,100,0.9199999999999999,0.9194847020933977,0.92,False
OpenBMI,0,1,selected_best,15,EEGNet,100,0.86,0.8590982286634461,0.86,False
OpenBMI,0,1,selected_best,15,LiteBN,100,0.86,0.8590982286634461,0.86,False
OpenBMI,0,1,selected_best,15,LOGIT50,100,0.8899999999999999,0.8894583458948849,0.89,False
OpenBMI,0,1,selected_best,15,PROB50,100,0.8899999999999999,0.8894583458948849,0.89,False
OpenBMI,0,1,selected_best,38,EEGNet,100,0.79,0.7837503861600247,0.79,False
OpenBMI,0,1,selected_best,38,LiteBN,100,0.75,0.7406369955389562,0.75,False
OpenBMI,0,1,selected_best,38,LOGIT50,100,0.79,0.7837503861600247,0.79,False
OpenBMI,0,1,selected_best,38,PROB50,100,0.79,0.7837503861600247,0.79,False
OpenBMI,0,1,selected_best,6,EEGNet,100,0.9099999999999999,0.9097744360902256,0.91,False
OpenBMI,0,1,selected_best,6,LiteBN,100,0.97,0.96999699969997,0.97,False
OpenBMI,0,1,selected_best,6,LOGIT50,100,0.96,0.959983993597439,0.96,False
OpenBMI,0,1,selected_best,6,PROB50,100,0.96,0.959983993597439,0.96,False
OpenBMI,0,1,selected_best,33,EEGNet,100,0.76,0.7536945812807883,0.76,False
OpenBMI,0,1,selected_best,33,LiteBN,100,0.9099999999999999,0.9099189270343309,0.91,False
OpenBMI,0,1,selected_best,33,LOGIT50,100,0.87,0.8693598633303186,0.87,False
OpenBMI,0,1,selected_best,33,PROB50,100,0.87,0.8693598633303186,0.87,False
OpenBMI,0,1,selected_best,32,EEGNet,100,0.6699999999999999,0.6691729323308271,0.67,False
OpenBMI,0,1,selected_best,32,LiteBN,100,0.75,0.7457023700539112,0.75,False
OpenBMI,0,1,selected_best,32,LOGIT50,100,0.72,0.7171717171717171,0.72,False
OpenBMI,0,1,selected_best,32,PROB50,100,0.72,0.7171717171717171,0.72,False
OpenBMI,0,1,selected_best,3,EEGNet,100,0.8500000000000001,0.849624060150376,0.85,False
OpenBMI,0,1,selected_best,3,LiteBN,100,0.94,0.9399038461538461,0.94,False
OpenBMI,0,1,selected_best,3,LOGIT50,100,0.9099999999999999,0.9099189270343309,0.91,False
OpenBMI,0,1,selected_best,3,PROB50,100,0.9099999999999999,0.9099189270343309,0.91,False
OpenBMI,0,1,selected_best,5,EEGNet,100,0.73,0.7286704853783539,0.73,False
OpenBMI,0,1,selected_best,5,LiteBN,100,0.72,0.7144022847817217,0.72,False
OpenBMI,0,1,selected_best,5,LOGIT50,100,0.75,0.7457023700539112,0.75,False
OpenBMI,0,1,selected_best,5,PROB50,100,0.75,0.7457023700539112,0.75,False
OpenBMI,0,1,selected_best,47,EEGNet,100,0.8999999999999999,0.8996386993175431,0.9,False
OpenBMI,0,1,selected_best,47,LiteBN,100,0.8799999999999999,0.8795664391810518,0.88,False
