family,fold,seed,subject_id,L_P,L_N,SPL,q_variance_train,outer_test_used
A_SUBJECT_GRL_EEGNET,0,0,1,-0.38389801824135494,-0.8405293230180353,0.45663130477668035,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,3,-0.35687536028700395,-0.6425997257624694,0.2857243654754654,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,6,-0.3182423658361063,-0.529098714952148,0.21085634911604167,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,10,-0.5178603207041532,-1.0493778775698281,0.5315175568656749,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,17,-0.25528146215956027,-0.5682181089154794,0.31293664675591915,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,28,-0.3275078093791026,-0.6220630619881389,0.29455525260903626,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,45,-0.271577332242127,-0.3514944648700825,0.07991713262795552,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,48,-0.32432969024396496,-0.7341099319573425,0.40978024171337757,0.32826335652324073,False
A_SUBJECT_GRL_EEGNET,0,0,54,-0.41860200326663566,-1.230262527342206,0.8116605240755704,0.32826335652324073,False
B_EEG_DG,0,0,1,0.05807964774430907,-0.04510255870263924,0.10318220644694831,0.03672399467321056,False
B_EEG_DG,0,0,3,0.0076930378386375065,0.0006437141067807128,0.007049323731856794,0.03672399467321056,False
B_EEG_DG,0,0,6,0.005916081797808226,0.13574853537183196,-0.12983245357402373,0.03672399467321056,False
B_EEG_DG,0,0,10,0.22076334587661472,-0.002828184429947145,0.22359153030656187,0.03672399467321056,False
B_EEG_DG,0,0,17,0.05053267781060855,0.12436835103860872,-0.07383567322800016,0.03672399467321056,False
B_EEG_DG,0,0,28,0.19653408459971022,0.06243590184546821,0.134098182754242,0.03672399467321056,False
B_EEG_DG,0,0,45,0.020216035851839398,0.008419466335481962,0.011796569516357436,0.03672399467321056,False
B_EEG_DG,0,0,48,-0.006036574415860252,0.015210156189651158,-0.02124673060551141,0.03672399467321056,False
B_EEG_DG,0,0,54,0.25441707940427805,0.055629573850195846,0.1987875055540822,0.03672399467321056,False
C_SCLDGN,0,0,1,0.08948439246117235,0.020730845090034145,0.0687535473711382,0.13654286060051235,False
C_SCLDGN,0,0,3,-0.0021901620707127645,0.12986693648870729,-0.13205709855942005,0.13654286060051235,False
C_SCLDGN,0,0,6,0.07375506240298402,0.06591193644662907,0.007843125956354946,0.13654286060051235,False
C_SCLDGN,0,0,10,-0.25556513470488484,-0.024188753740720714,-0.23137638096416413,0.13654286060051235,False
C_SCLDGN,0,0,17,-0.1252595904222824,0.16782094035987716,-0.29308053078215957,0.13654286060051235,False
C_SCLDGN,0,0,28,-0.02603222128534466,0.03069693504600468,-0.05672915633134934,0.13654286060051235,False
C_SCLDGN,0,0,45,0.08245245793343936,0.10416107693389637,-0.021708619000457008,0.13654286060051235,False
C_SCLDGN,0,0,48,-0.06304866737565984,0.04555524749241241,-0.10860391486807225,0.13654286060051235,False
C_SCLDGN,0,0,54,-0.1023132089147265,0.011206624237406204,-0.11351983315213271,0.13654286060051235,False
A_SUBJECT_GRL_EEGNET,0,1,1,-0.3337699658134391,-0.6821705580793238,0.3484005922658847,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,3,-0.5110622967465761,-0.5447601290343567,0.03369783228778056,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,6,-0.34815329941863127,-0.6653646182502873,0.317211318831656,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,10,-0.18772180840256314,-0.4271633774791953,0.23944156907663217,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,17,-0.3143136744115417,-0.537148590021719,0.22283491561017732,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,28,-0.4371293814598387,-0.6338557689655268,0.19672638750568805,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,45,-0.2239337047746266,-0.33004963661562503,0.10611593184099843,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,48,-0.4782272306558839,-0.7851919526683351,0.3069647220124512,0.8354689268253747,False
A_SUBJECT_GRL_EEGNET,0,1,54,-0.48410082027775236,-0.5215066798371583,0.037405859559405896,0.8354689268253747,False
B_EEG_DG,0,1,1,0.04218119080040417,0.06006976622975024,-0.017888575429346076,0.025651488826729407,False
B_EEG_DG,0,1,3,0.27784790083966415,0.32098667414206367,-0.04313877330239951,0.025651488826729407,False
B_EEG_DG,0,1,6,0.036156763589757945,0.2239868130470143,-0.18783004945725634,0.025651488826729407,False
B_EEG_DG,0,1,10,0.26647756833704683,0.08131047857969997,0.18516708975734686,0.025651488826729407,False
B_EEG_DG,0,1,17,0.1694314136076962,0.12720374571123377,0.04222766789646243,0.025651488826729407,False
B_EEG_DG,0,1,28,0.5985500169997046,0.0874018043801113,0.5111482126195932,0.025651488826729407,False
B_EEG_DG,0,1,45,0.2062693964986122,0.054698078069023104,0.1515713184295891,0.025651488826729407,False
B_EEG_DG,0,1,48,0.06194825418888983,0.06840226324596183,-0.006454009057071997,0.025651488826729407,False
B_EEG_DG,0,1,54,0.2281416226159847,0.03481403253080406,0.19332759008518063,0.025651488826729407,False
C_SCLDGN,0,1,1,0.06689294589506922,0.23061926982018482,-0.1637263239251156,0.3877937416793628,False
C_SCLDGN,0,1,3,-0.11133269145372271,0.5986658565427698,-0.7099985479964925,0.3877937416793628,False
C_SCLDGN,0,1,6,-0.055617634892156764,0.17796321413136862,-0.23358084902352538,0.3877937416793628,False
C_SCLDGN,0,1,10,-0.042179666683339834,1.8698478600293236,-1.9120275267126634,0.3877937416793628,False
C_SCLDGN,0,1,17,0.16631008643707168,0.5339148556582188,-0.36760476922114715,0.3877937416793628,False
C_SCLDGN,0,1,28,-0.25977399246810495,0.09033293122685354,-0.3501069236949585,0.3877937416793628,False
C_SCLDGN,0,1,45,-0.06028832166910569,0.9867171332881686,-1.0470054549572743,0.3877937416793628,False
C_SCLDGN,0,1,48,0.04513741928057258,0.7562086518877774,-0.7110712326072048,0.3877937416793628,False
C_SCLDGN,0,1,54,-0.09157123422012614,-0.08702973967450267,-0.00454149454562347,0.3877937416793628,False
A_SUBJECT_GRL_EEGNET,1,0,3,-0.39719785419044173,-0.6354224204197689,0.2382245662293272,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,7,-1.0402129334394696,-0.8673687418921507,-0.1728441915473189,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,11,-0.8761826598118513,-0.8300490917523091,-0.04613356805954216,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,17,-0.41350176652941173,-0.5226061211577886,0.10910435462837687,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,19,-0.5064758632271524,-0.6714362405455598,0.1649603773184074,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,22,-0.6451988750519796,-0.7869769155756353,0.14177804052365572,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,38,-0.5888062797897364,-0.6853820633462311,0.09657578355649465,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,40,-0.526570762202694,-0.6089652806548478,0.08239451845215373,0.2038601384180077,False
A_SUBJECT_GRL_EEGNET,1,0,50,-0.6834511781180728,-0.7554217033920398,0.07197052527396708,0.2038601384180077,False
B_EEG_DG,1,0,3,0.05432460321720756,0.14475324768038567,-0.09042864446317811,0.0702334369823829,False
B_EEG_DG,1,0,7,0.052392193300135226,0.3626507513133601,-0.3102585580132249,0.0702334369823829,False
B_EEG_DG,1,0,11,0.0469504791942168,0.0008079958096913753,0.04614248338452542,0.0702334369823829,False
B_EEG_DG,1,0,17,0.2262491905084485,0.1399081985822439,0.08634099192620459,0.0702334369823829,False
B_EEG_DG,1,0,19,0.282459261176202,0.19769462607594213,0.08476463510025989,0.0702334369823829,False
B_EEG_DG,1,0,22,-0.02960141777885439,0.06671528007419403,-0.09631669785304842,0.0702334369823829,False
B_EEG_DG,1,0,38,0.043059796396773375,0.031944353761769906,0.01111544263500347,0.0702334369823829,False
B_EEG_DG,1,0,40,-0.24084578504591092,0.11683172318493079,-0.3576775082308417,0.0702334369823829,False
B_EEG_DG,1,0,50,0.4243935640423202,0.08248458929638047,0.34190897474593973,0.0702334369823829,False
C_SCLDGN,1,0,3,-0.056644962398490484,0.029491894053768397,-0.08613685645225888,0.05110201973974021,False
C_SCLDGN,1,0,7,-0.1039926486714251,0.06311223763203544,-0.16710488630346054,0.05110201973974021,False
C_SCLDGN,1,0,11,-0.1317432871716827,0.03976437689205825,-0.17150766406374096,0.05110201973974021,False
C_SCLDGN,1,0,17,-0.036063229707232525,-0.016622090009421164,-0.01944113969781136,0.05110201973974021,False
C_SCLDGN,1,0,19,0.026115611663349303,0.006211559990211835,0.01990405167313747,0.05110201973974021,False
C_SCLDGN,1,0,22,0.04574507060045241,0.016716272882023486,0.029028797718428923,0.05110201973974021,False
C_SCLDGN,1,0,38,-0.0645964958734585,-0.022587465427668152,-0.04200903044579035,0.05110201973974021,False
C_SCLDGN,1,0,40,0.16683983858661577,0.10671549172474853,0.06012434686186724,0.05110201973974021,False
C_SCLDGN,1,0,50,0.20866894275581693,0.09519383901285755,0.11347510374295938,0.05110201973974021,False
A_SUBJECT_GRL_EEGNET,1,1,3,-0.35248362997388805,-0.04533991263505549,-0.30714371733883256,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,7,-0.38898670792590406,-0.14160349558956264,-0.24738321233634142,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,11,-0.6282924495277438,-0.03566553215918766,-0.5926269173685561,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,17,-0.26811398487784166,-0.09726145671662029,-0.17085252816122137,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,19,-0.3382432084668102,-0.0562991626225513,-0.2819440458442589,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,22,-0.7323906432275434,-0.38557475298932964,-0.3468158902382138,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,38,-0.275195660586931,-0.09733332147343121,-0.1778623391134998,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,40,-0.4717753909863831,-0.12509806969046627,-0.34667732129591683,0.8209118542774869,False
A_SUBJECT_GRL_EEGNET,1,1,50,-0.32702973107487043,-0.16154024755226126,-0.16548948352260917,0.8209118542774869,False
B_EEG_DG,1,1,3,-0.05939252106388315,0.11336480397766446,-0.17275732504154762,0.05135382756419686,False
B_EEG_DG,1,1,7,-0.06012742922729952,0.05142230519354185,-0.11154973442084137,0.05135382756419686,False
B_EEG_DG,1,1,11,-0.0253342529154178,0.0721449787016965,-0.0974792316171143,0.05135382756419686,False
B_EEG_DG,1,1,17,0.1879707618034725,0.029741717882302954,0.15822904392116954,0.05135382756419686,False
B_EEG_DG,1,1,19,0.20957483425202683,0.23050308399819713,-0.020928249746170302,0.05135382756419686,False
B_EEG_DG,1,1,22,-0.12659671107256065,0.09388077116985821,-0.22047748224241887,0.05135382756419686,False
B_EEG_DG,1,1,38,-0.12387537658306624,0.0536303762799365,-0.17750575286300274,0.05135382756419686,False
B_EEG_DG,1,1,40,-0.11311296043012786,0.016178036854647693,-0.12929099728477556,0.05135382756419686,False
B_EEG_DG,1,1,50,0.04616561500196337,0.16068529611326432,-0.11451968111130095,0.05135382756419686,False
C_SCLDGN,1,1,3,-0.04674129128674398,0.007888469536805276,-0.054629760823549256,0.05005165305971322,False
C_SCLDGN,1,1,7,0.06963703355127904,0.03755418689995388,0.03208284665132516,0.05005165305971322,False
C_SCLDGN,1,1,11,-0.030767829572141414,0.021950978531232956,-0.05271880810337437,0.05005165305971322,False
C_SCLDGN,1,1,17,-0.3782997724520474,0.34354885952607606,-0.7218486319781234,0.05005165305971322,False
C_SCLDGN,1,1,19,-0.08784420894159761,-0.008493885309884208,-0.0793503236317134,0.05005165305971322,False
C_SCLDGN,1,1,22,0.026506636943474993,0.09371660379934377,-0.06720996685586877,0.05005165305971322,False
C_SCLDGN,1,1,38,0.14777221838279253,0.09284770273580079,0.054924515646991745,0.05005165305971322,False
C_SCLDGN,1,1,40,-0.15674591528282922,0.0822725999761112,-0.2390185152589404,0.05005165305971322,False
C_SCLDGN,1,1,50,-0.009182262628127935,-0.060841276810094436,0.0516590141819665,0.05005165305971322,False
A_SUBJECT_GRL_EEGNET,2,0,5,-0.4885496700137455,-0.7019438789211745,0.213394208907429,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,6,-0.14951793767869093,-0.46784376095586727,0.31832582327717635,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,9,-0.2002874954215046,-0.6925812462742142,0.49229375085270966,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,14,-0.2123017761418,-0.5517561190800675,0.3394543429382675,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,16,-0.19030593861809242,-0.42170599237828754,0.23140005376019512,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,17,-0.4359436675507272,-0.5465714157723707,0.11062774822164345,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,25,-0.25474187063710774,-0.49735402744397283,0.2426121568068651,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,30,-0.22305498152191916,-0.6235302457544504,0.4004752642325312,0.4321186053952249,False
A_SUBJECT_GRL_EEGNET,2,0,49,-0.2757879475658954,-0.7684966025356473,0.4927086549697519,0.4321186053952249,False
