scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,15,B0,0.87,0.8698828946051447,0.87,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,15,W0R0,0.85,0.8481627695110842,0.85,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,3,B0,0.87,0.8699869986998701,0.87,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,3,W0R0,0.9299999999999999,0.9299929992999301,0.93,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,32,B0,0.7,0.6998799519807923,0.7,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,32,W0R0,0.65,0.6496847162446202,0.65,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,33,B0,0.88,0.8799519807923168,0.88,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,33,W0R0,0.8899999999999999,0.8894583458948849,0.89,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,38,B0,0.77,0.757153415690001,0.77,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,38,W0R0,0.78,0.7688104245481295,0.78,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,47,B0,0.86,0.8579545454545454,0.86,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,47,W0R0,0.89,0.8891017239641092,0.89,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,5,B0,0.75,0.7469379491851402,0.75,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,5,W0R0,0.79,0.7882851093860268,0.79,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,6,B0,0.9099999999999999,0.9099189270343309,0.91,100,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,0,0,6,W0R0,0.97,0.96999699969997,0.97,100,ae6d6893ed491843a16b0a99e5d78ec7b4b2b10d4fd5d30f649d4663914bf721,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,14,B0,0.75,0.7457023700539112,0.75,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,14,W0R0,0.63,0.6296667000300271,0.63,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,2,B0,0.78,0.7796474358974359,0.78,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,2,W0R0,0.79,0.7898108297467721,0.79,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,26,B0,0.85,0.84998499849985,0.85,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,26,W0R0,0.85,0.8498648783905515,0.85,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,28,B0,0.9299999999999999,0.9298245614035088,0.93,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,28,W0R0,0.9099999999999999,0.9097744360902256,0.91,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,31,B0,0.79,0.7874278773155178,0.79,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,31,W0R0,0.78,0.7756017951856384,0.78,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,35,B0,0.8,0.7933030177759405,0.8,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,35,W0R0,0.83,0.8270776116366596,0.83,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,40,B0,0.81,0.8067338012409724,0.81,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,40,W0R0,0.69,0.6756982948007113,0.69,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,43,B0,0.95,0.9499549594635172,0.95,100,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,1,0,43,W0R0,0.9,0.9,0.9,100,c9b921a06970a297afe611ddfcf34d0d11040751eef7ff2829cc976db27705de,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,1,B0,0.65,0.6266666666666667,0.65,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,1,W0R0,0.68,0.6604414261460102,0.68,100,b4e1fa6192427d64db8c66b1971c66992e21db2e9a4770092211ae1da18e95b3,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,11,B0,0.73,0.7286704853783539,0.73,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,11,W0R0,0.7,0.6995192307692308,0.7,100,b4e1fa6192427d64db8c66b1971c66992e21db2e9a4770092211ae1da18e95b3,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,23,B0,0.74,0.7348021215830274,0.74,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,23,W0R0,0.6900000000000001,0.6726850385386971,0.69,100,b4e1fa6192427d64db8c66b1971c66992e21db2e9a4770092211ae1da18e95b3,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,30,B0,0.75,0.7493734335839599,0.75,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,30,W0R0,0.77,0.7681217864704104,0.77,100,b4e1fa6192427d64db8c66b1971c66992e21db2e9a4770092211ae1da18e95b3,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,48,B0,0.66,0.6565656565656566,0.66,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
