task,model,fold,seed,stored_active_rank,recovered_active_rank,protected_rank,protected_indices_valid,stored_protected_erased_BA,recovered_protected_erased_BA,absolute_BA_difference,tolerance,recovery_status
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,20,8,True,0.5871428571428572,0.5871428571428572,0.0,1e-05,PASS
OpenBMI_MI,B1_SAME_SCALE_63,0,0,20,20,2,True,0.6457142857142858,0.6457142857142858,0.0,1e-05,PASS
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,20,8,True,0.5778571428571428,0.5778571428571428,0.0,1e-05,PASS
OpenBMI_MI,B1_SAME_SCALE_63,1,0,20,20,8,True,0.5664285714285714,0.5664285714285714,0.0,1e-05,PASS
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,20,8,True,0.5692857142857143,0.5692857142857143,0.0,1e-05,PASS
OpenBMI_MI,B1_SAME_SCALE_63,2,0,20,20,8,True,0.6057142857142858,0.6057142857142859,1.1102230246251565e-16,1e-05,PASS
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,20,8,True,0.5685714285714285,0.5685714285714286,1.1102230246251565e-16,1e-05,PASS
OpenBMI_MI,B1_SAME_SCALE_63,3,0,20,20,4,True,0.5757142857142857,0.5757142857142857,0.0,1e-05,PASS
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,20,4,True,0.6449999999999999,0.6449999999999999,0.0,1e-05,PASS
OpenBMI_MI,B1_SAME_SCALE_63,4,0,20,20,4,True,0.6564285714285715,0.6564285714285714,1.1102230246251565e-16,1e-05,PASS
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,20,5,True,0.5513203463203463,0.5513203463203463,0.0,1e-05,PASS
OpenBMI_ERP,B1_SAME_SCALE_63,0,0,20,20,5,True,0.6692640692640693,0.6692640692640693,0.0,1e-05,PASS
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,20,5,True,0.631991341991342,0.631991341991342,0.0,1e-05,PASS
OpenBMI_ERP,B1_SAME_SCALE_63,1,0,20,20,5,True,0.646082251082251,0.646082251082251,0.0,1e-05,PASS
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,20,4,True,0.7112121212121212,0.7112121212121212,0.0,1e-05,PASS
OpenBMI_ERP,B1_SAME_SCALE_63,2,0,20,20,5,True,0.6477922077922077,0.6477922077922077,0.0,1e-05,PASS
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,20,6,True,0.6601731601731603,0.6601731601731603,0.0,1e-05,PASS
OpenBMI_ERP,B1_SAME_SCALE_63,3,0,20,20,5,True,0.5802164502164502,0.5802164502164502,0.0,1e-05,PASS
OpenBMI_ERP,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,20,9,True,0.6175974025974026,0.6175974025974027,1.1102230246251565e-16,1e-05,PASS
OpenBMI_ERP,B1_SAME_SCALE_63,4,0,20,20,4,True,0.6632467532467532,0.6632467532467532,0.0,1e-05,PASS
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,20,4,True,0.8250000000000001,0.8250000000000001,0.0,1e-05,PASS
OpenBMI_SSVEP,B1_SAME_SCALE_63,0,0,20,20,4,True,0.772142857142857,0.772142857142857,0.0,1e-05,PASS
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,20,4,True,0.7835714285714286,0.7835714285714285,1.1102230246251565e-16,1e-05,PASS
OpenBMI_SSVEP,B1_SAME_SCALE_63,1,0,20,20,8,True,0.6649999999999999,0.6649999999999999,0.0,1e-05,PASS
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,20,4,True,0.827857142857143,0.827857142857143,0.0,1e-05,PASS
OpenBMI_SSVEP,B1_SAME_SCALE_63,2,0,20,20,4,True,0.8628571428571429,0.8628571428571429,0.0,1e-05,PASS
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,20,8,True,0.7007142857142857,0.7007142857142858,1.1102230246251565e-16,1e-05,PASS
OpenBMI_SSVEP,B1_SAME_SCALE_63,3,0,20,20,4,True,0.7814285714285713,0.7814285714285713,0.0,1e-05,PASS
OpenBMI_SSVEP,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,20,8,True,0.7249999999999999,0.7249999999999999,0.0,1e-05,PASS
OpenBMI_SSVEP,B1_SAME_SCALE_63,4,0,20,20,8,True,0.7357142857142858,0.7357142857142858,0.0,1e-05,PASS
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,20,3,True,0.6205,0.6205,0.0,1e-05,PASS
WBCIC_MI,B1_SAME_SCALE_63,0,0,20,20,2,True,0.676,0.676,0.0,1e-05,PASS
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,20,4,True,0.5640000000000001,0.5639999999999998,2.220446049250313e-16,1e-05,PASS
WBCIC_MI,B1_SAME_SCALE_63,1,0,20,20,1,True,0.5529999999999999,0.553,1.1102230246251565e-16,1e-05,PASS
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,20,4,True,0.551,0.5509999999999999,1.1102230246251565e-16,1e-05,PASS
WBCIC_MI,B1_SAME_SCALE_63,2,0,20,20,2,True,0.5805,0.5805,0.0,1e-05,PASS
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,20,4,True,0.592,0.592,0.0,1e-05,PASS
WBCIC_MI,B1_SAME_SCALE_63,3,0,20,20,4,True,0.5735,0.5735000000000001,1.1102230246251565e-16,1e-05,PASS
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,20,4,True,0.5915,0.5914999999999999,1.1102230246251565e-16,1e-05,PASS
WBCIC_MI,B1_SAME_SCALE_63,4,0,20,20,3,True,0.4995,0.4995000000000001,1.1102230246251565e-16,1e-05,PASS
