task,variant,fold,checkpoint,sha256
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
OpenBMI_MI,B1_SAME_SCALE_63,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold0/selected.pt,1e2e4993f771e565a3e6e4c5185b54b75a660fd9509ef041e1fe6e4591e7a6b4
OpenBMI_MI,B2_SCALE_COLLAPSE,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold0/selected.pt,8f07b191e820355569845847cea9a75f8ea0406f119d6e3185faf60b5d4a990b
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B3_SINGLE_SPATIAL_BASIS/fold0/selected.pt,fd2c36c370aa7ec649354cdeb87ef135c3077e15c285929df2bfc7bcf73ab161
OpenBMI_MI,B4_ONE_STAGE_BACKEND,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold0/selected.pt,51e8da57570d308193378c9bf1e2d8b3c69bcfdeab03b9ceb0009c72711520b4
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e
OpenBMI_MI,B1_SAME_SCALE_63,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,be40c243d1bedfdf843e0f9b1fac18c6406aeca17b8af72354ded89f5c5567f4
OpenBMI_MI,B2_SCALE_COLLAPSE,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold1/selected.pt,7de0094489b57033001c50b7bb94831cb5ceeedbcb78a46acbff9c830f91c435
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B3_SINGLE_SPATIAL_BASIS/fold1/selected.pt,58bb1eaf2ed8f62200bdcedb2db89e55cf61f0d6ebbb57857948307643107ec8
OpenBMI_MI,B4_ONE_STAGE_BACKEND,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold1/selected.pt,9748c14cc60345933f68a409eadbd9bd9aa031a1189f0ff095eed1c91daab721
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814
OpenBMI_MI,B1_SAME_SCALE_63,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,f61d7c6094fd254c7a7b75627fefa2004ecf8f8166d243403ed3e6920430ea0b
OpenBMI_MI,B2_SCALE_COLLAPSE,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold2/selected.pt,500319ba3fcb0e04f98e028c324e17ff9055ae3b7cec967b6a023e801b4b51a2
OpenBMI_MI,B3_SINGLE_SPATIAL_BASIS,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B3_SINGLE_SPATIAL_BASIS/fold2/selected.pt,4ebc3c2a37ba0480e08a22a2b4865ff93cfda5eb7cebeb689dd5f19e7c5116ea
OpenBMI_MI,B4_ONE_STAGE_BACKEND,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold2/selected.pt,f1cf3ee43a2e3fcad18c010262f33d39256534e65550a8c06709e999e5ee1824
OpenBMI_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256
