fold,amp,episode_epoch,episode_index,ordinary_CE,tail0_loss,scalar_abs_diff,max_abs_gradient_diff,max_abs_parameter_update_diff,scalar_atol,gradient_atol,gradient_rtol,parameter_atol,status
0,False,1,0,0.8115943074226379,0.8115943074226379,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
0,True,1,0,0.8144025802612305,0.8144025802612305,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
1,False,1,0,0.8420249223709106,0.8420249223709106,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
1,True,1,0,0.8163857460021973,0.8163857460021973,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
2,False,1,0,0.8701131939888,0.8701131939888,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
2,True,1,0,0.8647279739379883,0.8647279739379883,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
3,False,1,0,0.8137622475624084,0.8137623071670532,5.960464477539063e-08,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
3,True,1,0,0.8623294830322266,0.8623294830322266,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
4,False,1,0,0.850940465927124,0.8509404063224792,5.960464477539063e-08,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
4,True,1,0,0.8526582717895508,0.8526582717895508,0.0,0.0,0.0,1e-06,1e-06,1e-05,1e-06,PASS
