task,fold,seed,shared_parameters_identical,U_zero,V_nonzero,rng_restored,modes_checked,max_abs_logit_diff,prediction_mismatch,U_initial_gradient_norm,historical_init_sha256,status
OpenBMI_MI,0,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.14529170095920563,b52f8a94d35a2a2471067a039b658f6f4b351aea9bade4e86615cf463bd472e0,PASS
OpenBMI_MI,1,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.206773579120636,b52f8a94d35a2a2471067a039b658f6f4b351aea9bade4e86615cf463bd472e0,PASS
OpenBMI_MI,2,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.23065616190433502,b52f8a94d35a2a2471067a039b658f6f4b351aea9bade4e86615cf463bd472e0,PASS
OpenBMI_MI,3,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.20274370908737183,b52f8a94d35a2a2471067a039b658f6f4b351aea9bade4e86615cf463bd472e0,PASS
OpenBMI_MI,4,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.2563741207122803,b52f8a94d35a2a2471067a039b658f6f4b351aea9bade4e86615cf463bd472e0,PASS
OpenBMI_ERP,0,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.4521750211715698,b18bf7a4f78b1ec8ad450f3a5d96a124d92879aff86c644d32cba38c00043aed,PASS
OpenBMI_ERP,1,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.4381484389305115,b18bf7a4f78b1ec8ad450f3a5d96a124d92879aff86c644d32cba38c00043aed,PASS
OpenBMI_ERP,2,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.5212911367416382,b18bf7a4f78b1ec8ad450f3a5d96a124d92879aff86c644d32cba38c00043aed,PASS
OpenBMI_ERP,3,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.6080731153488159,b18bf7a4f78b1ec8ad450f3a5d96a124d92879aff86c644d32cba38c00043aed,PASS
OpenBMI_ERP,4,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.5307393074035645,b18bf7a4f78b1ec8ad450f3a5d96a124d92879aff86c644d32cba38c00043aed,PASS
OpenBMI_SSVEP,0,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.4285820722579956,f13f2e755d47998726f87c1f8901725fab214ba0e995c20b0beaaa4ffe3805c0,PASS
OpenBMI_SSVEP,1,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.22054162621498108,f13f2e755d47998726f87c1f8901725fab214ba0e995c20b0beaaa4ffe3805c0,PASS
OpenBMI_SSVEP,2,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.41461944580078125,f13f2e755d47998726f87c1f8901725fab214ba0e995c20b0beaaa4ffe3805c0,PASS
OpenBMI_SSVEP,3,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.3337945342063904,f13f2e755d47998726f87c1f8901725fab214ba0e995c20b0beaaa4ffe3805c0,PASS
OpenBMI_SSVEP,4,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.40850335359573364,f13f2e755d47998726f87c1f8901725fab214ba0e995c20b0beaaa4ffe3805c0,PASS
WBCIC_MI,0,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.0075936876237392426,ff20c120bf9cdca9c190930e264bea461810733a0f1ea5df6006420d7028dc81,PASS
WBCIC_MI,1,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.8496152758598328,ff20c120bf9cdca9c190930e264bea461810733a0f1ea5df6006420d7028dc81,PASS
WBCIC_MI,2,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.7092784643173218,ff20c120bf9cdca9c190930e264bea461810733a0f1ea5df6006420d7028dc81,PASS
WBCIC_MI,3,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.010833743028342724,ff20c120bf9cdca9c190930e264bea461810733a0f1ea5df6006420d7028dc81,PASS
WBCIC_MI,4,0,True,True,True,True,eval/train x FP32/AMP,0,0,0.7239934802055359,ff20c120bf9cdca9c190930e264bea461810733a0f1ea5df6006420d7028dc81,PASS
