task,fold,epoch,attempts,exposure,successful_cumulative,AMP_scale
OpenBMI_MI,0,1,21,2688,21,65536.0
OpenBMI_MI,0,2,21,2688,42,65536.0
OpenBMI_MI,0,3,21,2688,63,65536.0
OpenBMI_MI,0,4,21,2688,84,65536.0
OpenBMI_MI,0,5,21,2688,105,65536.0
OpenBMI_MI,0,6,21,2688,126,65536.0
OpenBMI_MI,0,7,21,2688,147,65536.0
OpenBMI_MI,0,8,21,2688,168,65536.0
OpenBMI_MI,0,9,21,2688,189,65536.0
OpenBMI_MI,0,10,21,2688,210,65536.0
OpenBMI_MI,0,11,21,2688,231,65536.0
OpenBMI_MI,0,12,21,2688,252,65536.0
OpenBMI_MI,0,13,21,2688,273,65536.0
OpenBMI_MI,0,14,21,2688,294,65536.0
OpenBMI_MI,0,15,21,2688,315,65536.0
OpenBMI_MI,0,16,21,2688,336,65536.0
OpenBMI_MI,0,17,21,2688,357,65536.0
OpenBMI_MI,0,18,21,2688,378,65536.0
OpenBMI_MI,0,19,21,2688,399,65536.0
OpenBMI_MI,0,20,21,2688,420,65536.0
OpenBMI_MI,0,21,21,2688,441,65536.0
OpenBMI_MI,0,22,21,2688,462,65536.0
OpenBMI_MI,0,23,21,2688,483,65536.0
OpenBMI_MI,0,24,21,2688,504,65536.0
OpenBMI_MI,0,25,21,2688,525,65536.0
OpenBMI_MI,0,26,21,2688,546,65536.0
OpenBMI_MI,0,27,21,2688,567,65536.0
OpenBMI_MI,0,28,21,2688,588,65536.0
OpenBMI_MI,0,29,21,2688,609,65536.0
OpenBMI_MI,0,30,21,2688,630,65536.0
OpenBMI_MI,0,31,21,2688,651,65536.0
OpenBMI_MI,0,32,21,2688,672,65536.0
OpenBMI_MI,0,33,21,2688,693,65536.0
OpenBMI_MI,0,34,21,2688,714,65536.0
OpenBMI_MI,0,35,21,2688,735,65536.0
OpenBMI_MI,0,36,21,2688,756,65536.0
OpenBMI_MI,0,37,21,2688,777,65536.0
OpenBMI_MI,0,38,21,2688,798,65536.0
OpenBMI_MI,0,39,21,2688,819,65536.0
OpenBMI_MI,0,40,21,2688,839,32768.0
OpenBMI_MI,0,41,21,2688,860,32768.0
OpenBMI_MI,0,42,21,2688,881,32768.0
OpenBMI_MI,0,43,21,2688,902,32768.0
OpenBMI_MI,0,44,21,2688,923,32768.0
OpenBMI_MI,0,45,21,2688,944,32768.0
OpenBMI_MI,0,46,21,2688,965,32768.0
OpenBMI_MI,0,47,21,2688,986,32768.0
OpenBMI_MI,0,48,21,2688,1007,32768.0
OpenBMI_MI,0,49,21,2688,1028,32768.0
OpenBMI_MI,0,50,21,2688,1049,32768.0
OpenBMI_MI,0,51,21,2688,1070,32768.0
OpenBMI_MI,0,52,21,2688,1091,32768.0
OpenBMI_MI,0,53,21,2688,1112,32768.0
OpenBMI_MI,0,54,21,2688,1133,32768.0
OpenBMI_MI,0,55,21,2688,1154,32768.0
OpenBMI_MI,0,56,21,2688,1175,32768.0
OpenBMI_MI,0,57,21,2688,1196,32768.0
OpenBMI_MI,0,58,21,2688,1217,32768.0
OpenBMI_MI,0,59,21,2688,1238,32768.0
OpenBMI_MI,0,60,21,2688,1259,32768.0
OpenBMI_MI,1,1,21,2688,21,65536.0
OpenBMI_MI,1,2,21,2688,42,65536.0
OpenBMI_MI,1,3,21,2688,63,65536.0
OpenBMI_MI,1,4,21,2688,84,65536.0
OpenBMI_MI,1,5,21,2688,105,65536.0
OpenBMI_MI,1,6,21,2688,126,65536.0
OpenBMI_MI,1,7,21,2688,147,65536.0
OpenBMI_MI,1,8,21,2688,168,65536.0
OpenBMI_MI,1,9,21,2688,189,65536.0
OpenBMI_MI,1,10,21,2688,210,65536.0
OpenBMI_MI,1,11,21,2688,231,65536.0
OpenBMI_MI,1,12,21,2688,252,65536.0
OpenBMI_MI,1,13,21,2688,273,65536.0
OpenBMI_MI,1,14,21,2688,294,65536.0
OpenBMI_MI,1,15,21,2688,315,65536.0
OpenBMI_MI,1,16,21,2688,336,65536.0
OpenBMI_MI,1,17,21,2688,357,65536.0
OpenBMI_MI,1,18,21,2688,378,65536.0
OpenBMI_MI,1,19,21,2688,399,65536.0
OpenBMI_MI,1,20,21,2688,420,65536.0
OpenBMI_MI,1,21,21,2688,441,65536.0
OpenBMI_MI,1,22,21,2688,462,65536.0
OpenBMI_MI,1,23,21,2688,483,65536.0
OpenBMI_MI,1,24,21,2688,504,65536.0
OpenBMI_MI,1,25,21,2688,525,65536.0
OpenBMI_MI,1,26,21,2688,546,65536.0
OpenBMI_MI,1,27,21,2688,567,65536.0
OpenBMI_MI,1,28,21,2688,588,65536.0
OpenBMI_MI,1,29,21,2688,609,65536.0
OpenBMI_MI,1,30,21,2688,630,65536.0
OpenBMI_MI,1,31,21,2688,651,65536.0
OpenBMI_MI,1,32,21,2688,672,65536.0
OpenBMI_MI,1,33,21,2688,693,65536.0
OpenBMI_MI,1,34,21,2688,714,65536.0
OpenBMI_MI,1,35,21,2688,735,65536.0
OpenBMI_MI,1,36,21,2688,756,65536.0
OpenBMI_MI,1,37,21,2688,777,65536.0
OpenBMI_MI,1,38,21,2688,798,65536.0
OpenBMI_MI,1,39,21,2688,819,65536.0
OpenBMI_MI,1,40,21,2688,840,65536.0
OpenBMI_MI,1,41,21,2688,861,65536.0
OpenBMI_MI,1,42,21,2688,882,65536.0
OpenBMI_MI,1,43,21,2688,903,65536.0
OpenBMI_MI,1,44,21,2688,924,65536.0
OpenBMI_MI,1,45,21,2688,945,65536.0
OpenBMI_MI,1,46,21,2688,966,65536.0
OpenBMI_MI,1,47,21,2688,987,65536.0
OpenBMI_MI,1,48,21,2688,1008,65536.0
OpenBMI_MI,1,49,21,2688,1029,65536.0
OpenBMI_MI,1,50,21,2688,1050,65536.0
OpenBMI_MI,1,51,21,2688,1071,65536.0
OpenBMI_MI,1,52,21,2688,1092,65536.0
OpenBMI_MI,1,53,21,2688,1113,65536.0
OpenBMI_MI,1,54,21,2688,1134,65536.0
OpenBMI_MI,1,55,21,2688,1155,65536.0
OpenBMI_MI,1,56,21,2688,1176,65536.0
OpenBMI_MI,1,57,21,2688,1197,65536.0
OpenBMI_MI,1,58,21,2688,1218,65536.0
OpenBMI_MI,1,59,21,2688,1239,65536.0
OpenBMI_MI,1,60,21,2688,1260,65536.0
OpenBMI_MI,2,1,21,2688,21,65536.0
OpenBMI_MI,2,2,21,2688,42,65536.0
OpenBMI_MI,2,3,21,2688,63,65536.0
OpenBMI_MI,2,4,21,2688,84,65536.0
OpenBMI_MI,2,5,21,2688,105,65536.0
OpenBMI_MI,2,6,21,2688,126,65536.0
OpenBMI_MI,2,7,21,2688,147,65536.0
OpenBMI_MI,2,8,21,2688,168,65536.0
OpenBMI_MI,2,9,21,2688,189,65536.0
OpenBMI_MI,2,10,21,2688,210,65536.0
OpenBMI_MI,2,11,21,2688,231,65536.0
OpenBMI_MI,2,12,21,2688,252,65536.0
OpenBMI_MI,2,13,21,2688,273,65536.0
OpenBMI_MI,2,14,21,2688,294,65536.0
OpenBMI_MI,2,15,21,2688,315,65536.0
OpenBMI_MI,2,16,21,2688,336,65536.0
OpenBMI_MI,2,17,21,2688,357,65536.0
OpenBMI_MI,2,18,21,2688,378,65536.0
OpenBMI_MI,2,19,21,2688,399,65536.0
OpenBMI_MI,2,20,21,2688,420,65536.0
OpenBMI_MI,2,21,21,2688,441,65536.0
OpenBMI_MI,2,22,21,2688,462,65536.0
OpenBMI_MI,2,23,21,2688,483,65536.0
OpenBMI_MI,2,24,21,2688,504,65536.0
OpenBMI_MI,2,25,21,2688,525,65536.0
OpenBMI_MI,2,26,21,2688,546,65536.0
OpenBMI_MI,2,27,21,2688,567,65536.0
OpenBMI_MI,2,28,21,2688,588,65536.0
OpenBMI_MI,2,29,21,2688,609,65536.0
OpenBMI_MI,2,30,21,2688,630,65536.0
OpenBMI_MI,2,31,21,2688,651,65536.0
OpenBMI_MI,2,32,21,2688,672,65536.0
OpenBMI_MI,2,33,21,2688,693,65536.0
OpenBMI_MI,2,34,21,2688,714,65536.0
OpenBMI_MI,2,35,21,2688,735,65536.0
OpenBMI_MI,2,36,21,2688,756,65536.0
OpenBMI_MI,2,37,21,2688,776,32768.0
OpenBMI_MI,2,38,21,2688,797,32768.0
OpenBMI_MI,2,39,21,2688,818,32768.0
OpenBMI_MI,2,40,21,2688,839,32768.0
OpenBMI_MI,2,41,21,2688,860,32768.0
OpenBMI_MI,2,42,21,2688,881,32768.0
OpenBMI_MI,2,43,21,2688,902,32768.0
OpenBMI_MI,2,44,21,2688,923,32768.0
OpenBMI_MI,2,45,21,2688,944,32768.0
OpenBMI_MI,2,46,21,2688,965,32768.0
OpenBMI_MI,2,47,21,2688,986,32768.0
OpenBMI_MI,2,48,21,2688,1007,32768.0
OpenBMI_MI,2,49,21,2688,1028,32768.0
OpenBMI_MI,2,50,21,2688,1049,32768.0
OpenBMI_MI,2,51,21,2688,1070,32768.0
OpenBMI_MI,2,52,21,2688,1091,32768.0
OpenBMI_MI,2,53,21,2688,1112,32768.0
OpenBMI_MI,2,54,21,2688,1133,32768.0
OpenBMI_MI,2,55,21,2688,1154,32768.0
OpenBMI_MI,2,56,21,2688,1175,32768.0
OpenBMI_MI,2,57,21,2688,1196,32768.0
OpenBMI_MI,2,58,21,2688,1217,32768.0
OpenBMI_MI,2,59,21,2688,1238,32768.0
OpenBMI_MI,2,60,21,2688,1259,32768.0
OpenBMI_MI,3,1,21,2688,21,65536.0
OpenBMI_MI,3,2,21,2688,42,65536.0
OpenBMI_MI,3,3,21,2688,63,65536.0
OpenBMI_MI,3,4,21,2688,84,65536.0
OpenBMI_MI,3,5,21,2688,105,65536.0
OpenBMI_MI,3,6,21,2688,126,65536.0
OpenBMI_MI,3,7,21,2688,147,65536.0
OpenBMI_MI,3,8,21,2688,168,65536.0
OpenBMI_MI,3,9,21,2688,189,65536.0
OpenBMI_MI,3,10,21,2688,210,65536.0
OpenBMI_MI,3,11,21,2688,231,65536.0
OpenBMI_MI,3,12,21,2688,252,65536.0
OpenBMI_MI,3,13,21,2688,273,65536.0
OpenBMI_MI,3,14,21,2688,294,65536.0
OpenBMI_MI,3,15,21,2688,315,65536.0
OpenBMI_MI,3,16,21,2688,336,65536.0
OpenBMI_MI,3,17,21,2688,357,65536.0
OpenBMI_MI,3,18,21,2688,378,65536.0
OpenBMI_MI,3,19,21,2688,399,65536.0
OpenBMI_MI,3,20,21,2688,420,65536.0
OpenBMI_MI,3,21,21,2688,441,65536.0
OpenBMI_MI,3,22,21,2688,462,65536.0
OpenBMI_MI,3,23,21,2688,483,65536.0
OpenBMI_MI,3,24,21,2688,504,65536.0
OpenBMI_MI,3,25,21,2688,525,65536.0
OpenBMI_MI,3,26,21,2688,546,65536.0
OpenBMI_MI,3,27,21,2688,567,65536.0
OpenBMI_MI,3,28,21,2688,588,65536.0
OpenBMI_MI,3,29,21,2688,609,65536.0
OpenBMI_MI,3,30,21,2688,630,65536.0
OpenBMI_MI,3,31,21,2688,651,65536.0
OpenBMI_MI,3,32,21,2688,672,65536.0
OpenBMI_MI,3,33,21,2688,693,65536.0
OpenBMI_MI,3,34,21,2688,714,65536.0
OpenBMI_MI,3,35,21,2688,735,65536.0
OpenBMI_MI,3,36,21,2688,756,65536.0
OpenBMI_MI,3,37,21,2688,777,65536.0
OpenBMI_MI,3,38,21,2688,798,65536.0
OpenBMI_MI,3,39,21,2688,819,65536.0
OpenBMI_MI,3,40,21,2688,840,65536.0
OpenBMI_MI,3,41,21,2688,861,65536.0
OpenBMI_MI,3,42,21,2688,882,65536.0
OpenBMI_MI,3,43,21,2688,903,65536.0
OpenBMI_MI,3,44,21,2688,924,65536.0
OpenBMI_MI,3,45,21,2688,945,65536.0
OpenBMI_MI,3,46,21,2688,966,65536.0
OpenBMI_MI,3,47,21,2688,987,65536.0
OpenBMI_MI,3,48,21,2688,1008,65536.0
OpenBMI_MI,3,49,21,2688,1029,65536.0
OpenBMI_MI,3,50,21,2688,1050,65536.0
OpenBMI_MI,3,51,21,2688,1070,32768.0
OpenBMI_MI,3,52,21,2688,1091,32768.0
OpenBMI_MI,3,53,21,2688,1112,32768.0
OpenBMI_MI,3,54,21,2688,1133,32768.0
OpenBMI_MI,3,55,21,2688,1154,32768.0
OpenBMI_MI,3,56,21,2688,1175,32768.0
OpenBMI_MI,3,57,21,2688,1196,32768.0
OpenBMI_MI,3,58,21,2688,1217,32768.0
OpenBMI_MI,3,59,21,2688,1238,32768.0
OpenBMI_MI,3,60,21,2688,1259,32768.0
OpenBMI_MI,4,1,21,2688,21,65536.0
OpenBMI_MI,4,2,21,2688,42,65536.0
OpenBMI_MI,4,3,21,2688,63,65536.0
OpenBMI_MI,4,4,21,2688,84,65536.0
OpenBMI_MI,4,5,21,2688,105,65536.0
OpenBMI_MI,4,6,21,2688,126,65536.0
OpenBMI_MI,4,7,21,2688,147,65536.0
OpenBMI_MI,4,8,21,2688,168,65536.0
OpenBMI_MI,4,9,21,2688,189,65536.0
OpenBMI_MI,4,10,21,2688,210,65536.0
OpenBMI_MI,4,11,21,2688,231,65536.0
OpenBMI_MI,4,12,21,2688,252,65536.0
OpenBMI_MI,4,13,21,2688,273,65536.0
OpenBMI_MI,4,14,21,2688,294,65536.0
OpenBMI_MI,4,15,21,2688,315,65536.0
OpenBMI_MI,4,16,21,2688,336,65536.0
OpenBMI_MI,4,17,21,2688,357,65536.0
OpenBMI_MI,4,18,21,2688,378,65536.0
OpenBMI_MI,4,19,21,2688,399,65536.0
OpenBMI_MI,4,20,21,2688,420,65536.0
OpenBMI_MI,4,21,21,2688,441,65536.0
OpenBMI_MI,4,22,21,2688,462,65536.0
OpenBMI_MI,4,23,21,2688,483,65536.0
OpenBMI_MI,4,24,21,2688,504,65536.0
OpenBMI_MI,4,25,21,2688,525,65536.0
OpenBMI_MI,4,26,21,2688,546,65536.0
OpenBMI_MI,4,27,21,2688,567,65536.0
OpenBMI_MI,4,28,21,2688,588,65536.0
OpenBMI_MI,4,29,21,2688,609,65536.0
OpenBMI_MI,4,30,21,2688,630,65536.0
OpenBMI_MI,4,31,21,2688,651,65536.0
OpenBMI_MI,4,32,21,2688,672,65536.0
OpenBMI_MI,4,33,21,2688,693,65536.0
OpenBMI_MI,4,34,21,2688,714,65536.0
OpenBMI_MI,4,35,21,2688,735,65536.0
OpenBMI_MI,4,36,21,2688,755,32768.0
OpenBMI_MI,4,37,21,2688,776,32768.0
OpenBMI_MI,4,38,21,2688,797,32768.0
OpenBMI_MI,4,39,21,2688,818,32768.0
OpenBMI_MI,4,40,21,2688,839,32768.0
OpenBMI_MI,4,41,21,2688,860,32768.0
OpenBMI_MI,4,42,21,2688,881,32768.0
OpenBMI_MI,4,43,21,2688,902,32768.0
OpenBMI_MI,4,44,21,2688,923,32768.0
OpenBMI_MI,4,45,21,2688,944,32768.0
OpenBMI_MI,4,46,21,2688,965,32768.0
OpenBMI_MI,4,47,21,2688,986,32768.0
OpenBMI_MI,4,48,21,2688,1007,32768.0
OpenBMI_MI,4,49,21,2688,1028,32768.0
OpenBMI_MI,4,50,21,2688,1049,32768.0
OpenBMI_MI,4,51,21,2688,1070,32768.0
OpenBMI_MI,4,52,21,2688,1091,32768.0
OpenBMI_MI,4,53,21,2688,1112,32768.0
OpenBMI_MI,4,54,21,2688,1133,32768.0
OpenBMI_MI,4,55,21,2688,1154,32768.0
OpenBMI_MI,4,56,21,2688,1175,32768.0
OpenBMI_MI,4,57,21,2688,1196,32768.0
OpenBMI_MI,4,58,21,2688,1217,32768.0
OpenBMI_MI,4,59,21,2688,1238,32768.0
OpenBMI_MI,4,60,21,2688,1259,32768.0
OpenBMI_ERP,0,1,805,51480,805,65536.0
OpenBMI_ERP,0,2,805,51480,1610,65536.0
OpenBMI_ERP,0,3,805,51480,2414,65536.0
OpenBMI_ERP,0,4,805,51480,3219,65536.0
OpenBMI_ERP,0,5,805,51480,4023,32768.0
OpenBMI_ERP,0,6,805,51480,4828,32768.0
OpenBMI_ERP,0,7,805,51480,5632,32768.0
OpenBMI_ERP,0,8,805,51480,6437,32768.0
OpenBMI_ERP,0,9,805,51480,7242,32768.0
OpenBMI_ERP,0,10,805,51480,8046,32768.0
OpenBMI_ERP,0,11,805,51480,8851,32768.0
OpenBMI_ERP,0,12,805,51480,9655,32768.0
OpenBMI_ERP,0,13,805,51480,10460,32768.0
OpenBMI_ERP,0,14,805,51480,11265,32768.0
OpenBMI_ERP,0,15,805,51480,12069,32768.0
OpenBMI_ERP,0,16,805,51480,12873,16384.0
OpenBMI_ERP,0,17,805,51480,13678,16384.0
OpenBMI_ERP,0,18,805,51480,14483,32768.0
OpenBMI_ERP,0,19,805,51480,15288,32768.0
OpenBMI_ERP,0,20,805,51480,16092,16384.0
OpenBMI_ERP,0,21,805,51480,16897,16384.0
OpenBMI_ERP,0,22,805,51480,17702,32768.0
OpenBMI_ERP,0,23,805,51480,18506,16384.0
OpenBMI_ERP,0,24,805,51480,19311,16384.0
OpenBMI_ERP,0,25,805,51480,20116,32768.0
OpenBMI_ERP,0,26,805,51480,20920,16384.0
OpenBMI_ERP,0,27,805,51480,21725,16384.0
OpenBMI_ERP,0,28,805,51480,22529,16384.0
OpenBMI_ERP,0,29,805,51480,23334,16384.0
OpenBMI_ERP,0,30,805,51480,24139,16384.0
OpenBMI_ERP,0,31,805,51480,24943,16384.0
OpenBMI_ERP,0,32,805,51480,25748,16384.0
OpenBMI_ERP,0,33,805,51480,26552,16384.0
OpenBMI_ERP,0,34,805,51480,27357,16384.0
OpenBMI_ERP,0,35,805,51480,28162,16384.0
OpenBMI_ERP,0,36,805,51480,28966,16384.0
OpenBMI_ERP,0,37,805,51480,29771,16384.0
OpenBMI_ERP,0,38,805,51480,30575,8192.0
OpenBMI_ERP,0,39,805,51480,31380,8192.0
OpenBMI_ERP,0,40,805,51480,32185,8192.0
OpenBMI_ERP,0,41,805,51480,32990,16384.0
OpenBMI_ERP,0,42,805,51480,33795,16384.0
OpenBMI_ERP,0,43,805,51480,34600,32768.0
OpenBMI_ERP,0,44,805,51480,35404,16384.0
OpenBMI_ERP,0,45,805,51480,36208,8192.0
OpenBMI_ERP,0,46,805,51480,37013,8192.0
OpenBMI_ERP,0,47,805,51480,37818,16384.0
OpenBMI_ERP,0,48,805,51480,38623,16384.0
OpenBMI_ERP,0,49,805,51480,39427,8192.0
OpenBMI_ERP,0,50,805,51480,40231,4096.0
OpenBMI_ERP,0,51,805,51480,41036,4096.0
OpenBMI_ERP,0,52,805,51480,41841,8192.0
OpenBMI_ERP,0,53,805,51480,42646,8192.0
OpenBMI_ERP,0,54,805,51480,43451,8192.0
OpenBMI_ERP,0,55,805,51480,44256,16384.0
OpenBMI_ERP,0,56,805,51480,45060,8192.0
OpenBMI_ERP,0,57,805,51480,45865,8192.0
OpenBMI_ERP,0,58,805,51480,46670,8192.0
OpenBMI_ERP,0,59,805,51480,47475,16384.0
OpenBMI_ERP,0,60,805,51480,48279,8192.0
OpenBMI_ERP,1,1,805,51480,805,65536.0
OpenBMI_ERP,1,2,805,51480,1610,65536.0
OpenBMI_ERP,1,3,805,51480,2414,65536.0
OpenBMI_ERP,1,4,805,51480,3218,32768.0
OpenBMI_ERP,1,5,805,51480,4023,32768.0
OpenBMI_ERP,1,6,805,51480,4827,32768.0
OpenBMI_ERP,1,7,805,51480,5632,32768.0
OpenBMI_ERP,1,8,805,51480,6437,32768.0
OpenBMI_ERP,1,9,805,51480,7241,32768.0
OpenBMI_ERP,1,10,805,51480,8046,32768.0
OpenBMI_ERP,1,11,805,51480,8850,16384.0
OpenBMI_ERP,1,12,805,51480,9655,16384.0
OpenBMI_ERP,1,13,805,51480,10460,32768.0
OpenBMI_ERP,1,14,805,51480,11265,32768.0
OpenBMI_ERP,1,15,805,51480,12069,16384.0
OpenBMI_ERP,1,16,805,51480,12874,16384.0
OpenBMI_ERP,1,17,805,51480,13679,32768.0
OpenBMI_ERP,1,18,805,51480,14483,16384.0
OpenBMI_ERP,1,19,805,51480,15288,16384.0
OpenBMI_ERP,1,20,805,51480,16093,32768.0
OpenBMI_ERP,1,21,805,51480,16897,16384.0
OpenBMI_ERP,1,22,805,51480,17702,16384.0
OpenBMI_ERP,1,23,805,51480,18507,32768.0
OpenBMI_ERP,1,24,805,51480,19311,16384.0
OpenBMI_ERP,1,25,805,51480,20116,16384.0
OpenBMI_ERP,1,26,805,51480,20920,16384.0
OpenBMI_ERP,1,27,805,51480,21725,16384.0
OpenBMI_ERP,1,28,805,51480,22530,16384.0
OpenBMI_ERP,1,29,805,51480,23334,16384.0
OpenBMI_ERP,1,30,805,51480,24139,16384.0
OpenBMI_ERP,1,31,805,51480,24943,16384.0
OpenBMI_ERP,1,32,805,51480,25748,16384.0
OpenBMI_ERP,1,33,805,51480,26552,8192.0
OpenBMI_ERP,1,34,805,51480,27357,8192.0
OpenBMI_ERP,1,35,805,51480,28162,16384.0
OpenBMI_ERP,1,36,805,51480,28967,16384.0
OpenBMI_ERP,1,37,805,51480,29771,8192.0
OpenBMI_ERP,1,38,805,51480,30576,8192.0
OpenBMI_ERP,1,39,805,51480,31381,16384.0
OpenBMI_ERP,1,40,805,51480,32186,16384.0
OpenBMI_ERP,1,41,805,51480,32991,16384.0
OpenBMI_ERP,1,42,805,51480,33795,16384.0
OpenBMI_ERP,1,43,805,51480,34599,8192.0
OpenBMI_ERP,1,44,805,51480,35404,8192.0
OpenBMI_ERP,1,45,805,51480,36209,8192.0
OpenBMI_ERP,1,46,805,51480,37014,16384.0
OpenBMI_ERP,1,47,805,51480,37819,16384.0
OpenBMI_ERP,1,48,805,51480,38624,32768.0
