task,condition,subject_id,future_BA,future_macro_F1,WS_BA,alignment
OpenBMI_MI,CE,12,0.706,0.695548628251893,0.706,0.8375996232032776
OpenBMI_MI,CE,13,0.6639999999999999,0.6513737707063748,0.6639999999999999,0.8028589010238647
OpenBMI_MI,CE,17,0.58,0.5746828336006551,0.58,0.6037769317626953
OpenBMI_MI,CE,18,0.608,0.6035603144153471,0.608,0.7251245379447937
OpenBMI_MI,CE,24,0.546,0.5153363889837089,0.546,0.21455910056829453
OpenBMI_MI,CE,25,0.982,0.981998199819982,0.76,0.9416305422782898
OpenBMI_MI,CE,29,0.726,0.7230578115013934,0.6599999999999999,0.8217710256576538
OpenBMI_MI,CE,36,0.876,0.8755029917921522,0.876,0.9638128995895385
OpenBMI_MI,CE,37,0.6900000000000001,0.6738895354998345,0.634,0.8385859251022338
OpenBMI_MI,CE,39,0.716,0.7140998285981274,0.716,0.9298313021659851
OpenBMI_MI,CE,4,0.762,0.7557658741392762,0.6719999999999999,0.8189031481742859
OpenBMI_MI,CE,42,0.686,0.6822445256575185,0.6799999999999999,0.8133086800575257
OpenBMI_MI,CE,51,0.634,0.620747154326554,0.634,0.7832186579704284
OpenBMI_MI,CE,54,0.714,0.7104422727991746,0.632,0.791040050983429
OpenBMI_MI,CE_PLUS_PRD,12,0.6759999999999999,0.6662987168790023,0.6759999999999999,0.9405784368515014
OpenBMI_MI,CE_PLUS_PRD,13,0.6439999999999999,0.6355025385932962,0.6439999999999999,0.931885302066803
OpenBMI_MI,CE_PLUS_PRD,17,0.5900000000000001,0.5831453176583855,0.5900000000000001,0.8168906211853028
OpenBMI_MI,CE_PLUS_PRD,18,0.5980000000000001,0.5913142833159112,0.5980000000000001,0.889604640007019
OpenBMI_MI,CE_PLUS_PRD,24,0.538,0.5097688855791758,0.538,0.4287253975868225
OpenBMI_MI,CE_PLUS_PRD,25,0.976,0.9759991999199921,0.764,0.9771525144577027
OpenBMI_MI,CE_PLUS_PRD,29,0.674,0.6696306629212257,0.674,0.8086839199066163
OpenBMI_MI,CE_PLUS_PRD,36,0.85,0.8497255402318953,0.85,0.9837267994880676
OpenBMI_MI,CE_PLUS_PRD,37,0.662,0.6416397831390764,0.626,0.8503139972686767
OpenBMI_MI,CE_PLUS_PRD,39,0.678,0.6720855856865466,0.678,0.9579572558403016
OpenBMI_MI,CE_PLUS_PRD,4,0.748,0.7388506414945637,0.65,0.9119272470474243
OpenBMI_MI,CE_PLUS_PRD,42,0.694,0.6919309596502818,0.662,0.9389733791351318
OpenBMI_MI,CE_PLUS_PRD,51,0.632,0.6122374339526255,0.632,0.9222818493843079
OpenBMI_MI,CE_PLUS_PRD,54,0.702,0.6990466223913134,0.648,0.935619568824768
WBCIC_MI,CE,sub-10,0.759,0.7556664376164672,0.622,0.9315953850746155
WBCIC_MI,CE,sub-15,0.673,0.6672025781533503,0.673,0.7900717914104461
WBCIC_MI,CE,sub-20,0.493,0.4781061962464622,0.493,0.05901699662208557
WBCIC_MI,CE,sub-39,0.781,0.7795956277177153,0.484,0.46259202659130094
WBCIC_MI,CE,sub-4,0.632,0.6225148765238846,0.546,0.7103807210922242
WBCIC_MI,CE,sub-40,0.77,0.7667568679374827,0.702,0.9540852427482605
WBCIC_MI,CE,sub-43,0.9129999999999999,0.9115855295053518,0.9129999999999999,0.9874030351638794
WBCIC_MI,CE,sub-46,0.8390000000000001,0.8321979651034683,0.8390000000000001,0.9861239194869995
WBCIC_MI,CE,sub-51,0.737,0.7288745135139661,0.662,0.9224955558776855
WBCIC_MI,CE,sub-8,0.8639999999999999,0.8632069322336318,0.841,0.9850898027420044
WBCIC_MI,CE_PLUS_PRD,sub-10,0.7449999999999999,0.7359420946405635,0.62,0.9725301146507264
WBCIC_MI,CE_PLUS_PRD,sub-15,0.658,0.6480983707518313,0.658,0.9348894953727722
WBCIC_MI,CE_PLUS_PRD,sub-20,0.485,0.44056320230785023,0.485,0.13549184799194336
WBCIC_MI,CE_PLUS_PRD,sub-39,0.786,0.7826664827221774,0.475,0.2591571182012558
WBCIC_MI,CE_PLUS_PRD,sub-4,0.619,0.5946554555943658,0.538,0.8474631309509277
WBCIC_MI,CE_PLUS_PRD,sub-40,0.746,0.7342617971788834,0.6719999999999999,0.9847302913665772
WBCIC_MI,CE_PLUS_PRD,sub-43,0.865,0.8541426725095909,0.865,0.9954243302345276
WBCIC_MI,CE_PLUS_PRD,sub-46,0.7809999999999999,0.7542983252185349,0.7809999999999999,0.99158216714859
WBCIC_MI,CE_PLUS_PRD,sub-51,0.702,0.6770455821211547,0.66,0.9623003244400025
WBCIC_MI,CE_PLUS_PRD,sub-8,0.8310000000000001,0.8207807780391407,0.7929999999999999,0.9940699100494385
