task,subject_id,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp
OpenBMI_ERP,12,0.9637575757575757,0.9673939393939394,0.363636363636366,0.9237819549359081,0.9328749353950867,0.9092980459178722,0.9537373737373738,0.9597979797979799,0.60606060606061
OpenBMI_ERP,13,0.916,0.9178181818181818,0.181818181818183,0.8472506147956494,0.854019143208222,0.676852841257265,0.8987878787878788,0.9046464646464646,0.5858585858585852
OpenBMI_ERP,17,0.8202424242424243,0.8257575757575758,0.551515151515154,0.7370551790204947,0.748045797470734,1.0990618450239253,0.8103030303030303,0.8215151515151515,1.1212121212121184
OpenBMI_ERP,18,0.9113939393939393,0.9077575757575758,-0.3636363636363682,0.8835852627402477,0.8903272138674918,0.6741951127244028,0.9307070707070707,0.9363636363636363,0.5656565656565671
OpenBMI_ERP,24,0.8155757575757576,0.8129090909090909,-0.2666666666666706,0.7520567448594331,0.7572476777798348,0.5190932920401625,0.8295959595959597,0.8372727272727273,0.7676767676767704
OpenBMI_ERP,25,0.7927272727272727,0.7797575757575756,-1.2969696969697009,0.7833794249953379,0.7821680097667765,-0.12114152285613411,0.8759595959595959,0.8802020202020202,0.42424242424242475
OpenBMI_ERP,29,0.8422424242424242,0.8386666666666667,-0.357575757575761,0.8160314350136272,0.8232497539653998,0.721831895177274,0.8893939393939394,0.8971717171717172,0.7777777777777772
OpenBMI_ERP,36,0.9516363636363636,0.9543030303030303,0.26666666666666616,0.894453879750451,0.9016980170034652,0.7244137253014138,0.933131313131313,0.9383838383838384,0.5252525252525242
OpenBMI_ERP,37,0.9456363636363637,0.9438181818181818,-0.18181818181818077,0.9209653462873699,0.9262693711663363,0.5304024878966285,0.9534343434343434,0.9572727272727273,0.38383838383838187
OpenBMI_ERP,39,0.7144848484848485,0.7158181818181818,0.13333333333332975,0.6730757704626783,0.6815851761703016,0.8509405707623241,0.7831313131313131,0.7946464646464646,1.15151515151515
OpenBMI_ERP,4,0.9019999999999999,0.8973939393939394,-0.4606060606060569,0.8656175442684051,0.871521093067541,0.5903548799135794,0.9182828282828283,0.9239393939393941,0.5656565656565671
OpenBMI_ERP,42,0.8326060606060606,0.8327878787878789,0.01818181818181719,0.80288550025362,0.8112464179945483,0.8360917740928219,0.8810101010101011,0.888989898989899,0.7979797979797976
OpenBMI_ERP,51,0.7412121212121212,0.7433939393939394,0.21818181818181737,0.6793669606398977,0.6877095366077397,0.8342575967841981,0.7743434343434343,0.7856565656565657,1.131313131313132
OpenBMI_ERP,54,0.7021212121212121,0.7011515151515152,-0.09696969696969315,0.6770543832768798,0.6837981196634576,0.6743736386577837,0.7988888888888889,0.8097979797979798,1.090909090909089
OpenBMI_MI,12,0.7140000000000001,0.72,0.5999999999999983,0.7031101558747485,0.7080116255208554,0.4901469646106982,0.7140000000000001,0.72,0.6000000000000005
OpenBMI_MI,13,0.732,0.734,0.20000000000000018,0.7306781618038217,0.7321646094758011,0.14864476719794073,0.732,0.734,0.19999999999999787
OpenBMI_MI,17,0.622,0.612,-0.9999999999999986,0.609548643460968,0.5961752970278905,-1.3373346433077593,0.622,0.612,-1.0000000000000009
OpenBMI_MI,18,0.712,0.704,-0.7999999999999985,0.711594364583936,0.702417499934144,-0.9176864649791971,0.712,0.704,-0.7999999999999985
OpenBMI_MI,24,0.5700000000000001,0.556,-1.399999999999998,0.5183629792914661,0.4908956848474356,-2.7467294444030577,0.5700000000000001,0.5559999999999999,-1.4000000000000035
OpenBMI_MI,25,0.976,0.974,-0.20000000000000018,0.9759795739225394,0.9739793739025375,-0.20002000200019854,0.976,0.974,-0.20000000000000018
OpenBMI_MI,29,0.708,0.728,1.9999999999999996,0.7067385582697826,0.7259907320804253,1.9252173810642723,0.708,0.728,1.9999999999999993
OpenBMI_MI,36,0.9299999999999999,0.9259999999999999,-0.40000000000000036,0.9299108328214105,0.9258268018562295,-0.4084030965181107,0.93,0.9259999999999999,-0.40000000000000036
OpenBMI_MI,37,0.726,0.722,-0.39999999999999813,0.7095978461720251,0.7034245689828594,-0.6173277189165738,0.726,0.722,-0.40000000000000036
OpenBMI_MI,39,0.776,0.788,1.2000000000000033,0.7743699314055112,0.7863399061270911,1.1969974721580012,0.776,0.788,1.200000000000001
OpenBMI_MI,4,0.8280000000000001,0.8400000000000001,1.200000000000001,0.8264459004882972,0.8387644005803505,1.2318500092053197,0.828,0.8400000000000001,1.1999999999999988
OpenBMI_MI,42,0.714,0.716,0.20000000000000018,0.7085193847089666,0.7091240739652693,0.0604689256302815,0.714,0.716,0.20000000000000018
OpenBMI_MI,51,0.6859999999999999,0.6739999999999999,-1.200000000000001,0.6821233689134748,0.6707344475316072,-1.1388921381867645,0.6859999999999999,0.674,-1.1999999999999988
OpenBMI_MI,54,0.734,0.734,0.0,0.733211820860764,0.7331142842219464,-0.009753663881759689,0.734,0.734,0.0
OpenBMI_SSVEP,12,0.968,0.962,-0.6000000000000005,0.9679341581145616,0.9620237717377886,-0.5910386376772947,0.968,0.962,-0.6000000000000005
OpenBMI_SSVEP,13,0.8,0.806,0.5999999999999983,0.798341604947649,0.8050594379700309,0.6717833022381825,0.8,0.806,0.6000000000000005
OpenBMI_SSVEP,17,0.9480000000000001,0.95,0.20000000000000018,0.9478956921423626,0.950029986408093,0.2134294265730441,0.9480000000000001,0.95,0.20000000000000018
OpenBMI_SSVEP,18,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
OpenBMI_SSVEP,24,0.9039999999999999,0.8979999999999999,-0.6000000000000005,0.903942568779357,0.8977864693958875,-0.6156099383469327,0.9039999999999999,0.898,-0.5999999999999983
OpenBMI_SSVEP,25,0.942,0.944,0.20000000000000018,0.9411945241397129,0.9435717228032289,0.2377198663515956,0.942,0.944,0.19999999999999796
OpenBMI_SSVEP,29,0.954,0.9480000000000001,-0.6000000000000005,0.9541231984650013,0.9480406257625912,-0.6082572702410016,0.954,0.9480000000000001,-0.5999999999999983
OpenBMI_SSVEP,36,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
OpenBMI_SSVEP,37,0.998,1.0,0.20000000000000018,0.997999199679872,1.0,0.20008003201280378,0.998,1.0,0.20000000000000018
OpenBMI_SSVEP,39,0.994,0.9960000000000001,0.20000000000000018,0.9939550820328131,0.995998399359744,0.20433173269307714,0.994,0.9960000000000001,0.20000000000000018
OpenBMI_SSVEP,4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
OpenBMI_SSVEP,42,0.5860000000000001,0.6,1.399999999999999,0.583800996706331,0.5990020898885714,1.5201093182240433,0.5860000000000001,0.6,1.399999999999999
OpenBMI_SSVEP,51,0.706,0.708,0.20000000000000018,0.6937109995656054,0.6952897399276192,0.15787403620137086,0.706,0.708,0.19999999999999796
