task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
ERP,4,0,0,EEGNet,1980,0.8915151515151516,0.83937246183108,0.897979797979798,0.9556694214876034,0.8814837501993594
ERP,4,0,0,LiteBN,1980,0.8821212121212121,0.853950860736556,0.9126262626262627,0.9550835629017447,0.8777354725556136
ERP,4,0,0,LOGIT50,1980,0.8954545454545455,0.8621737066919791,0.9166666666666666,0.9619467401285583,0.8941575601994898
ERP,12,0,0,EEGNet,1980,0.9690909090909091,0.9342216225333109,0.9606060606060606,0.9951423324150597,0.9880677458975733
ERP,12,0,0,LiteBN,1980,0.9603030303030302,0.917991189972852,0.95,0.9920146923783287,0.9811614569222901
ERP,12,0,0,LOGIT50,1980,0.9690909090909091,0.9312877079651412,0.9585858585858585,0.9946115702479338,0.9875030272118072
ERP,13,0,0,EEGNet,1980,0.9075757575757576,0.8328902711800067,0.8883838383838384,0.9746868686868688,0.9230660662326803
ERP,13,0,0,LiteBN,1980,0.8996969696969697,0.8014242727391351,0.8590909090909091,0.9750835629017446,0.913522336745094
ERP,13,0,0,LOGIT50,1980,0.9151515151515152,0.8352184603745035,0.8888888888888888,0.979267217630854,0.9313502532807649
ERP,17,0,0,EEGNet,1980,0.8127272727272727,0.7287767486426062,0.805050505050505,0.8968154269972451,0.744017129046389
ERP,17,0,0,LiteBN,1980,0.7818181818181817,0.6634088417975885,0.7292929292929293,0.8914471992653811,0.7128860168521808
ERP,17,0,0,LOGIT50,1980,0.8084848484848485,0.7094817841926789,0.7818181818181819,0.9033810835629018,0.7596270561762982
ERP,18,0,0,EEGNet,1980,0.9093939393939394,0.8845411731878083,0.9318181818181818,0.9715573921028466,0.9075144480639445
ERP,18,0,0,LiteBN,1980,0.8927272727272728,0.8658950617283951,0.9202020202020202,0.9628374655647383,0.8708357506709338
ERP,18,0,0,LOGIT50,1980,0.9109090909090909,0.8909193936818246,0.9363636363636364,0.972258953168044,0.9041074151314681
ERP,24,0,0,EEGNet,1980,0.8060606060606061,0.7225756505715633,0.8,0.8986244260789715,0.7298141482641148
ERP,24,0,0,LiteBN,1980,0.7809090909090909,0.701958495007789,0.7843434343434343,0.8671551882460973,0.69646494383825
ERP,24,0,0,LOGIT50,1980,0.7966666666666666,0.7181671625966636,0.7984848484848485,0.890018365472911,0.7275962609680809
ERP,25,0,0,EEGNet,1980,0.780909090909091,0.7738915243580494,0.8712121212121212,0.8629862258953168,0.6180618154143335
ERP,25,0,0,LiteBN,1980,0.796969696969697,0.7871474668789447,0.8777777777777778,0.8984765840220383,0.6879612748948589
ERP,25,0,0,LOGIT50,1980,0.79,0.7847995941146626,0.8782828282828283,0.8954582185491278,0.686280092561946
ERP,29,0,0,EEGNet,1980,0.8421212121212122,0.8212526310833477,0.8944444444444445,0.9392121212121214,0.8090303066835745
ERP,29,0,0,LiteBN,1980,0.8503030303030303,0.821055423323102,0.8919191919191919,0.9352727272727273,0.8201993617558181
ERP,29,0,0,LOGIT50,1980,0.8633333333333333,0.8427998068512281,0.9075757575757576,0.9458181818181819,0.8382163822022447
ERP,36,0,0,EEGNet,1980,0.9606060606060606,0.9024234972103687,0.9383838383838384,0.9970798898071626,0.9866153633752449
ERP,36,0,0,LiteBN,1980,0.9387878787878787,0.8685589594680504,0.9141414141414141,0.9896271808999081,0.9629140627801475
ERP,36,0,0,LOGIT50,1980,0.9587878787878787,0.9008238824105387,0.9373737373737374,0.995386593204775,0.9818098769654403
ERP,37,0,0,EEGNet,1980,0.9457575757575758,0.9130458881841923,0.947979797979798,0.9880238751147842,0.9595379580118539
ERP,37,0,0,LiteBN,1980,0.9363636363636364,0.912283444868347,0.9484848484848485,0.9803397612488521,0.9361012746668146
ERP,37,0,0,LOGIT50,1980,0.9393939393939394,0.9141928494041169,0.9494949494949495,0.9866170798898072,0.9539567029082003
ERP,39,0,0,EEGNet,1980,0.7560606060606061,0.7123876142939314,0.8116161616161616,0.8332910927456383,0.5954241437988006
ERP,39,0,0,LiteBN,1980,0.7387878787878788,0.6815789898823748,0.7787878787878788,0.821601469237833,0.5705342648004652
ERP,39,0,0,LOGIT50,1980,0.7503030303030302,0.7028101624098659,0.802020202020202,0.8402846648301194,0.6092159495533555
ERP,42,0,0,EEGNet,1980,0.866060606060606,0.8046760913469007,0.8717171717171717,0.9279504132231405,0.8212446687329346
ERP,42,0,0,LiteBN,1980,0.87,0.7944486981863319,0.8601010101010101,0.9441873278236915,0.8254450622046621
ERP,42,0,0,LOGIT50,1980,0.876969696969697,0.8118426196476665,0.8757575757575757,0.945937557392103,0.8485217662951043
ERP,51,0,0,EEGNet,1980,0.7684848484848485,0.7043370054532812,0.793939393939394,0.8519779614325069,0.6276612507087114
ERP,51,0,0,LiteBN,1980,0.7627272727272727,0.6894190230051721,0.7762626262626262,0.853443526170799,0.6178346202570718
ERP,51,0,0,LOGIT50,1980,0.7818181818181817,0.7124183006535948,0.797979797979798,0.8682534435261707,0.6536363660366332
ERP,54,0,0,EEGNet,1980,0.7281818181818183,0.69107134646062,0.7994949494949495,0.8154931129476584,0.5396866583629872
ERP,54,0,0,LiteBN,1980,0.7387878787878788,0.6843351016104323,0.7828282828282829,0.8290156106519744,0.556793002091579
ERP,54,0,0,LOGIT50,1980,0.7381818181818183,0.6960265732508968,0.8,0.8371368227731865,0.5830826814842704
ERP,4,0,1,EEGNet,1980,0.8712121212121212,0.8169947292863572,0.8823232323232323,0.9454490358126721,0.8428352096175659
ERP,4,0,1,LiteBN,1980,0.8896969696969697,0.8795488988171387,0.9313131313131313,0.9619485766758495,0.888316284147465
ERP,4,0,1,LOGIT50,1980,0.886969696969697,0.8601047651305882,0.9166666666666666,0.960929292929293,0.8863964508141289
ERP,12,0,1,EEGNet,1980,0.9481818181818182,0.8843244209961549,0.9257575757575758,0.991801652892562,0.9790760064910278
ERP,12,0,1,LiteBN,1980,0.9606060606060606,0.933217329938562,0.9606060606060606,0.993425160697888,0.9811882652760979
ERP,12,0,1,LOGIT50,1980,0.9581818181818182,0.9183963906678173,0.9505050505050505,0.993526170798898,0.983130600603707
ERP,13,0,1,EEGNet,1980,0.9042424242424243,0.8159090909090909,0.8727272727272727,0.978040404040404,0.932221788967227
ERP,13,0,1,LiteBN,1980,0.9093939393939394,0.8259071033119555,0.8813131313131313,0.9762534435261707,0.9180258748176965
ERP,13,0,1,LOGIT50,1980,0.9133333333333333,0.8294686040990445,0.8838383838383839,0.9808007346189164,0.936174063895384
ERP,17,0,1,EEGNet,1980,0.8072727272727273,0.7358002533783783,0.8161616161616162,0.891623507805326,0.7251902052006705
ERP,17,0,1,LiteBN,1980,0.7754545454545454,0.6583257104915949,0.7247474747474747,0.8802460973370063,0.6921359725232871
ERP,17,0,1,LOGIT50,1980,0.8115151515151515,0.7283715085069602,0.805050505050505,0.8994931129476583,0.7400002072098377
ERP,18,0,1,EEGNet,1980,0.9218181818181819,0.8773854110932763,0.9242424242424242,0.9729256198347108,0.910152384705924
ERP,18,0,1,LiteBN,1980,0.8990909090909092,0.8891625119402203,0.9368686868686869,0.9719504132231405,0.8967378007767924
ERP,18,0,1,LOGIT50,1980,0.9133333333333333,0.8914040857972145,0.9363636363636364,0.9757741046831956,0.912407561631851
ERP,24,0,1,EEGNet,1980,0.8066666666666666,0.7036147004530962,0.7747474747474747,0.886473829201102,0.7026008742159294
ERP,24,0,1,LiteBN,1980,0.8266666666666667,0.7813674217934848,0.8606060606060606,0.9163617998163451,0.7774371900867647
ERP,24,0,1,LOGIT50,1980,0.8254545454545454,0.7452477914102447,0.8202020202020202,0.9154306703397612,0.7817037359520435
ERP,25,0,1,EEGNet,1980,0.7754545454545454,0.7591469234934995,0.8580808080808081,0.8766262626262626,0.6503421040545578
ERP,25,0,1,LiteBN,1980,0.7903030303030303,0.7854398933701288,0.8787878787878788,0.8916639118457301,0.6657546336957352
ERP,25,0,1,LOGIT50,1980,0.7866666666666666,0.7818638915929643,0.8767676767676768,0.8970725436179982,0.6843324735276177
ERP,29,0,1,EEGNet,1980,0.88,0.8420934579439252,0.9030303030303031,0.9569880624426079,0.8709557468056961
ERP,29,0,1,LiteBN,1980,0.8506060606060606,0.8402496238925725,0.9085858585858586,0.9426391184573002,0.8417229343795202
ERP,29,0,1,LOGIT50,1980,0.8657575757575757,0.8483295900871897,0.9116161616161617,0.9589954086317722,0.8745297566458512
ERP,36,0,1,EEGNet,1980,0.9390909090909092,0.857582742782377,0.9045454545454545,0.9940973370064279,0.9749715898375975
ERP,36,0,1,LiteBN,1980,0.9503030303030303,0.891646373163324,0.9313131313131313,0.9932617079889807,0.9731349856861643
ERP,36,0,1,LOGIT50,1980,0.9557575757575758,0.8938522989866919,0.9323232323232323,0.9950596877869605,0.9795763965397867
ERP,37,0,1,EEGNet,1980,0.9415151515151515,0.8999739058732661,0.9388888888888889,0.9851368227731864,0.9464784996815949
ERP,37,0,1,LiteBN,1980,0.9290909090909091,0.9110991379310345,0.9484848484848485,0.9847584940312213,0.9386931769361473
ERP,37,0,1,LOGIT50,1980,0.9418181818181819,0.9174432422290324,0.9515151515151515,0.9873498622589532,0.9508362082351549
ERP,39,0,1,EEGNet,1980,0.7439393939393939,0.6953470039036158,0.7954545454545454,0.8073581267217631,0.49964359024560956
ERP,39,0,1,LiteBN,1980,0.733030303030303,0.7019611388059479,0.8116161616161616,0.8147621671258035,0.5224127485363899
ERP,39,0,1,LOGIT50,1980,0.7239393939393939,0.692558302823612,0.8045454545454546,0.8233204775022956,0.5429892860273879
ERP,42,0,1,EEGNet,1980,0.8603030303030303,0.7974906126651926,0.8661616161616161,0.9223434343434342,0.7904412452608396
ERP,42,0,1,LiteBN,1980,0.8851515151515151,0.8304950444587169,0.8914141414141414,0.9506629935720845,0.8480781782688557
ERP,42,0,1,LOGIT50,1980,0.8912121212121212,0.8409926719098757,0.8994949494949495,0.9491974288337924,0.8528754972143182
ERP,51,0,1,EEGNet,1980,0.7687878787878788,0.7169357079981198,0.8106060606060606,0.8489421487603306,0.5663244517849975
ERP,51,0,1,LiteBN,1980,0.7842424242424242,0.7226080683911507,0.8101010101010101,0.8707125803489439,0.6671261653469085
ERP,51,0,1,LOGIT50,1980,0.7839393939393939,0.7332989578118951,0.8237373737373738,0.873426997245179,0.6489541051080009
ERP,54,0,1,EEGNet,1980,0.7439393939393939,0.6982253086715978,0.7994949494949495,0.8326023875114784,0.5236222202191219
ERP,54,0,1,LiteBN,1980,0.7278787878787878,0.6933942785990637,0.803030303030303,0.8310964187327823,0.5456246865424691
