task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
ERP,15,0,0,EEGNet,1980,0.7960606060606061,0.7772668009956145,0.8681818181818182,0.8866354453627181,0.6942627486539631
ERP,15,0,0,LiteBN,1980,0.7884848484848486,0.760514905465532,0.8535353535353535,0.8767878787878788,0.6752154221916505
ERP,15,0,0,LOGIT50,1980,0.8051515151515152,0.781815025670197,0.8691919191919192,0.8922956841138658,0.7056673771864941
ERP,38,0,0,EEGNet,1980,0.770909090909091,0.7366384910728624,0.8343434343434344,0.8578530762167127,0.6150381859752018
ERP,38,0,0,LiteBN,1980,0.7287878787878788,0.69065395273547,0.7984848484848485,0.8172249770431588,0.48479003813496363
ERP,38,0,0,LOGIT50,1980,0.7715151515151515,0.7327636465279719,0.8292929292929293,0.8488870523415979,0.5802230833572568
ERP,6,0,0,EEGNet,1980,0.8890909090909092,0.8234497773931976,0.8838383838383839,0.9669825528007346,0.9002861421897262
ERP,6,0,0,LiteBN,1980,0.8821212121212121,0.7882878228596301,0.85,0.9671037649219467,0.898189449869934
ERP,6,0,0,LOGIT50,1980,0.8972727272727272,0.8187643020594966,0.8772727272727273,0.971325987144169,0.9098357192068998
ERP,33,0,0,EEGNet,1980,0.7666666666666666,0.7660213367434991,0.8696969696969697,0.8723507805325986,0.634993332987222
ERP,33,0,0,LiteBN,1980,0.7578787878787878,0.7613501988748343,0.8691919191919192,0.8584444444444445,0.6448629564032807
ERP,33,0,0,LOGIT50,1980,0.7563636363636363,0.7659373659373658,0.8747474747474747,0.8803232323232323,0.6723051204207541
ERP,32,0,0,EEGNet,1980,0.9187878787878788,0.8425830085665054,0.8949494949494949,0.9822038567493113,0.9541277466650228
ERP,32,0,0,LiteBN,1980,0.9045454545454545,0.8104684567231942,0.8671717171717171,0.9797281910009182,0.939167719329833
ERP,32,0,0,LOGIT50,1980,0.9196969696969697,0.8422388345909522,0.8944444444444445,0.9829476584022038,0.9543832182506904
ERP,3,0,0,EEGNet,1980,0.9448484848484848,0.8745156828011842,0.9181818181818182,0.9934380165289256,0.9776078665905471
ERP,3,0,0,LiteBN,1980,0.9236363636363636,0.8307939160069486,0.8828282828282829,0.9899687786960514,0.9643570076876558
ERP,3,0,0,LOGIT50,1980,0.9424242424242424,0.8669130724337153,0.9121212121212121,0.9939100091827364,0.9797566841910501
ERP,5,0,0,EEGNet,1980,0.6724242424242424,0.5876536361547178,0.6681818181818182,0.7492598714416896,0.4363294475319871
ERP,5,0,0,LiteBN,1980,0.6463636363636364,0.56605291005291,0.646969696969697,0.7051992653810835,0.3603346339276337
ERP,5,0,0,LOGIT50,1980,0.6772727272727272,0.6043106651802304,0.6944444444444444,0.7518530762167126,0.4338166763730753
ERP,47,0,0,EEGNet,1980,0.853030303030303,0.8246821829699131,0.8944444444444445,0.9336124885215794,0.8234550085592852
ERP,47,0,0,LiteBN,1980,0.8054545454545454,0.7528296883504766,0.8373737373737373,0.8892102846648301,0.6912285905445953
ERP,47,0,0,LOGIT50,1980,0.8454545454545455,0.8024788683046468,0.8757575757575757,0.9233700642791552,0.7942055454041329
ERP,26,1,0,EEGNet,1980,0.9557575757575758,0.929638136511376,0.9585858585858585,0.989325987144169,0.9675963146501092
ERP,26,1,0,LiteBN,1980,0.9412121212121212,0.8992510981613617,0.9383838383838384,0.9869752066115702,0.9576459692962096
ERP,26,1,0,LOGIT50,1980,0.9527272727272726,0.9248202053464639,0.9555555555555556,0.9906868686868687,0.9705596009620024
ERP,2,1,0,EEGNet,1980,0.9748484848484849,0.9400607578745404,0.9641414141414142,0.9975335169880625,0.9931523035155996
ERP,2,1,0,LiteBN,1980,0.9766666666666667,0.9447705618082642,0.9671717171717171,0.9960918273645546,0.9909934812527679
ERP,2,1,0,LOGIT50,1980,0.9781818181818183,0.9487410490998618,0.9696969696969697,0.9970780532598714,0.9929025661182466
ERP,14,1,0,EEGNet,1980,0.7424242424242424,0.73102541630149,0.8434343434343434,0.8325674931129475,0.5797030077992293
ERP,14,1,0,LiteBN,1980,0.7593939393939394,0.724335625841986,0.8252525252525252,0.8514288337924701,0.6298377359116433
ERP,14,1,0,LOGIT50,1980,0.7530303030303029,0.7374380753233862,0.8449494949494949,0.8550964187327824,0.6341992740053639
ERP,31,1,0,EEGNet,1980,0.943030303030303,0.8878088898098742,0.9292929292929293,0.9910064279155189,0.9715114410616998
ERP,31,1,0,LiteBN,1980,0.9272727272727272,0.8722786647314948,0.9191919191919192,0.9812966023875115,0.9479577515748275
ERP,31,1,0,LOGIT50,1980,0.9403030303030303,0.891827234118415,0.9328282828282828,0.9890413223140496,0.9672745356418984
ERP,28,1,0,EEGNet,1980,0.9251515151515152,0.8825125240719862,0.9277777777777778,0.9824646464646465,0.9414750202204937
ERP,28,1,0,LiteBN,1980,0.9187878787878788,0.8680609279617217,0.9171717171717172,0.9829586776859505,0.9450276302804742
ERP,28,1,0,LOGIT50,1980,0.9293939393939394,0.8924706285513173,0.9348484848484848,0.98544536271809,0.950092316692066
ERP,35,1,0,EEGNet,1980,0.9166666666666667,0.8633655622944159,0.9136363636363637,0.9773590449954087,0.9233435798317678
ERP,35,1,0,LiteBN,1980,0.87,0.8230706807521133,0.8883838383838384,0.9569458218549127,0.8728858762436816
ERP,35,1,0,LOGIT50,1980,0.8996969696969697,0.8547048736302997,0.9095959595959596,0.9750449954086318,0.9143926055396046
ERP,40,1,0,EEGNet,1980,0.8433333333333334,0.810694416900644,0.8843434343434343,0.9250119375573922,0.8007840249323048
ERP,40,1,0,LiteBN,1980,0.7966666666666666,0.7543442937847247,0.842929292929293,0.8794876033057851,0.6566997358575857
ERP,40,1,0,LOGIT50,1980,0.8290909090909091,0.8001544261252669,0.8787878787878788,0.9204426078971534,0.7749316214853301
ERP,43,1,0,EEGNet,1980,0.9306060606060607,0.8468458508582708,0.8964646464646465,0.9891827364554637,0.9544687004690955
ERP,43,1,0,LiteBN,1980,0.936060606060606,0.8698073648256244,0.9156565656565656,0.9870192837465566,0.9274355315329492
ERP,43,1,0,LOGIT50,1980,0.9412121212121212,0.8738220480196874,0.9181818181818182,0.9907768595041323,0.9568514034767457
ERP,50,2,0,EEGNet,1980,0.5163636363636364,0.5162375490244343,0.7292929292929293,0.585919191919192,0.22284238616433713
ERP,50,2,0,LiteBN,1980,0.5118181818181818,0.5117733521630112,0.7277777777777777,0.5656712580348944,0.1944880769136508
ERP,50,2,0,LOGIT50,1980,0.5145454545454545,0.5148863148863149,0.7404040404040404,0.5832819100091828,0.20633444275902238
ERP,52,2,0,EEGNet,1980,0.8757575757575757,0.8642364703975665,0.9222222222222223,0.9585307621671258,0.8726640428557456
ERP,52,2,0,LiteBN,1980,0.8178787878787879,0.819814992320218,0.9005050505050505,0.8928411386593205,0.7279112831808665
ERP,52,2,0,LOGIT50,1980,0.8460606060606061,0.8494447370568468,0.9171717171717172,0.9417079889807162,0.8328680649201246
ERP,23,2,0,EEGNet,1980,0.5627272727272727,0.5666884522872679,0.7762626262626262,0.670910927456382,0.26661989652924106
ERP,23,2,0,LiteBN,1980,0.5533333333333333,0.5590526203724424,0.7929292929292929,0.6266152433425161,0.255382850109103
ERP,23,2,0,LOGIT50,1980,0.5548484848484849,0.5611408635130287,0.7974747474747474,0.6581469237832874,0.27017522612808786
ERP,1,2,0,EEGNet,1980,0.7615151515151515,0.7379762964543828,0.8409090909090909,0.858077134986226,0.6385053551392128
ERP,1,2,0,LiteBN,1980,0.7560606060606061,0.7329853687677996,0.8378787878787879,0.8648943985307621,0.6485107690491597
ERP,1,2,0,LOGIT50,1980,0.7551515151515151,0.736322722957884,0.8424242424242424,0.8731808999081726,0.6718732338892911
ERP,30,2,0,EEGNet,1980,0.9315151515151515,0.884391447368421,0.9282828282828283,0.9843966942148761,0.9530094713277381
ERP,30,2,0,LiteBN,1980,0.9393939393939394,0.9030020051657937,0.9414141414141414,0.9855206611570247,0.9596346872813973
ERP,30,2,0,LOGIT50,1980,0.9372727272727273,0.9005980066445183,0.9398989898989899,0.9873682277318641,0.9623017861180599
ERP,48,2,0,EEGNet,1980,0.7824242424242425,0.7372248328893802,0.8292929292929293,0.8741303948576677,0.6746113251130794
ERP,48,2,0,LiteBN,1980,0.8078787878787879,0.7853396526644312,0.8717171717171717,0.8862607897153352,0.7013054228402298
ERP,48,2,0,LOGIT50,1980,0.8103030303030303,0.7822897431593083,0.8676767676767677,0.8907970615243342,0.7155350367270291
ERP,11,2,0,EEGNet,1980,0.9760606060606061,0.9431940561439358,0.9661616161616161,0.9968650137741046,0.9850910066212134
