task,fold,method,status,samples,stochastic_passes,bn_mode,dropout_active,mean_pairwise_prediction_disagreement,mean_pairwise_symmetric_KL,mean_probability_L1_from_standard_eval,stochastic_mean_NLL,stochastic_mean_entropy,standard_eval_BA,standard_eval_macro_F1,standard_eval_accuracy,used_for_selection
WBCIC_MI,0,B0_Exact_LiteBN,RUN,128.0,16.0,EVAL,True,0.12623697916666668,0.09912502275158962,0.166899636387825,0.5031027011573315,0.3479987569153309,0.844574780058651,0.84375,0.84375,False
WBCIC_MI,0,C1_LiteBN_SC,RUN,128.0,16.0,EVAL,True,0.1009765625,0.06608347833777467,0.1258126343600452,0.4500372614711523,0.3293282650411129,0.8526392961876833,0.8515534395409876,0.8515625,False
WBCIC_MI,0,C0_LiteBN_DualCE,NOT_RUN_CURRENT_SCOPE,,,,,,,,,,,,,
WBCIC_MI,1,B0_Exact_LiteBN,RUN,128.0,16.0,EVAL,True,0.051171875,0.052219142330189545,0.1099481089040637,0.19233528710901737,0.2973069064319134,0.9449328449328449,0.9452289259734703,0.9453125,False
WBCIC_MI,1,C1_LiteBN_SC,RUN,128.0,16.0,EVAL,True,0.03626302083333333,0.03174970322288573,0.08837055182084441,0.17697825096547604,0.3065237067639828,0.9608058608058607,0.9609160305343512,0.9609375,False
WBCIC_MI,1,C0_LiteBN_DualCE,NOT_RUN_CURRENT_SCOPE,,,,,,,,,,,,,
WBCIC_MI,2,B0_Exact_LiteBN,RUN,128.0,16.0,EVAL,True,0.07799479166666666,0.06445473671580354,0.11480573425069451,0.366670198738575,0.27955594286322594,0.8506842619745846,0.8511172329354147,0.8515625,False
WBCIC_MI,2,C1_LiteBN_SC,RUN,128.0,16.0,EVAL,True,0.05748697916666667,0.04607453191032012,0.09361575962975621,0.35999623127281666,0.2696134001016617,0.8350439882697946,0.83544536271809,0.8359375,False
WBCIC_MI,2,C0_LiteBN_DualCE,NOT_RUN_CURRENT_SCOPE,,,,,,,,,,,,,
WBCIC_MI,3,B0_Exact_LiteBN,RUN,128.0,16.0,EVAL,True,0.060807291666666666,0.06457047465567788,0.12445564894005656,0.1971411006525159,0.3248342052102089,0.9608058608058607,0.9609160305343512,0.9609375,False
WBCIC_MI,3,C1_LiteBN_SC,RUN,128.0,16.0,EVAL,True,0.0455078125,0.03894932717084885,0.09872739249840379,0.2005680138245225,0.33777415193617344,0.9610500610500611,0.960935115668681,0.9609375,False
WBCIC_MI,3,C0_LiteBN_DualCE,NOT_RUN_CURRENT_SCOPE,,,,,,,,,,,,,
WBCIC_MI,4,B0_Exact_LiteBN,RUN,128.0,16.0,EVAL,True,0.10611979166666667,0.08208594294264912,0.12655285140499473,0.3687991499900818,0.24923047609627247,0.8501955034213098,0.8508250015334601,0.8515625,False
WBCIC_MI,4,C1_LiteBN_SC,RUN,128.0,16.0,EVAL,True,0.07552083333333333,0.05290859114999572,0.10521240346133709,0.3870361428707838,0.2720044795423746,0.8335777126099706,0.8342275670675301,0.8359375,False
WBCIC_MI,4,C0_LiteBN_DualCE,NOT_RUN_CURRENT_SCOPE,,,,,,,,,,,,,
