subject_id,method,BA,macro_F1,accuracy
sub-17,B0_Exact_LiteBN,0.827,0.8269556574430823,0.827
sub-17,C1_LiteBN_SC,0.835,0.8348907521009099,0.835
sub-19,B0_Exact_LiteBN,0.953,0.9529597276412611,0.953
sub-19,C1_LiteBN_SC,0.9530000000000001,0.9529635928891439,0.953
sub-2,B0_Exact_LiteBN,0.763,0.7628319560331475,0.763
sub-2,C1_LiteBN_SC,0.764,0.7637700925459836,0.764
sub-21,B0_Exact_LiteBN,0.8859999999999999,0.885870044926856,0.8859999999999999
sub-21,C1_LiteBN_SC,0.89,0.8899085414357311,0.89
sub-25,B0_Exact_LiteBN,0.9650000000000001,0.9649981748343588,0.9650000000000001
sub-25,C1_LiteBN_SC,0.969,0.9689988749268685,0.969
sub-3,B0_Exact_LiteBN,0.8039999999999999,0.8012432517334082,0.8039999999999999
sub-3,C1_LiteBN_SC,0.8009999999999999,0.797963548118825,0.8009999999999999
sub-31,B0_Exact_LiteBN,0.6,0.5529109662307441,0.6
sub-31,C1_LiteBN_SC,0.609,0.5788742822183399,0.609
sub-33,B0_Exact_LiteBN,0.976,0.9759965490434308,0.976
sub-33,C1_LiteBN_SC,0.9730000000000001,0.9729953736389069,0.9730000000000001
sub-38,B0_Exact_LiteBN,0.508,0.47632599038530754,0.508
sub-38,C1_LiteBN_SC,0.502,0.47808268222738376,0.502
sub-42,B0_Exact_LiteBN,0.694,0.6930628000610973,0.6940000000000001
sub-42,C1_LiteBN_SC,0.6789999999999999,0.6783007372231123,0.679
