task,fold,method,parameter_tensor_count,exact_parameter_matches,buffer_tensor_count,exact_buffer_matches,max_abs_parameter_diff,max_abs_buffer_diff,status
WBCIC_MI,0,C1_LiteBN_SC,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,1,C1_LiteBN_SC,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,2,C1_LiteBN_SC,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,3,C1_LiteBN_SC,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,4,C1_LiteBN_SC,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,0,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,1,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,2,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,3,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS
WBCIC_MI,4,C0_LiteBN_DualCE,32,32,24,24,0.0,0.0,PASS
